Experiment,Block,Plant,Leaf,Egg,Gallery/ Blotch Mine,Tent Mine,Leaf Tip Fold,Leaf   Edge Fold,Notes
aa,1,1,1,h,assume,living,,,early TM
aa,1,1,1,h,assume,empty with frass,,,"found large larva that has eaten up some of leaf, possibly former occup"
aa,1,1,1,h,missing,,,,
aa,1,1,3,m,assume,living,,,
aa,1,2,2,0,0,0,empty with frass,,
aa,1,2,3,0,0,0,0,adult,"pupa case @ exit, larva head molt inside"
aa,1,2,4,m,assume,empty with frass,,,"very old, near leaf tip"
aa,1,4,1,m,assume,empty with frass,,,"2 exit holes, old"
aa,1,4,2,m,assume,empty with frass,,,
aa,1,4,2,0,0,0,empty with frass,,"head molts inside, small LTF"
aa,1,4,3,m,assume,very old opened in field?,,,may have been opened in the field
aa,1,4,7,0,0,0,empty with frass,,
aa,1,4,8,m,assume,old couldn't dissect,,,5.9 mm in length
aa,1,5,2,m,assume,empty with frass,,,"5.7 mm in length, there was a live 319  crawling around…"
aa,1,5,3,0,0,0,0,?,possibly but very difficult to tell
aa,1,5,4,0,0,empty with frass,,,
aa,1,11,1,m,assume,empty with frass,,,"8.57 mm length, exit hole"
aa,1,11,2,0,0,0,old empty,,opened in field?
aa,1,11,3,0,0,0,0,parasitized,parasitoid appears to be emerging from other end
aa,1,13,1,m,assume,dead,,,6.23 mm in length
aa,1,13,2,0,0,0,empty with frass,,"found a weird larva inside, don't know when it began inhabiting (sp. 351)"
aa,1,13,3,,,,old empty,,opened in field?
aa,1,13,4,m,assume,empty with frass,,,7.5 length
aa,1,13,5,0,0,0,empty with frass,,
aa,1,15,2,m,assume,empty with frass,,,"too difficult to determine mine size since it was all chewed, found live larva in bag"
aa,1,15,3,m,assume,empty with frass,,,6.7 length; live larva in bag
aa,1,18,1,m,assume,stiff but fresh,,,10.2 length; attempt parasitoid rearings
aa,1,18,2,m,assume,empty with frass,,,8.6 length; found live larva inside
aa,1,19,1,m,assume,empty with frass,,,4.8 length; live larva inside bag (looked like it was trying to silk other side of _____)
aa,1,19,2,m,assume,empty with frass,,,6.7 length; live larva in bag
aa,1,22,2,m,assume,empty with frass,,,6.8 length; may have been another opened tent mine.
aa,1,41,2,m,assume,living,,,6.8 length
aa,1,42,1,h,assume,missing,,,7.6 length; didn't see an exit hole
aa,1,50,3,m,assume,empty with frass,,,looked like it was opened in the field
aa,1,12,1,0,0,0,old empty,,em
aa,3,2,1,m,assume,living,,,7.2 mm
aa,3,38,1,h,assume,living,,,
aa,3,26,1,0,0,0,empty,,"Very old, open along part of seam"
aa,3,10,1,h,assume,living,,,13.5 mm. Larva had emerged from TM and appeared to be making some sort of LER on the opposite side of the leaf (which was a confusing behaviour). This larva was set aside in 'Lanphere Rearings' box to see what it does. Very sure it's a TM larva.
aa,5,3,1,h,assume,,,,8.7mm
aa,5,3,2,h,living,,,,
aa,5,3,2,h,dead,,,,same mine as below
aa,5,3,2,h,missing,,,,same mine as above
aa,5,3,3,h,fresh but stiff,,,,orange tinge to egg
aa,5,3,3,h,missing,,,,
aa,5,3,3,h,dead,,,,same mine as below
