Experiment,Treatment,Block,Plant,Leaf,Egg,Gallery/ Blotch Mine,Tent Mine,Leaf Tip Fold,Leaf   Edge Fold,Notes
w,e,3,1,3,h,missing,,,,seam = where leaf tip sealed to rest of tissue. But fresh but stiff larva on leaf outside of mine prior to dissection.
w,e,3,1,unk,,,,,,fresh but stiff blotch larva (as above)
w,e,3,1,4,0,0,0,empty with frass,,
w,e,3,2,1,h,dead,,,,
w,u,2,1,2,0,0,0,empty with frass,,hole on top surface of fold. Head molt also seen.
w,u,2,1,3,0,0,0,empty with frass,,1 head molt
w,u,2,1,4,,,,,,spider disk egg sack. Leaf rolling appears due to crawling
w,u,3,5,1,m,parasitized,,,,adult --- dead inside blotch
w,u,3,5,2,h,dead,,,,small tear in surface of gall
w,u,3,5,3,h,dead,,,,
w,u,5,3,1,0,0,0,0,emerged,
w,u,5,3,1,0,0,0,0,emerged,
w,u,5,3,2,0,0,0,empty,,a few grains of frass
w,u,5,3,3,0,0,0,empty with frass,,
w,e,2,9,1,h,living,,,,
w,e,2,9,1,h,living,,,,
w,e,2,9,2,h,dead,,,,
w,e,2,9,2,h,assume,living,,,small tear in surface of mine. Early TM
w,e,2,9,2,m,assume,missing,,,"frass inside mine, but no larva (2 no holes)."
w,e,2,9,3,0,0,0,empty with frass,,large opeinging along seam of fold
w,e,2,9,4,0,0,0,empty with frass,,open along seam
w,e,2,9,unk,,,freshly dead,,,TM larva found in bag 2 accidentally squished
w,e,2,9,5,m,assume,empty with frass,,,3 round holes on top surface of mine
w,e,2,9,6,h,assume,empty with frass,,,3 rounf holes on top surface of mine
w,e,2,9,6,h,assume,living,,,hole on edge of mine
w,e,2,9,6,h,missing,,,,* same mine
w,e,2,9,7,uh,,,,,* same mine
w,e,2,9,7,h,fresh but stiff,,,,"no head visible inside, but can see 3d structure"
w,e,2,9,8,h,missing,,,,
w,e,2,9,8,h,missing,,,,* same mine with small tear
w,e,2,9,8,h,assume ,empty with frass,,,* same mine with small tear
w,e,2,9,9,h,assume,living,,,round hole on top surface
w,e,2,9,9,h,missing,,,,
w,u,2,9,1,h,assume ,living,,,hole on surface of mine
w,u,2,9,1,h,dead,,,,
w,u,2,9,1,h,missing,,,,
w,u,2,9,1,h,living,,,,
w,u,2,9,2,0,0,0,empty with frass,,hole on top side of fold
w,u,2,9,3,h,dead,,,,* same mine
w,u,2,9,3,h,missing,,,,* same mine
w,u,2,9,3,h,dead,,,,
w,u,3,4,1,h,living,,,,
w,u,3,4,2,0,0,0,empty with frass,,
w,e,5,4,1,h,living,,,,went missing durring disection
w,e,5,4,1,h,dead,,,,
w,e,5,4,1,h,living,,,,
w,e,5,4,2,h,dead,,,,
w,e,5,4,2,h,dead,,,,
w,e,5,4,2,h,living,,,,
w,e,5,4,2,h,living,,,,
w,e,5,4,2,h,dead,,,,
w,e,5,4,2,uh?,,,,,* same size as other eggs but depressed into leaf
w,e,5,4,2,uh?,,,,,* same size as other eggs but depressed into leaf
w,e,5,4,2,uh?,,,,,* same size as other eggs but depressed into leaf
w,e,5,4,3,h,living,,,,** tissue 2 orange-ish in one large mine
w,e,5,4,3,h,freshly dead,,,,** tissue 2 orange-ish in one large mine
w,e,5,4,3,h,fresh but stiff,,,,* all in one large mine
w,e,5,4,3,h,living,,,,* all in one large mine
w,e,5,4,3,h,dead,,,,* all in one large mine
w,e,5,4,3,h,dead,,,,* all in one large mine
w,e,5,4,4,h,freshly dead,,,,** all in one mine
w,e,5,4,4,h,living,,,,** all in one mine
w,e,5,4,4,h,living,,,,** all in one mine
w,e,5,4,4,h,living,,,,* all in one mine
