"","10EF3","10EI6","10EJ1","10ET5","10EU9","10EW2","10EX10","10UF3","10UG4","10UI6","10UJ1","10UL7","10US8","10UT5","10UU9","10UX10","1EF2","1EG10","1EI1","1EJ7","1EL4","1ET5","1EU9","1EX6","1UF2","1UG10","1UI3","1UI4","1UJ9","1UM1","1US7","1UT5","1UX6","2EI3","2EJ9","2ES7","2ET5","2EU8","2UG10","2UL4","2UT8","2UU7","2UX5","3EF2","3EJ8","3EU5","3EX6","3E","3UG10","3UL3","3UL4","3UT9","3UU6","3UW1","4EF2","4EI5","4EL3","4ET9","4EU8","4EW1","4EX7","4UF1","4UG10","4UI5","4UL3","4US9","4UT8","4UU7","4UW2","5EF2","5EJ6","5EM1","5ET8","5EX5","5UF2","5UJ4","5UL6","5US7","5UW1","6EJ4","6ET7","6UF1","6UI9","6UL5","6US8","6UW2","7EI9","7EJ5","7EL4","7ET7","7EU3","7EW1","7EX8","7UF2","7UG10","7UI9","7UJ3","7UL5","7UT7","7UU6","7UW1","8EF1","8EI8","8EJ3","8EL7","8ES4","8EW2","8EX9","8UF3","8UI9","8US8","8UT5","8UU7","8UW1","8UX10","9EF3","9EG5","9ES9","9EU10","9EW1","9EX8","9UF3","9UG5","9UI9","9UJ1","9UL4","9US7","9UT6","9UU10","9UW2","9UX8"
"OTU_1618",13.4213893981448,2.30817712462755,13.6194562679419,11.8627664866742,0,14.2544917563944,9.89429923151366,0,0,0,2.30817712462755,0,8.59886669499002,7.14593214582052,6.41207720720989,0,6.97384359187765,11.2241852248538,10.1863360191822,9.21472637416717,7.63026899405573,10.2265088813919,9.19431715582969,6.00783273689563,0,8.20275469405736,3.93411206434354,6.36380066775545,8.99430261894939,5.32662488158876,1.78199934778071,6.1831853414161,0,0,0,2.99873835143609,3.38321521567151,0,0,6.54223609277639,2.58496250072116,7.78790255939144,9.37500341874008,0,0,0,0,0,5.76502501682747,0,0,0,0,0,0,0,0,1.6285637461654,0,2.69253452005575,0,3.5384722384777,0,13.112515866922,3.78873924389026,5.79720779422311,12.2285120244893,1.60445867634695,0,0,1.72196343082696,0,0,0,2.98122279296937,0,0,0,2.29911821197928,0,3.78018971226883,0,0,0,5.79559695118143,0,0,4.39231742277876,11.1653828720224,0,5.9489157173668,0,1.77702384608796,4.70043971814109,7.68636635669191,7.77484950041663,0,8.27991673381326,6.84666831087292,10.3427625601625,0,0,0,1.2505434616506,4.9129474543455,2.16099187667231,0,0,1.51712317170536,2.59099132287058,5.21085779021384,0,0,0,0,0,0,0,0,11.1043842633393,9.06445051704645,2.92199748799873,0,0,0,0,0,0,0,0,4.06883609425037
"OTU_1606",7.27075932102171,2.30817712462755,4.64940769269373,5.93073733756289,7.42890231507319,2.26371993449525,0,7.03619670472627,0,2.65973026912313,8.57155031196743,6.67618026704573,4.35974956032233,7.18518516682033,3.98654610976446,4.77689853306964,7.22574782358086,5.340764905012,5.80028822696043,5.6636133487746,6.57676174319978,5.8922491923998,2.45003292063505,4.81502823152381,6.6582114827518,0,6.80366987524975,7.12910834595488,7.20659035284303,3.81182839863691,4.7985310716706,5.81061768767807,4.16008416446563,4.80124767974527,9.19853948648142,7.19086070484461,2.51525352890975,7.33584103685449,5.09223208539821,5.09156980439022,3.4594316186373,0,2.70594736231395,6.50747039534614,5.63320504771101,5.0152045608571,5.14101230952707,7.72914570923646,6.972177512361,2.07922669115058,3.95352168094232,6.94114924022637,0,4.64385618977473,6.29773989804691,0,2.93859945533586,7.22434483898603,3.30005891492678,5.07839145197637,0,4.22489808951975,3.59336700272891,4.05528243550119,6.54392411697942,0,7.51426574766806,1.0146467759644,5.99122265957679,8.23819173028057,5.55388303217193,2.95545356104674,5.8574848460998,5.74501082272223,2.15324626029568,6.75042785397277,5.25678584183231,4.29312406623999,3.14455828128389,8.21773138753866,9.12770139936719,7.18373488294398,7.58958947886518,9.93099940084281,1.71049338280502,7.64468582001596,5.42682852768344,6.43819778419808,5.22356296504439,4.62952968187473,5.31012316009295,6.1458410313034,5.94672177661757,10.0574277073327,6.99363792723172,7.46234235248723,2.88553070370357,7.5197568321341,7.31032303945777,8.06429367679616,0,9.67950261430119,6.0125535232015,1.2505434616506,2.54951366471687,5.82159684463339,6.37722101086366,3.74933396908788,5.92101533829522,5.81445767348058,0,7.33429437009591,4.18914291698646,6.70911060478844,0,5.37817886000906,5.10934188083875,4.40612983121255,6.80878545766405,6.53804535195025,5.18083882548685,6.36001920494727,7.89227272066824,4.04823980030202,8.59814491417982,5.10822430177014,6.28397874066005,9.59341606040642,0,6.36194377373524,9.26121471630566
"OTU_7",13.9257995507042,0,13.6083647767538,2.11547721741994,7.74246042088907,7.29364210551411,0,3.23317655766845,14.8258544623715,2.65973026912313,7.08094915484313,13.1566838140466,2.29462074889163,11.4092583293964,13.3734614545868,12.9982611099704,0,2.30817712462755,0,2.03758958339308,2.83999268669436,3.05298445593173,3.31158615066591,0,1.88857871733158,2.70932729934147,0,2.13416523832471,0,2.41895254928223,0,1.68035661560772,0,2.67272948343797,0,1.45851416548022,0,1.71965570904613,0,1.75020609340653,2.58496250072116,0,3.59092816755755,1.60643738362987,2.01418161554093,1.94448473902113,1.53841991478413,0,2.18862844012072,2.89755273102918,0,2.70932729934147,0,2.32192809488736,15.719660612234,18.1443004964958,17.4039745424249,15.50627165599,16.4287100299675,13.7545401585675,16.2328760171292,1.46983988451743,2.70819945539804,3.1395513523988,5.55930354554969,0,1.81772660613004,3.72736482388393,0,0,0,2.13039663725568,0,1.86059694333458,2.15324626029568,0,0,0,0,11.9712869334053,8.6821745571283,2.66620975975427,2.8048845532333,0,0,0,7.9348554278285,11.6596774096717,0,13.0688536566837,3.59092816755755,0,1.77702384608796,12.0620461377205,0,0,14.0646741730999,11.8159013875014,8.82661246726244,11.1363503414542,14.5946536118794,1.49986045865648,0,2.36118752533459,0,2.16099187667231,0,2.3643980639004,2.24012952607853,0,0,2.0512516997237,0,0,0,0,0,2.12664364345093,0,1.08479647341909,1.46658453953035,1.67490462603396,2.79996068299654,2.62792129042715,2.18462919421995,2.53223939716824,2.92474726018956,1.9881789689115,1.41203875564901,1.35755200461808,0
"OTU_1",15.0581637808294,11.6767184236175,16.5793555219691,14.7384265691194,12.7758061775521,15.9855557811693,15.0056130080306,14.7614530225659,14.0060000896938,14.441582554398,11.927141136979,11.7231262698594,13.980591465007,12.6268996591857,14.1673801061261,14.040465817357,5.5411291222348,16.0605455062931,3.99325527036666,19.0247198818298,18.2382007888894,17.4064950751658,18.392783231024,17.5918804937502,16.6331689829829,15.4627225561566,8.34872815423108,4.97766800555764,17.4740614354805,12.2382359719361,12.417138552997,4.03874358674274,2.38388653607811,17.9266328203624,15.8672555327716,13.4239707779914,16.2740556479749,15.1301317893511,5.09223208539821,4.13327280038399,4,18.2482750575678,17.6258562759701,14.6650307953672,14.5893852349441,17.7729621434984,14.4241569138199,16.345153071946,12.2271930316236,12.3220280765882,9.90316143146469,17.2668905672372,17.0843942807045,16.8519563944095,13.126502438294,17.8491616313358,17.6381695512147,14.0568782292568,11.2959263576513,13.3488241263639,13.9064904234061,12.5586260069567,14.0259883676507,14.5276106336539,13.5156082393008,12.1354827701253,13.5487404334136,11.3471128660636,12.4434287141259,13.5433820675218,14.3838400445443,16.7955625497983,16.2054325031309,14.397051822326,13.6628870235052,11.9804966361835,12.4310474350501,9.01479900792841,12.224397795658,10.5923235470953,10.8959225466766,14.3031317135389,13.263025793631,15.6187469004186,12.5405683813627,9.69424230734058,15.8374165433516,13.4350562966834,3.24562472757417,16.538033836367,17.0840474600512,14.4620031110878,14.3859140875467,12.4701292464359,11.1246388093029,14.491191460128,14.17942051627,14.1084898825755,13.8355026963092,14.7964331877849,14.0135349401487,4.1254347211887,3.24406142348135,3.58910223108208,3.42071654840817,3.51306958223937,5.12169617250871,10.2586442200028,4.54512626605815,4.00678065657203,4.80874681318428,14.0821296845884,6.78392022113369,2.62792129042715,4.80874681318428,2.22959927365109,1.51712317170536,2.59705557270918,1.94448473902113,5.62077048972969,3.91736944820692,3.28864350317529,2.79996068299654,0,2.18462919421995,0,3.29148698132323,4.62870783873986,3.65854363310226,3.57742882803575,2.75250903238937
"OTU_84",9.47842334551641,5.47502847368832,0,7.38945208908437,9.92941167486902,0,9.06041151669582,5.11326064756032,0,6.5145252100963,4.84136855887518,5.80354532110911,7.6733090755617,4.82495874052852,0,6.516740690201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22777200487185,0,0,0,10.5285578352371,8.88668647034378,5.32418054661874,8.68389435609509,4.82292152257413,7.73553038260946,6.43819778419808,7.94298653478175,0,0,0,0,0,6.12857215462909,8.22292903843056,5.0406686297714,0,0,0,0,0,0,0,5.60665757182048,0,0,0,0,5.45138733799272,0,0,0,6.53397857200235,6.0049146091053,7.7110185575415,8.85878540271566,6.53953944432464,7.18284424531594,8.38514338989103,3.54784304516046,0,5.69620134219636,0,10.3518505120078,7.12813756627671,0,7.67468310409376,1.51712317170536,3.46600726831132,0,5.01999277586832,5.55388303217193,7.51054384303122,6.76961450585156,0,0,0,0,0,0,6.4350670702381,8.28141619702011,6.20043490896475,7.22820464705572,4.89278608427779,6.01650219746393,3.68587694668125,7.65818775480033,3.91288933622996,4.89211920001518
"OTU_2",12.7471382489547,12.0068956468391,12.2634636548706,14.1771340022965,14.6786060569604,12.3575927692416,14.6030391119486,14.7948914948936,12.5947014155418,15.1812786626324,12.847946323282,11.6166593418684,15.1384080564922,9.68863279120357,12.4582111706425,14.179576126483,0,14.0756314111612,0,3.74656647874489,3.94239407702787,3.05298445593173,14.3224638736729,0,13.6442734630829,3.59458824819444,2.1926450779424,0,3.69777914561962,5.47502847368832,0,2.70325115609419,2.38388653607811,14.8734983775276,14.2675294958435,12.4135077314818,15.311036702602,4.71311057985417,3.83238707009799,1.75020609340653,2.58496250072116,3.4594316186373,3.59092816755755,11.5364051522148,7.07401942350996,13.7540330299827,12.0929615900155,9.34444754491019,16.4406683702057,15.9569081666825,13.7871750681031,15.7562964907789,14.7616195733859,16.0227362427787,0,3.78303305031487,4.79007693062577,0,4.22489808951976,0,2.02080582987211,2.6575793040287,3.06696294935302,2.29462074889163,0,0,4.40612983121255,1.0146467759644,2.6705517446666,0,0,2.13039663725568,1.94448473902113,0,13.7863294875181,13.6869017063667,16.6649829521283,14.2797101105939,13.1644972079662,14.3464977514323,2.88155240021586,14.3687847300726,13.9029747248881,13.5470252592387,12.1505262138004,11.0380752813357,3.23317655766845,1.94753258010587,1.77578484305673,3.39248059588767,3.59092816755755,1.45691162665878,3.96005818297133,11.6301533433286,6.67993841032237,0,0,1.34126981718837,2.94699456218395,11.306034556565,10.2624152188215,2.69698659214263,0,2.36118752533459,0,2.98994633533608,0,0,13.7751598284921,3.46600726831132,3.32322723503899,3.38321521567151,0,13.7143973477232,3.85932491235647,2.22959927365109,0,2.12664364345093,2.74373160334846,2.72364181511555,0,14.2779437212178,14.0056522751421,15.7165397562943,14.8994175227704,13.8221977202233,14.7130719306506,14.8383554310019,15.0415416238246,15.2977447229768,15.3438229959118
"OTU_4",11.1740449710816,0,4.64940769269373,14.1118148988048,9.02491890091255,3.10510187997459,2.10080064078749,2.37897783590632,7.57549076347658,8.75439003336289,0,9.26920560497553,8.72408746179399,6.50531535613624,14.3897890521226,8.47458603684885,13.6604686371157,11.2571758524344,2.57896874452671,2.85023537875095,7.15667751343536,6.46909215969962,3.84728110647037,2.46594492559597,6.40571644821465,10.2912600012541,4.70043971814109,6.23986143495206,2.8048845532333,4.20095189706294,2.55533733161188,8.93818553142365,2.38388653607811,3.55491887456388,9.47682408011238,10.6940047063738,0,0,2.93026737880716,8.76030117576486,7.97154355395078,4.39231742277877,4.83916898116688,10.3460854007242,15.498594719239,13.8194646651194,15.5442932009084,12.1897651000346,5.19326665701941,0,3.95352168094232,9.86807865069889,13.853663516096,3.16992500144231,0,2.39377837990704,4.39231742277876,4.14864144307435,0,0,2.83110866990727,7.40208766041217,10.0398245263654,12.9813777462732,14.0098174048547,7.56005237440258,6.52213566326572,10.2127569170305,12.556567318564,0,8.9785625384267,3.85932491235646,0,3.52685954615759,10.3492240240365,10.8252238200039,13.0615184150502,10.1613662817404,13.8326166448274,13.586487982626,8.97172049201861,7.42729603587422,11.2391018324861,3.01653172388989,12.1755495506362,12.8514329353683,2.37897783590632,0,3.9584208962486,15.6678324633886,0,6.43487561954953,17.1727846691246,13.9444909308925,14.2591753476881,12.2477967756522,14.5498463564653,11.070997533709,15.907298546334,11.196133709533,14.0569577774566,2.21918622148164,0,14.049346874622,4.6594590692209,14.4725410090098,12.4172193602526,2.3643980639004,2.24012952607853,15.1228034089316,10.1151842808469,3.76326457273815,11.8519060660297,0,13.9487149779971,0,1.51712317170536,2.59705557270918,0,0,0,1.67490462603396,1.57921470411084,3.50623305940552,3.01653172388989,0,4.88613203544172,0,1.41203875564901,2.04439411935845,1.28375600367424
"OTU_168",11.0245799461744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8048845532333,2.18462919421995,5.22356296504439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_39",12.1080992401696,4.62733922721683,6.92459789668224,8.58621429693062,0,7.74097987091779,0,0,0,0,0,0,0,2.29462074889163,0,0,0,0,0,0,0,0,0,0,10.884314925799,11.1376812639515,14.152579110491,13.5961956796929,12.6232832677759,10.5221550516961,13.5648727014609,12.0287722755337,12.2232749317772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04563822424606,0,0,4.34983102908989,0,7.25738784269265,0,13.9242261830373,9.42556560516533,4.58571685108652,0,5.29467096189969,0,5.84892754892111,0,0,0,0,1.81772660613004,0,9.46317704997685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18462919421995,0,0,0,0,0,0,0,0,1.77702384608796,0,0,0,0,0,0,0,0,0,0,4.83724729636818,0,0,0,2.3643980639004,0,0,0,3.76326457273815,0,0,0,0,0,0,0,1.08479647341909,0,0,0,0,0,0,0,0,0,0,0
"OTU_105",9.07875399079096,7.31381511414042,7.68523430167768,0,0,10.6488633243863,5.33891227451824,4.9265576290646,0,0,6.85330339068571,0,0,4.61102479730735,0,0,0,0,0,0,1.61041096997008,0,0,2.46594492559597,0,1.91459632461682,0,0,8.27325120442103,0,0,0,0,0,0,5.02097022878827,0,6.17194571170452,5.92130895170755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93859945533586,4.92070789295616,0,0,0,2.6575793040287,5.09636020429831,7.02132703262437,5.47863999844434,8.96374435936866,4.96823041950661,2.83237338209444,0,6.6852509768346,0,0,0,0,7.18811984990123,0,4.08384706231284,0,3.14455828128389,7.32499650167454,0,0,0,0,4.93288580414146,0,0,0,0,0,0,0,5.02473624061057,4.14295795384204,3.40306917601819,4.62624535072437,0,8.62072582321998,9.67911400668382,6.27035095273878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
