OTUId,10EF3,10EI6,10EJ1,10ET5,10EU9,10EW2,10EX10,10UF3,10UG4,10UI6,10UJ1,10UL7,10US8,10UU9,10UW2,10UX10,1EF2,1EG10,1EI1,1EJ7,1EL4,1ET5,1EU9,1EW2,1EX6,1UF2,1UG10,1UI3,1UI4,1UJ9,1UM1,1US7,1UT5,1UX6,2EF2,2EI3,2EJ9,2EL4,2ES7,2ET5,2EU8,2UF3,2UG10,2UI2,2UL4,2UT8,2UU7,2UX5,3EF2,3EJ8,3EU5,3EX6,3E,3UG10,3UL3,3UI4,3UT9,3UU6,3UW1,4EF2,4EI5,4EL3,4ET9,4EU8,4EW1,4EX7,4UF1,4UG10,4UI5,4UL3,4US9,4UU7,4UW2,5EF2,5EJ6,5EM1,5ET8,5EX5,5UF2,5UJ4,5UL6,5US7,5UW1,6EJ4,6UF1,6UI9,6UJ4,6UL5,6US8,6UW2,7EF2,7EI9,7EJ5,7EL4,7ET7,7EU3,7EX8,7U8X,7UF2,7UG10,7UI9,7UJ3,7UL5,7UT7,7UU6,7UW1,8EG10,8EI8,8EJ3,8EL7,8ES4,8ET5,8EX9,8UF3,8UI9,8UJ2,8UL4,8US8,8UT5,8UU7,8UW1,8UX10,9EF3,9EG5,9ES9,9EU10,9EX8,9UF3,9UG5,9UJ1,9UL4,9US7,9UT6,9UU10,9UX8
OTU_2768,15,0,4,12,2,4,26,63,21,33,78,8,9,10,71,0,3,2,12,4,6,4,3,0,9,44,149,47,10,22,67,63,79,44,38,23,68,46,14,35,5,5,7,3,14,15,18,9,1,0,0,9,4,5,15,0,4,9,4,13,25,34,3,17,60,6,6,5,6,20,14,13,27,17,5,25,12,16,0,0,1,1,1,8,0,9,2,0,5,0,1,0,5,15,12,4,4,6,11,3,1,4,0,3,0,2,3,10,18,32,8,34,117,19,5,72,0,15,10,21,7,31,0,3,3,0,1,2,9,16,6,17,1,25,0
OTU_13,171,78,75,102,44,75,100,410,241,926,564,895,385,536,607,328,13,55,14,63,14,11,138,73,51,1,56,265,7,59,1,7,6,7,32,30,6,15,238,59,1,69,13,13,26,0,4,6,664,77,143,115,311,261,280,83,709,108,395,174,451,44,221,161,175,316,301,167,87,24,320,200,59,59,48,40,359,181,201,166,253,412,319,76,23,230,4,21,94,30,80,137,74,76,9,61,432,6,71,2,21,0,11,95,11,39,0,8,63,133,223,79,25,54,19,30,101,12,92,693,6,3,64,245,300,118,3,110,126,153,843,897,117,125,0
OTU_2,1260,761,1111,1049,1074,2318,5219,856,479,345,682,566,836,857,884,288,1020,1148,967,1061,2800,1391,2370,667,1659,2618,5038,1676,2529,1374,874,1821,1635,2590,2884,942,2195,1224,1365,1667,484,2450,995,1969,2084,2618,1583,2444,485,368,803,757,448,610,1091,353,1511,870,1235,832,1308,848,1200,1120,1149,1077,349,1496,714,1452,936,454,951,1053,517,596,1018,502,1303,312,850,308,456,853,1896,2652,1852,2319,1562,2041,1058,917,412,2162,729,1351,928,2200,1589,815,2367,1688,1603,2028,1715,2478,1508,1036,1189,3969,1407,1269,595,875,643,1572,1672,1076,1061,1373,862,2317,1085,1331,2687,4145,1002,1439,624,1344,952,1403,1554,1180,0
OTU_207,33,38,42,30,21,10,76,34,32,47,13,20,10,62,18,16,24,19,10,25,32,21,15,21,26,12,66,5,9,41,3,8,6,12,31,34,6,21,12,33,17,23,17,40,26,12,27,21,17,15,5,14,17,61,14,15,12,13,26,24,22,20,16,20,19,25,22,28,17,15,22,19,13,17,22,10,20,11,19,3,25,19,5,24,44,24,11,27,18,19,22,33,24,14,6,29,27,7,8,1,26,5,6,12,5,7,8,1,23,28,26,26,4,15,4,10,5,5,7,6,0,13,22,25,20,71,21,9,21,13,4,10,7,13,0
OTU_110,62,0,10,8,11,2,28,7,2,20,5,11,0,21,1,7,31,0,10,9,111,4,18,13,14,22,57,10,2,46,10,29,22,6,4,4,10,5,2,6,3,5,7,4,7,2,6,5,10,36,16,6,23,60,11,7,12,10,80,9,8,9,5,1,15,12,7,17,8,6,62,6,5,18,24,5,14,17,5,9,3,8,1,14,20,2,27,12,34,7,16,4,34,78,4,24,3,0,10,12,60,3,3,10,1,0,13,40,7,56,19,36,1,39,1,42,24,11,8,10,38,4,47,34,32,119,52,24,18,11,11,24,30,30,0
OTU_381,5,6,6,2,3,0,12,2,0,1,22,0,1,0,0,2,0,2,1,5,4,0,45,7,10,6,10,17,2,26,0,0,0,2,0,7,1,2,2,2,3,4,5,3,0,0,3,4,35,44,29,17,26,3,0,16,2,5,1,1,1,3,16,0,0,2,9,21,1,4,21,15,31,8,14,4,3,1,4,1,3,1,2,11,3,5,1,2,3,1,2,0,8,5,6,4,8,2,8,1,8,0,18,4,0,0,3,4,5,8,5,3,0,4,1,8,5,0,3,8,2,0,13,2,2,12,0,19,25,6,1,31,10,12,0
OTU_115,22,16,6,31,23,22,120,104,59,2,35,116,41,69,45,20,12,10,10,13,17,12,3,12,12,4,45,16,15,7,7,10,21,11,11,5,4,3,7,2,10,11,0,3,13,0,0,4,3,4,0,6,11,2,3,0,0,1,22,11,6,3,2,9,46,1,7,11,17,7,19,8,8,1,2,2,7,8,10,3,13,12,0,40,3,23,20,2,37,12,5,11,16,25,15,7,13,7,4,11,8,14,13,7,7,17,1,2,3,9,8,5,1,19,4,27,16,18,11,21,5,8,0,9,21,18,0,17,11,28,37,32,0,12,0
OTU_4693,3,0,5,4,1,0,1,0,0,0,1,0,3,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,8,0,0,0
OTU_145,95,7,40,80,170,4,131,59,0,0,6,9,9,55,7,2,19,15,10,14,39,5,4,35,35,39,19,8,15,60,4,5,6,9,6,6,7,6,11,15,1,7,0,4,1,4,7,0,5,9,14,0,16,2,0,0,0,1,1,12,6,19,5,3,15,19,0,2,2,0,0,0,0,8,9,23,5,1,4,1,18,6,2,7,2,21,1,23,53,1,55,5,62,96,17,49,45,11,18,17,48,21,28,11,25,4,7,0,2,12,18,2,0,2,0,2,0,4,0,1,19,0,1,0,8,0,0,3,3,2,5,11,1,1,0
OTU_107,19,67,121,175,3,34,303,393,20,0,45,25,20,53,22,0,7,0,4,3,83,8,10,6,13,17,644,20,14,18,22,29,9,50,37,54,3,12,6,35,11,6,12,9,9,4,9,7,104,6,1,0,41,20,1,1,4,3,1,3,21,3,16,10,15,9,2,4,14,5,91,13,3,32,7,54,57,13,1,2,3,0,4,28,37,143,34,36,71,20,36,66,21,13,1,57,25,0,0,49,0,4,0,5,0,0,11,0,0,0,4,0,15,0,1,18,3,6,1,141,0,2,15,4,42,23,0,1,2,49,87,289,34,69,0
