OTUId,10EF3,10EI6,10EJ1,10ET5,10EU9,10EW2,10EX10,10UF3,10UG4,10UI6,10UJ1,10UL7,10US8,10UT5,10UU9,10UX10,1EF2,1EG10,1EI1,1EJ7,1EL4,1ET5,1EU9,1EW2,1EX6,1UF2,1UG10,1UI3,1UI4,1UJ9,1UM1,1US7,1UT5,1UX6,2EI3,2EJ9,2ES7,2ET5,2EU8,2UG10,2UL4,2UT8,2UU7,2UX5,3EF2,3EJ8,3EU5,3EX6,3E,3UG10,3UL3,3UI4,3UT9,3UU6,3UW1,4EF2,4EI5,4EL3,4ET9,4EU8,4EW1,4EX7,4UF1,4UG10,4UI5,4UL3,4US9,4UT8,4UU7,4UW2,5EF2,5EJ6,5EM1,5ET8,5EX5,5UF2,5UJ4,5UL6,5US7,5UW1,6EJ4,6ET7,6UF1,6UI9,6UL5,6US8,6UW2,7EI9,7EJ5,7EL4,7ET7,7EU3,7EW1,7EX8,7UF2,7UG10,7UI9,7UJ3,7UL5,7UT7,7UU6,7UW1,8EF1,8EG10,8EI8,8EJ3,8EL7,8ES4,8EW2,8EX9,8UF3,8UI9,8UJ2,8US8,8UT5,8UU7,8UW1,8UX10,9EF3,9EG5,9ES9,9EU10,9EW1,9EX8,9UF3,9UG5,9UI9,9UJ1,9UL4,9US7,9UT6,9UU10,9UW2,9UX8
OTU_1618,4004,1,2089,1117,0,5140,289,0,0,0,1,0,99,36,34,0,52,605,234,191,96,164,131,12,14,0,106,4,24,170,9,1,65,0,0,0,4,2,0,0,39,1,22,120,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0,6,0,2267,5,16,1900,2,0,0,1,0,0,0,2,0,0,0,1,0,6,0,0,0,24,0,0,7,1894,0,11,0,1,12,107,46,0,202,34,545,0,0,4,0,1,6,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1963,303,3,0,0,0,0,0,0,0,0,11
OTU_1606,56,1,4,18,86,1,0,31,0,1,96,24,5,37,6,7,62,10,11,16,46,8,1,2,6,37,0,31,41,49,3,11,50,4,5,122,83,1,70,5,14,2,0,1,44,16,11,18,68,35,1,8,44,0,6,8,0,1,71,1,6,0,10,6,4,36,0,72,1,35,189,20,2,20,20,1,24,7,4,2,270,263,27,64,275,1,45,10,30,30,10,7,40,25,511,66,37,2,119,47,112,0,448,3,15,1,1,16,17,3,32,11,0,0,51,3,20,0,11,18,12,39,82,20,37,119,3,109,7,35,260,0,52,427
OTU_7,5680,0,2073,1,107,41,0,2,5663,1,34,2164,1,696,4287,2168,0,1,0,1,3,1,2,0,0,1,2,0,1,0,1,0,2,0,1,0,1,0,1,0,1,1,0,2,1,1,1,1,0,1,2,0,2,0,1,5558,68084,26014,22247,9968,2529,25184,1,3,2,18,0,1,12,0,0,0,1,0,1,1,0,0,0,0,3653,193,1,2,0,0,0,58,1132,0,3617,2,0,1,2052,0,0,5363,2350,135,945,9253,1,0,0,3,0,1,0,1,2,0,0,0,1,0,0,0,0,0,2,0,1,1,1,3,1,1,1,3,1,1,1,0
OTU_1,12452,828,16255,8200,3520,17064,10000,6610,3208,4183,985,801,4138,1619,7433,4465,19,17291,3,171738,150582,23801,77095,15,43659,37608,16302,91,9,60808,1111,2242,14,1,46341,12433,6286,16800,15635,5,7,3,31137,36609,12703,8110,78614,11541,26806,1347,1587,528,56932,21123,29572,921,55488,30599,8146,284,1909,5021,3408,9041,6046,4567,1318,4745,2552,3113,7497,9299,33671,26523,8198,3761,909,1038,111,1220,1404,897,3780,3283,14189,2621,187,13935,3876,7,40061,25147,12931,8820,2723,1165,4859,5807,11516,4356,11951,6185,9,1,2,8,2,3,7,295,12,3,0,3,5515,19,1,4,1,1,3,1,43,8,4,3,0,1,0,4,8,7,7,4
OTU_84,260,11,0,50,489,0,162,8,0,17,7,13,52,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,834,256,10,160,8,84,84,137,0,0,0,0,0,20,67,6,0,0,0,0,0,0,0,21,0,0,0,0,18,0,0,0,44,33,44,145,60,43,140,4,0,0,12,0,269,40,0,49,1,2,0,0,10,8,35,16,0,0,0,0,0,0,39,156,14,42,6,29,4,121,9,20
OTU_2,2509,1041,816,5557,13164,1380,7565,6765,1206,6985,1865,744,9233,211,2273,4917,0,4368,0,4,7,1,4589,0,0,4737,4,1,0,4,10,0,5,1,5583,4102,3120,8618,11,2,1,1,1,2,1452,44,4849,2293,209,24994,19718,7803,19981,4222,16644,0,3,4,0,2,0,1,3,4,1,0,0,8,1,3,0,0,1,1,0,4097,2967,19535,4276,2341,18956,3,3956,5116,3375,2000,475,2,1,2,4,2,1,6,1521,53,0,0,1,2,1063,459,3,0,0,3,0,2,0,0,7528,2,0,1,3,0,2594,2,1,0,2,2,5,0,9058,8273,10392,8618,3027,12220,9872,20302,25778,28985
OTU_4,843,0,4,5311,261,2,1,1,37,81,0,146,108,23,8672,94,5399,619,1,2,69,12,3,34,1,31,452,7,22,2,4,2,444,1,2,148,947,0,0,1,183,50,2,5,636,15231,5074,25087,1504,10,0,8,337,2250,2,0,1,3,8,0,0,2,95,570,2070,6433,55,36,1162,3367,0,219,4,0,4,378,408,1607,246,3720,11193,236,32,807,2,2035,1670,1,0,12,21916,0,49,60872,7567,10235,1026,7507,1402,18314,985,6374,2,0,0,12291,5,6547,1132,1,2,7100,0,123,4,643,0,2340,0,1,3,0,0,0,1,1,2,2,0,13,0,1,2,1
OTU_168,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_39,1611,6,20,115,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,699,813,5099,3653,2107,338,4968,3789,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,38,0,3653,103,11,0,7,0,32,0,0,0,0,1,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_105,197,40,34,0,0,422,12,7,0,0,29,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,103,0,0,0,0,0,0,18,0,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,3,18,33,17,146,12,6,0,64,0,0,0,0,42,0,3,0,2,145,0,0,0,0,13,0,0,0,0,0,0,0,13,8,5,5,0,256,244,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_32,572,877,54,310,434,353,551,288,0,65,257,71,161,402,110,272,0,3,0,0,25,0,0,0,0,0,1,2,0,6,0,0,1,0,0,5,8,0,0,0,1,0,0,0,215,1,911,31,824,25,1,7,61,1,0,13,115,12,256,12,20,169,0,4,17,0,4,173,40,0,5,0,0,0,0,74,325,18,44,379,2,192,0,32,141,676,0,0,2217,401,939,0,1,1,1215,529,92,103,432,199,1302,75,1318,0,10,482,3,28,6,164,2002,312,0,37,1743,732,263,338,0,0,1,0,0,0,245,585,622,160,135,86,280,637,322,30
OTU_16,1757,187,8,395,1543,31,978,767,2606,0,0,0,0,99,0,0,5554,595,10065,0,1,1,1736,197,0,4526,170,7688,31953,457,5990,14850,20030,9125,2136,682,78,160,64,1,1231,1,1,2,8,24,0,0,1,12,0,0,0,125,0,0,690,10,555,433,1114,14,20,0,426,181,51,684,292,2542,86,403,1314,74,637,37,28,145,103,23,0,753,0,368,0,1985,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
OTU_64,175,66,0,328,0,128,0,0,0,0,0,0,0,99,0,0,0,0,0,0,413,0,0,0,0,0,5,0,5,4,2,65,0,1,29,69,139,30,1541,2,0,0,0,0,0,0,0,95,0,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,197,1781,0,0,0,0,0,0,0,0,0,0,0,57,0,1144,77,0,0,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,239,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0
OTU_44,403,0,182,137,0,497,2,0,0,0,0,0,3,0,0,0,0,9,5,4,4,6,1,0,0,1,3,0,1,3,0,0,10,0,0,0,0,10,0,0,2,14,1,7,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,7,3,0,40,3,0,2,0,0,1,0,1,0,0,5,0,0,0,3,0,0,0,16,0,0,0,0,1,14,3,0,17,4,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199,35,0,0,3,0,0,0,0,0,0,99
OTU_15,38,0,0,108,2,1,0,3252,7032,13217,1278,3650,7144,387,8759,9077,11,1,7,7,7,0,316,0,0,0,1,0,0,0,0,0,5,0,0,4,2697,0,0,0,0,0,0,0,0,1,1,0,0,2090,0,2,0,0,0,0,2,0,4,0,17,1,1009,0,1,17,0,1,45,722,0,1,0,2,2,254,9,223,108,490,17,1,173,0,0,0,4,610,1563,15353,6368,1744,83,6353,0,40,1311,0,267,399,1,1,13507,31,1230,1,6143,116,5282,6395,1437,1754,0,1267,1703,398,547,1059,116,430,0,0,0,0,13093,6073,1249,4915,2435,10387,3298,21407,15086,4486
OTU_313,18,15,0,0,0,95,0,0,0,0,0,0,0,1,0,0,139,6,9,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,16,4,0,2,0,0,0,0,18,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,9,11,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,1,0,0,0,0,3,42,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
OTU_25,368,99,89,249,814,56,309,1152,16,18,750,2794,21,1637,56,1590,743,87,433,164,666,25,23,27,85,225,295,221,124,646,89,420,1038,296,364,285,1187,40,117,112,293,89,13,96,1718,371,429,420,222,374,67,141,441,33,82,11,72,43,416,18,2,2360,235,147,92,392,92,51,195,115,486,187,70,215,1059,37,554,37,112,188,1705,1051,12,173,296,504,160,75,208,159,245,59,185,1126,950,444,788,4,1812,917,3173,6,1397,373,1009,189,65,1135,412,259,3046,503,0,0,913,132,121,1,13,483,0,42,298,20,17,239,0,10,3,153,7,1,25,37
