term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.4468315978047137,0.3705713320470894,0.15513286281704447,0.644868497442122,0.006070158770083538,1.3867321201183058,0.02090042569174238,Wind,2013,Bacterial Composition
sd_Block:Species__Intercept,1.0019797676117497,0.7529684782459569,0.38369774948101565,1.4837645960619514,0.03499985413165587,2.715908747382756,0.10509578115040796,Wind,2013,Bacterial Composition
sd_Genotype__Intercept,0.5368793644932046,0.4019001054612059,0.22810861378396635,0.7525851365060093,0.027824079304364237,1.5390932974976606,0.030173160413708155,Wind,2013,Bacterial Composition
sd_Genotype:Species__Intercept,0.9660930481444725,0.7092963779990165,0.3863753447443226,1.4176710329695659,0.037823762244600836,2.527973053411244,0.09770241353970832,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure__Intercept,0.5009768020502033,0.39294135134930214,0.19676773776313403,0.7148061863622881,0.023123470776378142,1.4961468810710186,0.02627257318466558,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure:Species__Intercept,1.0694118907752286,0.7826905801539256,0.4416962938420995,1.5549728951792992,0.03820346187170155,2.8657016000561994,0.11971743287790075,Wind,2013,Bacterial Composition
sd_Plot_code__Intercept,0.5216973620750381,0.4029758589920588,0.21268248722256622,0.7339050930589833,0.015571767181436076,1.5301238891187185,0.02849080102558344,Wind,2013,Bacterial Composition
sd_Species__Intercept,0.8166874403515719,0.6079067077055389,0.33498910390476794,1.1904460777221622,0.040820625303914046,2.252447746373474,0.06981988540183733,Wind,2013,Bacterial Composition
sd_Wind.Exposure__Intercept,0.8442053293346564,0.5627781683349423,0.4280583394742793,1.1692385807168686,0.06275057732402882,2.2169091450410114,0.07460424800340461,Wind,2013,Bacterial Composition
sd_Wind.Exposure:Species__Intercept,0.8895665240148308,0.6591588996866553,0.35355569327410585,1.3155983109785792,0.05615810752121796,2.4180244247263816,0.08283697682633363,Wind,2013,Bacterial Composition
