term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.5462655505576307,0.4166281424029518,0.20556752405151488,0.7870660157095415,0.022947268324487295,1.5292873122849664,0.02963394043960269,Wind,2013,Bacterial Composition
sd_Block:Species__Intercept,0.9498411067656383,0.6615346140939822,0.4407299444904497,1.368463914549137,0.039780808828541535,2.5581641519023566,0.08959498454620879,Wind,2013,Bacterial Composition
sd_Genotype__Intercept,0.6272403402629666,0.4838835941782194,0.24023050176800756,0.8805112699358699,0.028279612070236118,1.7998644351090558,0.03907056941578623,Wind,2013,Bacterial Composition
sd_Genotype:Species__Intercept,0.9107109903133411,0.6669395880985708,0.37052976159468914,1.3287282908198377,0.035692574144063544,2.475966807566036,0.08236504355461614,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure__Intercept,0.9034807785613856,0.5976677793055806,0.40683104971934814,1.3079375258304693,0.03819690209060923,2.2031233655227846,0.08106242882093359,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.9190846125252331,0.6473678146573385,0.41573782311866053,1.3057737937554577,0.040729663208080205,2.455877456497176,0.08388663381601683,Wind,2013,Bacterial Composition
sd_Plot_code__Intercept,0.5541449492522532,0.43252502271628646,0.20788828745613164,0.7904430701590113,0.03025741643064848,1.6017684225807929,0.030494992834569686,Wind,2013,Bacterial Composition
sd_Species__Intercept,0.9950400329360339,0.7022410907151688,0.44445566623539445,1.4038483091456788,0.037335260614172014,2.6988519029458433,0.09832475770999327,Wind,2013,Bacterial Composition
sd_Wind.Exposure__Intercept,0.7476630734477031,0.5470679515205855,0.30883200859464904,1.0714374573590533,0.032530420351045114,2.022054977438697,0.05551286485546546,Wind,2013,Bacterial Composition
sd_Wind.Exposure:Species__Intercept,0.9161149107250606,0.6460491454301082,0.4004859136292342,1.3159293966571126,0.04062096052147782,2.3851846813532394,0.08334540874364277,Wind,2013,Bacterial Composition
