term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.5729364022911136,0.4358586533061463,0.23114354001819906,0.830688862766539,0.027171883028443925,1.6137027047738828,0.034288545338697754,Wind,2013,Bacterial Composition
sd_Block:Species__Intercept,0.947862786685598,0.7032303301000445,0.36418853595025596,1.3636897809305581,0.026590409862162576,2.593073572462614,0.09384846506186365,Wind,2013,Bacterial Composition
sd_Genotype__Intercept,0.5754061598440394,0.4396757533268506,0.22463319742858484,0.8341598894827982,0.025049543176140145,1.5958501965655474,0.03458479783039686,Wind,2013,Bacterial Composition
sd_Genotype:Species__Intercept,0.9399802837647826,0.6878695273235335,0.4234214584782032,1.3350464726310174,0.0377799629809043,2.6564957366126634,0.09229405264003637,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure__Intercept,0.6791234903794785,0.5293167451718697,0.24578864629907285,0.9935027405674296,0.02480900223441368,1.9121608757280408,0.04817633221786715,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.9250727492677456,0.6937841107387239,0.37174940625995306,1.3540327532862995,0.02116627354379111,2.5613701691616937,0.08938980773417847,Wind,2013,Bacterial Composition
sd_Plot_code__Intercept,0.593098526229882,0.4592742110221134,0.23441624500592775,0.8529858387647331,0.019960785206894142,1.6896895861565937,0.03674429485780535,Wind,2013,Bacterial Composition
sd_Species__Intercept,0.9287600583753783,0.7041809944790872,0.36813021177653116,1.3293811296588793,0.03963558259515649,2.6153061738370664,0.09010383753431879,Wind,2013,Bacterial Composition
sd_Wind.Exposure__Intercept,0.6401649188214494,0.5186840534894585,0.2462731111612259,0.9274823851561187,0.024005329937915543,1.9164687050776106,0.04280751029228146,Wind,2013,Bacterial Composition
sd_Wind.Exposure:Species__Intercept,0.9492009971565115,0.704525265127303,0.3827105813523851,1.3870505393897372,0.03323692842711842,2.590927998660033,0.09411364617213173,Wind,2013,Bacterial Composition
