Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
472,G,H,4,60,0.002899277,Field Ant,1,aphid,1,1,
304,W,E,5,60,0.002900878,Field Ant,1,aphid,1,2,
113,T,H,4,60,0.005581213,Field Ant,1,aphid,1,3,
257,F,H,6,60,0.008291474,Field Ant,1,aphid,1,4,
257,F,I,1,60,0.009717393,Field Ant,1,none,1,5,
41,J,G,7,60,0.009947206,Field Ant,1,aphid,1,6,
487,X,C,7,60,0.015153031,Field Ant,1,aphid,1,7,
472,G,G,1,60,0.022163002,Field Ant,1,none,1,8,
41,J,B,6,60,0.02767544,Field Ant,1,none,1,9,
113,T,A,5,60,0.033665128,Field Ant,1,none,1,10,
304,W,D,6,60,0.038060436,Field Ant,1,none,1,11,
487,X,F,6,60,0.047013857,Field Ant,1,none,1,12,
23,S,B,6,60,0.058500186,Field Ant,1,aphid,1,13,
530,L,D,4,60,0.07649027,Field Ant,1,aphid,1,14,
479,I,D,6,60,0.082071786,Field Ant,1,aphid,1,15,
23,S,D,2,60,0.100081454,Field Ant,1,none,1,16,
294,U,E,7,60,0.105657359,Field Ant,1,aphid,1,17,
479,I,E,7,60,0.121322822,Field Ant,1,none,1,18,
530,L,F,4,60,0.154475487,Field Ant,1,none,1,19,
294,U,D,2,60,0.177757441,Field Ant,1,none,1,20,
402,W,I,3,60,0.040591665,Field Ant,1,aphid,6,21,
304,W,E,3,60,0.046779937,Field Ant,1,none,6,22,
113,T,H,6,60,0.061602266,Field Ant,1,aphid,6,23,
472,G,I,3,60,0.063766198,Field Ant,1,aphid,6,24,
472,G,C,3,60,0.06485891,Field Ant,1,none,6,25,
257,F,G,5,60,0.075185691,Field Ant,1,aphid,6,26,
487,X,E,7,60,0.076437749,Field Ant,1,aphid,6,27,
113,T,G,5,60,0.077192049,Field Ant,1,none,6,28,
41,J,A,5,60,0.080169508,Field Ant,1,aphid,6,29,
257,F,C,1,60,0.082523149,Field Ant,1,none,6,30,
41,J,E,3,60,0.089851365,Field Ant,1,none,6,31,
23,S,E,7,60,0.100668184,Field Ant,1,aphid,6,32,
23,S,H,4,60,0.160539368,Field Ant,1,none,6,33,
