,,,Date -->,,,,,,,,,,,,,,,,,,,
Block,Ant Mound Dist,Genotype,Aphid Treatment,Plant Position,Dead,Initial_Bud_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Notes
1,1,G,aphid,1,1,,,,,,,,,,,,,,,,,
1,1,W,aphid,2,1,,,,,,,,,,,,,,,,,
1,1,T,aphid,3,0,,,,,,,,,,,,,,,,,
1,1,F,aphid,4,0,,,,,,,,,,,,,,,,,
1,1,F,none,5,0,,,,,,,,,,,,,,,,,
1,1,J,aphid,6,0,,,,,,,,,,,,,,,,,
1,1,X,aphid,7,0,,,,,,,,,,,,,,,,,
1,1,G,none,8,0,,,,,,,,,,,,,,,,,
1,1,J,none,9,0,,,,,,,,,,,,,,,,,
1,1,T,none,10,1,,,,,,,,,,,,,,,,,
1,1,W,none,11,0,,,,,,,,,,,,,,,,,
1,1,X,none,12,1,,,,,,,,,,,,,,,,,
1,1,S,aphid,13,0,,,,,,,,,,,,,,,,,
1,1,L,aphid,14,0,,,,,,,,,,,,,,,,,
1,1,I,aphid,15,0,,,,,,,,,,,,,,,,,
1,1,S,none,16,1,,,,,,,,,,,,,,,,,
1,1,U,aphid,17,0,,,,,,,,,,,,,,,,,
1,1,I,none,18,0,,,,,,,,,,,,,,,,,
1,1,L,none,19,1,,,,,,,,,,,,,,,,,
1,1,U,none,20,1,,,,,,,,,,,,,,,,,
1,6,W,aphid,21,0,,,,,,,,,,,,,,,,,
1,6,W,none,22,0,,,,,,,,,,,,,,,,,
1,6,T,aphid,23,1,,,,,,,,,,,,,,,,,
1,6,G,aphid,24,1,,,,,,,,,,,,,,,,,
1,6,G,none,25,1,,,,,,,,,,,,,,,,,
1,6,F,aphid,26,0,,,,,,,,,,,,,,,,,
1,6,X,aphid,27,1,,,,,,,,,,,,,,,,,
1,6,T,none,28,1,,,,,,,,,,,,,,,,,
1,6,J,aphid,29,1,,,,,,,,,,,,,,,,,
1,6,F,none,30,1,,,,,,,,,,,,,,,,,
1,6,J,none,31,1,,,,,,,,,,,,,,,,,
1,6,S,aphid,32,1,,,,,,,,,,,,,,,,,
1,6,S,none,33,1,,,,,,,,,,,,,,,,,
1,6,X,none,34,1,,,,,,,,,,,,,,,,,
1,6,L,aphid,35,1,,,,,,,,,,,,,,,,,
1,6,I,aphid,36,1,,,,,,,,,,,,,,,,,
1,6,L,none,37,1,,,,,,,,,,,,,,,,,
1,6,I,none,38,1,,,,,,,,,,,,,,,,,
1,6,U,aphid,39,1,,,,,,,,,,,,,,,,,
1,6,U,none,40,1,,,,,,,,,,,,,,,,,
1,12,W,aphid,41,0,,,,,,,,,,,,,,,,,
1,12,G,aphid,42,1,,,,,,,,,,,,,,,,,
1,12,G,none,43,0,,,,,,,,,,,,,,,,,
1,12,T,aphid,44,0,,,,,,,,,,,,,,,,,
1,12,W,none,45,1,,,,,,,,,,,,,,,,,
1,12,J,aphid,46,0,,,,,,,,,,,,,,,,,
1,12,J,none,47,1,,,,,,,,,,,,,,,,,
1,12,X,aphid,48,1,,,,,,,,,,,,,,,,,
1,12,X,none,49,0,,,,,,,,,,,,,,,,,
1,12,T,none,50,0,,,,,,,,,,,,,,,,,
1,12,S,aphid,51,1,,,,,,,,,,,,,,,,,
1,12,S,none,52,1,,,,,,,,,,,,,,,,,
