# this data was copied directly from the excel file so I could easily create new columns that organize the data more effectively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,Block,Plant,Leaf,Egg,Gallery/ Blotch Mine,gallery_mine_living,gallery_mine_missing,gallery_mine_empty_with_frass,gallery_mine_fresh_but_stiff,gallery_mine_freshly_dead,gallery_mine_dead,gallery_mine_other,gallery_mine_empty,Tent Mine,tent_mine_DIFFERENT,tent_mine_other,tent_mine_323,tent_mine_no_data,tent_mine_missing,tent_mine_empty,tent_mine_living,tent_mine_dead,tent_mine_empty_with_frass,tent_mine_fresh_but_stiff,Leaf Tip Fold,LTF_329,LTF_empty_with_frass,LTF_dead,LTF_other,LTF_empty,Leaf   Edge Fold,LEF_other,LEF_adult,LEF_emerged,LEF_parasitized_unknown,Notes
aa,1,1,1,h,assume,0,0,0,0,0,0,0,0,living,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,0,0,0,early TM
aa,1,1,1,h,assume,0,0,0,0,0,0,0,0,empty with frass,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,0,0,0,"found large larva that has eaten up some of leaf, possibly former occup"
aa,1,1,1,h,missing,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
aa,1,1,3,m,assume,0,0,0,0,0,0,0,0,living,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,0,0,0,
aa,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,1,0,0,0,,0,0,0,0,
aa,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adult,0,1,0,0,"pupa case @ exit, larva head molt inside"
aa,1,2,4,m,assume,0,0,0,0,0,0,0,0,empty with frass,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,0,0,0,"very old, near leaf tip"
aa,1,4,1,m,assume,0,0,0,0,0,0,0,0,empty with frass,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,0,0,0,"2 exit holes, old"
aa,1,4,2,m,assume,0,0,0,0,0,0,0,0,empty with frass,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,0,0,0,
aa,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,1,0,0,0,,0,0,0,0,"head molts inside, small LTF"
