"","Factors","var","var_percent","response","experiment"
"1","(Intercept)",0,0,"total.abund","wind"
"2","Wind.Exposure1",0.0612118825994512,0.0303360587266352,"total.abund","wind"
"3","Year1",0.0155562286879681,0.00770952708857543,"total.abund","wind"
"4","Wind.Exposure1:Year1",0.0191673393203876,0.00949916105442303,"total.abund","wind"
"5","plant_code.(Intercept)",1.0958068465495,0.543072021938966,"total.abund","wind"
"6","Block:Wind.Exposure.(Intercept)",0.0517541883534453,0.0256489104821869,"total.abund","wind"
"7","Genotype.(Intercept)",0.120416531532284,0.0596773504929555,"total.abund","wind"
"8","Block.(Intercept)",0.071916971074016,0.0356414043367886,"total.abund","wind"
"9","var_Resid",0.581962868596627,0.28841556587947,"total.abund","wind"
"10","(Intercept)",0,0,"total.rich","wind"
"11","Wind.Exposure1",0.100019258477056,0.0954580225037185,"total.rich","wind"
"12","Year1",0.0221646545549685,0.0211538670203267,"total.rich","wind"
"13","plant_code.(Intercept)",2.24287691040927e-14,2.14059370012259e-14,"total.rich","wind"
"14","Block:Wind.Exposure.(Intercept)",0.0219591979436224,0.0209577799654131,"total.rich","wind"
"15","Genotype.(Intercept)",0.0464626709172406,0.044343806918127,"total.rich","wind"
"16","Block.(Intercept)",0.0291907702059674,0.0278595666639672,"total.rich","wind"
"17","var_Resid",0.827986084223386,0.790226956928426,"total.rich","wind"
"18","(Intercept)",0,0,"total.rarerich","wind"
"19","Wind.Exposure1",0.0208000154918842,0.198172579961985,"total.rarerich","wind"
"20","Block.(Intercept)",2.93356054055748e-18,2.79495590291163e-17,"total.rarerich","wind"
"21","var_Resid",0.0841590837733837,0.801827420038015,"total.rarerich","wind"
"22","(Intercept)",0,0,"Gracilliaridae_miner","wind"
"23","Wind.Exposure1",0.33218824492437,0.0513567849652387,"Gracilliaridae_miner","wind"
"24","Year1",0.0380828717451527,0.0058876672638427,"Gracilliaridae_miner","wind"
"25","plant_code.(Intercept)",3.23846879406304,0.500671977454221,"Gracilliaridae_miner","wind"
"26","Block:Wind.Exposure.(Intercept)",1.24277771237398e-14,1.92135238706334e-15,"Gracilliaridae_miner","wind"
"27","Genotype.(Intercept)",0.00782015883145232,0.00120900790933269,"Gracilliaridae_miner","wind"
"28","Block.(Intercept)",0,0,"Gracilliaridae_miner","wind"
"29","var_Resid",2.85168448953785,0.440874562407363,"Gracilliaridae_miner","wind"
"30","(Intercept)",0,0,"Cecidomyiidae_gall","wind"
"31","Wind.Exposure1",2.37303824892911,0.201117908530841,"Cecidomyiidae_gall","wind"
"32","Year1",2.49702605454262,0.21162602746216,"Cecidomyiidae_gall","wind"
"33","plant_code.(Intercept)",1.80439930778962,0.152925059299365,"Cecidomyiidae_gall","wind"
"34","Block:Wind.Exposure.(Intercept)",0.818171816290747,0.0693410671258799,"Cecidomyiidae_gall","wind"
"35","Genotype.(Intercept)",0.538293972550264,0.0456210758435613,"Cecidomyiidae_gall","wind"
"36","var_Resid",3.76830949544938,0.319368861738193,"Cecidomyiidae_gall","wind"
"37","(Intercept)",0,0,"Tortricidiae_leaftier","wind"
