"# Began survey at 10:30 and ended by 14:50.  At beginning, there was 100% cloud cover (not really cold though), and at 13:30 the sun came out.",,,,,,,,,,,,,,,,,,,,,,,,,,
"# based on survey, Calop_pre_tentmines are not visible from the top of the leaf and may be too hard to consistently survey.  Same thing may be true for damage that usually occurs along the midvein of the leaf",,,,,,,,,,,,,,,,,,,,,,,,,,
"# I'm worried that the same Caloptilia pruniella larva could make multiple LTFs, if it is on a plant in poor condition that has small leafs.  Therefore, I think I should only use Calop_tent_mine as representatives of their abundance.",,,,,,,,,,,,,,,,,,,,,,,,,,
"# Need to trim Carex sp. (slough sedge) in plots.  Also, Site 2's Unexposed plants don't appear to have the best wind break",,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Wind Exposure,Genotype,Plant Position,Calop_LTF,Calop_tent_mine,Calop_pre_tentmine,Leaf_bundle,Colladonus_reductus,LH_nymph_black_banded_abdomen,LH_nymph_,gall_shoot_top,spider_Theridion_sp.,spider_black_with_yellow_legs,leaf_bumps,gall_bud,looper_rattlesnake,leaf_edge_roll_and_silk,sawfly_larva,mite_leaf_gall,gall_Pontania_leaf,spider_Tetragnathid,Calop_cocoon,new_leaf_bundler,Dead,miscellaneous_arthropods_present_see_notes,Notes
1,Exposed,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2 sawfly eggs on top of leaf
1,Exposed,T,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 chalcid parasitoid
1,Exposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,J,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,S,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1,Exposed,U,9,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1 sawfly egg on leaf edge (no damage though); 5 of tent mines had exits
1,Exposed,G,10,0,6,4*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5 tent mines with exit holes, but no LTF. This also may have been the only survey where I counted Calop_pre_tentmine"
1,Unexposed,W,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
1,Unexposed,F,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
1,Unexposed,I,3,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,all 6 LTFs with exit holes; no exits on tent mines...; possible that same larva could make multiple LTFs? Perhaps a previous tent mine that had an exit hole already dropped from the plant.
1,Unexposed,L,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
1,Unexposed,T,5,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,one weird looking gall_shoot_top
1,Unexposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 sawfly egg on top of leaf (pic taken)
1,Unexposed,S,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,~4 leaf hopper molts
1,Unexposed,U,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
1,Unexposed,J,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"maybe 2 shoot galls, or apical shoots are doing something strange"
1,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,no exits on leaf_edge_roll_and_silk; possible that 2 galls are forming at apical meristem.
2,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2,Exposed,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,T,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,Exposed,S,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,U,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown white egg? Near top of plant
2,Exposed,J,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,Unexposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,Unexposed,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3 unique eggs (pic taken)
2,Unexposed,F,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
2,Unexposed,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 temporary fly and tiny mite?
2,Unexposed,X,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Unexposed,S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,Unexposed,U,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Unexposed,T,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stem broken off (no growth on it though)
2,Unexposed,J,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,stem broken off
2,Unexposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,looks like it may have been catching wind at plot edge
3,Exposed,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 aphid molts?
3,Exposed,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 possible shoot top galls forming
3,Exposed,U,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,leaf hopper molt
3,Exposed,S,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
3,Exposed,J,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,T,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Exposed,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Unexposed,W,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,one other thing at top of shoot (don't understand this from my field notes)
