Genotype,Block,Wind Exposure,Plant Position,Unique Number,Dead?,Leaves Collected?,Mature Green Leaves,Shoots sprouting at base,Max Height,Top and bottom shoot Dist,1 shoot M,2 shoot M,3 shoot M,4 shoot M,5 shoot M,6 shoot M,7 shoot M,8 shoot M,9 shoot M,10 shoot M,1 shoot I,2 shoot I,3 shoot I,4 shoot I,5 shoot I,6 shoot I,Notes
I,1,Exposed,1,1,0,yes,23,,29,7.5,7,4.5,2.5,2.5,2,1.5,0,0,0,0,,,,,,,7/22/12 started block 2 at 9:50.   %100 brown tips
W,1,Exposed,2,2,0,yes,37,,32,24,4.5,4,1.5,3.5,2,2,0,0,0,0,,,,,,,10 leaves have %50 damage
F,1,Exposed,3,3,0,yes,6,,34,7,8.5,5,4,0,0,0,0,0,0,0,,,,,,,all browned leaves
L,1,Exposed,4,4,0,yes,17,,26.5,5,4,5,2,1.5,0,0,0,0,0,0,,,,,,,all browned leaf tips
T,1,Exposed,5,5,0,yes,5,,38.5,1.5,10.5,5,0,0,0,0,0,0,0,0,,,,,,,all browned leaves
X,1,Exposed,6,6,0,yes,18,,17,2.5,4,3,2,0,0,0,0,0,0,0,,,,,,,"3 shoots dead above, not collected"
J,1,Exposed,7,7,0,yes,13,1,36.5,27.5,7,3,5.5,1,1,0,0,0,0,0,,,,,,,"1 sawfly egg, all browned leaves"
S,1,Exposed,8,8,0,yes,7,,38.5,5,12.5,6.5,0,0,0,0,0,0,0,0,,,,,,,all browned leaves
U,1,Exposed,9,9,0,yes,2,,33.5,3.5,11,4,0,0,0,0,0,0,0,0,,,,,,,both leaves browned
G,1,Exposed,10,10,0,yes,10,,23,16.5,2.5,3,1,2,2,0,0,0,0,0,,,,,,,5 leaves with %50+ damage
W,1,Unexposed,1,11,0,yes,24,,32,19,7,6,4.5,3.5,0,0,0,0,0,0,,,,,,,"furry egg sack, pic at 16:00, 12 sawfly eggs, half of leaves have brown tips"
F,1,Unexposed,2,12,0,yes,15,,31,9.5,4,4.5,2.5,0,0,0,0,0,0,0,,,,,,,most leaves with browned tips
I,1,Unexposed,3,13,0,yes,11,,25.5,,17,0,0,0,0,0,0,0,0,0,,,,,,,
L,1,Unexposed,4,14,0,yes,28,,28,13,5.5,4.5,4.5,3,1.5,1.5,0,0,0,0,,,,,,,"few brown tips, "
T,1,Unexposed,5,15,0,yes,7,1,39,1.5,12,7,0,0,0,0,0,0,0,0,,,,,,,.5 cm new shoot
X,1,Unexposed,6,16,0,yes,19,,35.5,5,7,5.5,6,7,0,0,0,0,0,0,,,,,,,mostly brown tips
S,1,Unexposed,7,17,0,yes,17,,36.5,2.5,14,6,3,0,0,0,0,0,0,0,,,,,,,
U,1,Unexposed,8,18,0,yes,6,,27.5,,10.5,0,0,0,0,0,0,0,0,0,,,,,,,
J,1,Unexposed,9,19,0,yes,32,,34,15.5,8,6,5,1.5,1,1.5,2,0,0,0,,,,,,,
G,1,Unexposed,10,20,0,yes,12,,25,8,3.5,3,2.5,0,0,0,0,0,0,0,,,,,,,"half of leaves have %30+ damage, pic taken at 16:27"
W,2,Exposed,1,21,0,yes,10,,26.5,3.5,7.5,4.5,0,0,0,0,0,0,0,0,,,,,,,all browned at tips
F,2,Exposed,2,22,0,yes,10,,25.5,12,3.5,4.5,4,2,0,0,0,0,0,0,,,,,,,
I,2,Exposed,3,23,0,no,2,2,11,,1,0,0,0,0,0,0,0,0,0,0.5,1,,,,,
L,2,Exposed,4,24,0,yes,12,3,31,19,1.5,3.5,2.5,1,1.5,1,1,1,0,0,1.5,2.5,0.5,,,,
T,2,Exposed,5,25,0,yes,6,,43,13,10,6,2,0,0,0,0,0,0,0,,,,,,,
X,2,Exposed,6,26,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
S,2,Exposed,7,27,0,no,14,,37.5,13,9.5,2.5,2,0,0,0,0,0,0,0,,,,,,,
U,2,Exposed,8,28,0,yes,8,,33,3,9.5,5,0,0,0,0,0,0,0,0,,,,,,,
