"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"1",7,"1","F",1,"aphid","1_1_aphid_F_4","4",-0.2299197017763
"2",7,"1","F",6,"aphid","1_6_aphid_F_26","26",0.334543686592475
"3",7,"1","F",12,"aphid","1_12_aphid_F_54","54",-0.2299197017763
"4",7,"1","G",1,"aphid","1_1_aphid_G_1","1",-0.2299197017763
"5",7,"1","G",6,"aphid","1_6_aphid_G_24","24",-0.2299197017763
"6",7,"1","G",12,"aphid","1_12_aphid_G_42","42",-0.2299197017763
"7",7,"1","I",1,"aphid","1_1_aphid_I_15","15",0.235522660798197
"8",7,"1","I",6,"aphid","1_6_aphid_I_36","36",0.32010138418228
"9",7,NA,NA,NA,NA,"1_12_aphid_I_57",NA,NA
"10",7,"1","J",1,"aphid","1_1_aphid_J_6","6",-0.130898675982022
"11",7,"1","J",6,"aphid","1_6_aphid_J_29","29",0.377008189945037
"12",7,"1","J",12,"aphid","1_12_aphid_J_46","46",-0.2299197017763
"13",7,"1","L",1,"aphid","1_1_aphid_L_14","14",0.235522660798197
"14",7,"1","L",6,"aphid","1_6_aphid_L_35","35",-0.130898675982022
"15",7,"1","L",12,"aphid","1_12_aphid_L_53","53",-0.2299197017763
"16",7,"1","S",1,"aphid","1_1_aphid_S_13","13",-0.2299197017763
"17",7,"1","S",6,"aphid","1_6_aphid_S_32","32",0.0671433756065336
"18",7,"1","S",12,"aphid","1_12_aphid_S_51","51",0.235522660798197
"19",7,"1","T",1,"aphid","1_1_aphid_T_3","3",0.323109014067684
"20",7,"1","T",6,"aphid","1_6_aphid_T_23","23",0.224087988273407
"21",7,"1","T",12,"aphid","1_12_aphid_T_44","44",-0.2299197017763
"22",7,"1","U",1,"aphid","1_1_aphid_U_17","17",-0.2299197017763
"23",7,"1","U",6,"aphid","1_6_aphid_U_39","39",-0.2299197017763
"24",7,"1","U",12,"aphid","1_12_aphid_U_56","56",-0.2299197017763
"25",7,"1","W",1,"aphid","1_1_aphid_W_2","2",-0.2299197017763
"26",7,"1","W",6,"aphid","1_6_aphid_W_21","21",0.394287134290417
"27",7,"1","W",12,"aphid","1_12_aphid_W_41","41",0.300590593467172
"28",7,"1","X",1,"aphid","1_1_aphid_X_7","7",-0.2299197017763
"29",7,"1","X",6,"aphid","1_6_aphid_X_27","27",0.326054626525218
"30",7,"2","F",1,"aphid","2_1_aphid_F_10","70",0.19071443810462
"31",7,"2","G",6,"aphid","2_6_aphid_G_22","82",-0.2299197017763
"32",7,"2","G",12,"aphid","2_12_aphid_G_43","103",-0.2299197017763
"33",7,"2","I",1,"aphid","2_1_aphid_I_13","73",0.125066962479129
"34",7,"2","I",6,"aphid","2_6_aphid_I_31","91",0.182990549351723
"35",7,"2","I",12,"aphid","2_12_aphid_I_49","109",0.300590593467172
"36",7,"2","J",1,"aphid","2_1_aphid_J_11","71",-0.2299197017763
"37",7,"2","J",6,"aphid","2_6_aphid_J_35","95",0.285925714315732
"38",7,"2","J",12,"aphid","2_12_aphid_J_53","113",-0.2299197017763
"39",7,"2","L",1,"aphid","2_1_aphid_L_19","79",-0.2299197017763
"40",7,"2","L",6,"aphid","2_6_aphid_L_39","99",-0.2299197017763
"41",7,"2","L",12,"aphid","2_12_aphid_L_56","116",-0.2299197017763
"42",7,"2","S",6,"aphid","2_6_aphid_S_29","89",-0.2299197017763
"43",7,"2","S",12,"aphid","2_12_aphid_S_47","107",-0.2299197017763
"44",7,"2","T",1,"aphid","2_1_aphid_T_7","67",0.166164401400812
"45",7,"2","T",6,"aphid","2_6_aphid_T_26","86",-0.2299197017763
"46",7,"2","T",12,"aphid","2_12_aphid_T_44","104",0.235522660798197
"47",7,"2","U",1,"aphid","2_1_aphid_U_16","76",-0.0318776501877442
"48",7,"2","U",6,"aphid","2_6_aphid_U_34","94",-0.2299197017763
"49",7,"2","U",12,"aphid","2_12_aphid_U_58","118",-0.2299197017763
"50",7,"2","W",1,"aphid","2_1_aphid_W_1","61",-0.2299197017763
"51",7,"2","W",6,"aphid","2_6_aphid_W_25","85",-0.2299197017763
"52",7,"2","W",12,"aphid","2_12_aphid_W_51","111",-0.2299197017763
"53",7,"2","X",1,"aphid","2_1_aphid_X_2","62",-0.0729750891094272
"54",7,"2","X",6,"aphid","2_6_aphid_X_21","81",-0.2299197017763
"55",7,"2","X",12,"aphid","2_12_aphid_X_41","101",-0.2299197017763
"56",7,"3","F",1,"aphid","3_1_aphid_F_13","133",0.205012075041332
"57",7,"3","F",6,"aphid","3_6_aphid_F_34","154",0.235522660798197
"58",7,"3","F",12,"aphid","3_12_aphid_F_50","170",0.174825061660302
"59",7,"3","G",1,"aphid","3_1_aphid_G_5","125",-0.2299197017763
"60",7,"3","G",6,"aphid","3_6_aphid_G_25","145",-0.2299197017763
"61",7,"3","G",12,"aphid","3_12_aphid_G_44","164",-0.2299197017763
"62",7,"3","I",1,"aphid","3_1_aphid_I_9","129",-0.2299197017763
