"","block","treatment","plot.id","moisture.vwc.July9_13","temp.C.July9_13","EC.July9_13"
"1",1,"1","1_1",0.041,NA,NA
"2",1,"12","1_12",0.0436,NA,NA
"3",1,"6","1_6",0.0422,NA,NA
"4",2,"1","2_1",0.0284,NA,NA
"5",2,"12","2_12",0.038,NA,NA
"6",2,"6","2_6",0.035,NA,NA
"7",3,"1","3_1",0.0346,NA,NA
"8",3,"12","3_12",0.0464,NA,NA
"9",3,"6","3_6",0.0392,NA,NA
"10",4,"1","4_1",0.0326,NA,NA
"11",4,"12","4_12",0.0326,NA,NA
"12",4,"6","4_6",0.0328,NA,NA
"13",5,"1","5_1",0.0564,NA,NA
"14",5,"12","5_12",0.0428,NA,NA
"15",5,"6","5_6",0.033,NA,NA
