"","Year","Block","Aphid.treatment","Ant.mound.dist","Genotype","plant_ID","Height","all.shoot.count","mature.shoot.avg.length","leaf_WC","leaf_trichome.density","trait.PC1","trait.PC2"
"1",2012,"1","aphid",1,"G","1_1_aphid_G_1",50.5,1,0.638888888888889,NA,NA,-0.658793157025124,-1.24991943322557
"2",2012,"1","aphid",1,"W","1_1_aphid_W_2",56,3,0.888888888888889,1.66666666666667,2,1.03721536998683,0.908924421576881
"3",2012,"1","aphid",1,"T","1_1_aphid_T_3",51.5,1,0.583333333333333,NA,NA,-0.711253113766669,-1.33162579699778
"4",2012,"1","aphid",1,"F","1_1_aphid_F_4",49,2,0.638888888888889,NA,NA,-0.505356134250306,-0.996668920873011
"5",2012,"1","none",1,"F","1_1_none_F_5",49,4,0.483333333333333,NA,NA,-0.340105257900384,-0.730803850874904
"6",2012,"1","aphid",1,"J","1_1_aphid_J_6",47,7,0.388888888888889,NA,NA,0.0520827226698773,-0.157385676809338
"7",2012,"1","aphid",1,"X","1_1_aphid_X_7",56.2,7,1.31111111111111,NA,NA,1.60206555286193,-0.330759600875276
"8",2012,"1","none",1,"G","1_1_none_G_8",33,3,0.811111111111111,NA,NA,-0.489381697143352,0.185785079429318
"9",2012,"1","none",1,"J","1_1_none_J_9",53.4,6,0.783333333333333,NA,NA,0.586993973356495,-0.542009175069724
"10",2012,"1","none",1,"T","1_1_none_T_10",56.5,4,0.966666666666667,NA,NA,0.542737849556287,-0.980467513788871
"11",2012,"1","none",1,"W","1_1_none_W_11",52,4,1.37222222222222,2.26262626262626,53,0.690139751983995,-1.89419241650257
"12",2012,"1","none",1,"X","1_1_none_X_12",53.5,3,0.811111111111111,1.77142857142857,77,0.185315437299765,-2.51009905375329
"13",2012,"1","aphid",1,"S","1_1_aphid_S_13",59,2,1.16666666666667,2.34615384615385,30,0.425192516266721,-1.31679206391429
"14",2012,"1","aphid",1,"L","1_1_aphid_L_14",48,9,1.32222222222222,NA,NA,1.78781384784467,0.488536100205308
"15",2012,"1","aphid",1,"I","1_1_aphid_I_15",48.3,7,1.18888888888889,1.75,0,1.79000123704372,1.51496951407672
"16",2012,"1","none",1,"S","1_1_none_S_16",NA,NA,NA,NA,NA,0.000319895103668056,-1.15475423723682e-05
"17",2012,"1","aphid",1,"U","1_1_aphid_U_17",48,4,1.38888888888889,1.75308641975309,4,1.43055955502068,0.968764544459072
"18",2012,"1","none",1,"I","1_1_none_I_18",32.5,3,1.37222222222222,1.75757575757576,2,0.734985788252382,1.44535132588614
"19",2012,"1","none",1,"L","1_1_none_L_19",41,10,1.02222222222222,1.65789473684211,3,1.96635707537099,2.06517412401531
"20",2012,"1","none",1,"U","1_1_none_U_20",50,3,1.38888888888889,NA,NA,0.777467078663987,-0.589033389183006
"21",2012,"1","aphid",6,"W","1_6_aphid_W_21",45.5,2,0.833333333333333,2.078125,10,0.00742695303837393,0.373681948947433
"22",2012,"1","none",6,"W","1_6_none_W_22",54.5,2,0.927777777777778,2.54929577464789,51,-0.345166253125965,-2.27339651281197
"23",2012,"1","aphid",6,"T","1_6_aphid_T_23",51,11,0.25,NA,NA,0.732107534788088,0.206670357738849
"24",2012,"1","aphid",6,"G","1_6_aphid_G_24",11,3,0,NA,NA,-2.21873893638914,1.16291108286108
"25",2012,"1","none",6,"G","1_6_none_G_25",13,5,0,NA,NA,-1.7802471489243,1.37295870394517
"26",2012,"1","aphid",6,"F","1_6_aphid_F_26",19.5,3,0,NA,NA,-1.9949887751333,0.658940296705336
"27",2012,"1","aphid",6,"X","1_6_aphid_X_27",18,4,0,NA,NA,-1.84155175235848,0.912190809057894
"28",2012,"1","none",6,"T","1_6_none_T_28",6.5,6,0,NA,NA,-1.75842786806468,1.92266261991876
"29",2012,"1","aphid",6,"J","1_6_aphid_J_29",14,4,0,NA,NA,-1.94684594589064,1.14935353195472
"30",2012,"1","none",6,"F","1_6_none_F_30",18.9,1,0,NA,NA,-2.39662759486188,0.365885722607358
"31",2012,"1","none",6,"J","1_6_none_J_31",20,5,0,NA,NA,-1.59598231024303,0.957923938875733
"32",2012,"1","aphid",6,"S","1_6_aphid_S_32",13,2,0,NA,NA,-2.35901418497244,0.880015230146422
"33",2012,"1","none",6,"S","1_6_none_S_33",NA,NA,NA,NA,NA,0.000319895103668056,-1.15475423723682e-05
"34",2012,"1","none",6,"X","1_6_none_X_34",47,1,0.472222222222222,NA,NA,-0.987276091739512,-1.10964909983484
"35",2012,"1","aphid",6,"L","1_6_aphid_L_35",11,5,0,NA,NA,-1.83289424569038,1.49154006539358
"36",2012,"1","aphid",6,"I","1_6_aphid_I_36",7.5,2,0,NA,NA,-2.50379370107915,1.20611397412955
"37",2012,"1","none",6,"L","1_6_none_L_37",8,5,0,NA,NA,-1.9118648908395,1.6694121075662
"38",2012,"1","none",6,"I","1_6_none_I_38",15,4,0,NA,NA,-1.9205223975076,1.09006285123051
"39",2012,"1","aphid",6,"U","1_6_aphid_U_39",10,4,0,NA,NA,-2.0521401394228,1.38651625485154
"40",2012,"1","none",6,"U","1_6_none_U_40",56,1,0.583333333333333,NA,NA,-0.59279714604299,-1.5984338602567
"41",2012,"1","aphid",12,"W","1_12_aphid_W_41",55,2,0.888888888888889,1.78787878787879,57,0.282633315169009,-1.79045049536649
"42",2012,"1","aphid",12,"G","1_12_aphid_G_42",28,4,0.927777777777778,NA,NA,-0.262631732947546,0.69362590871739
"43",2012,"1","none",12,"G","1_12_none_G_43",40.5,3,0.65,NA,NA,-0.520427249131847,-0.323900506841415
"44",2012,"1","aphid",12,"T","1_12_aphid_T_44",57.5,3,1.42777777777778,2.07407407407407,5,1.30050267303342,0.183151897250803
"45",2012,"1","none",12,"W","1_12_none_W_45",57.5,3,1.61666666666667,NA,NA,1.29790606254758,-0.94180919411776
"46",2012,"1","aphid",12,"J","1_12_aphid_J_46",48,4,0.888888888888889,4.26315789473684,25,-1.61835376784378,-2.37557167047649
"47",2012,"1","none",12,"J","1_12_none_J_47",10,5,0,NA,NA,-1.85921779407342,1.55083074611779
"48",2012,"1","aphid",12,"X","1_12_aphid_X_48",NA,NA,NA,NA,NA,0.000319895103668056,-1.15475423723682e-05
"49",2012,"1","none",12,"X","1_12_none_X_49",48.5,2,0.805555555555556,3.62790697674419,77,-1.87850173591019,-4.31518354632831
"50",2012,"1","none",12,"T","1_12_none_T_50",48,5,0.372222222222222,NA,NA,-0.331073471183213,-0.552030044980443
"51",2012,"1","aphid",12,"S","1_12_aphid_S_51",11,6,0.322222222222222,NA,NA,-1.18302757061842,1.78586551833822
"52",2012,"1","none",12,"S","1_12_none_S_52",NA,NA,NA,NA,NA,0.000319895103668056,-1.15475423723682e-05
"53",2012,"1","aphid",12,"L","1_12_aphid_L_53",21,2,0.616666666666667,NA,NA,-1.27392889102524,0.654503866185545
"54",2012,"1","aphid",12,"F","1_12_aphid_F_54",16,3,0,NA,NA,-2.08712119447394,0.866457679240056
"55",2012,"1","none",12,"F","1_12_none_F_55",NA,NA,NA,NA,NA,0.000319895103668056,-1.15475423723682e-05
"56",2012,"1","aphid",12,"U","1_12_aphid_U_56",9,1,0.416666666666667,NA,NA,-2.0663544354196,1.12098108463697
