"","Block","Wind.Exposure","Plot_code","Total.N","NO3.N","NH4.N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","percent.TOM","avg.moisture.vwc","nut.PC1","soil.PC1","soil.PC2"
"1",8,"Exposed","8.E",5.8,2.8,3,125.4,162.6,74.6,1.2,13.5,6.5,0.3,1.2,0.7,24.3,0.2,18.5,0.1,0.0113322764370852,0.0612222222222222,2.06632957437344,2.02943251121941,-2.42953469768546
"2",10,"Exposed","10.E",3.4,0,3.4,183,209,78.9,1.7,8.8,17.6,0.2,0.6,0.7,27.2,0,18.3,0.2,0.0117826890007007,0.0533277777777778,1.5287364771751,1.66397455266653,2.57254132784693
"3",9,"Unexposed","9.U",3.1,0.3,2.8,172,239.4,152.4,10.1,14.5,5.4,0.3,0.8,0.9,37.3,0.2,19.9,0.2,0.0132468996617815,0.201904761904762,5.31421667641039,6.60816954185344,0.581608201775474
"4",7,"Unexposed","7.U",3.1,1.4,1.7,133.8,172.3,103,4.1,7.5,8.7,0.3,0.6,0.6,28.8,0.1,14,0.2,0.0102907980347894,0.0976111111111111,1.35843913714373,1.61739452961244,0.690910628447081
"5",4,"Unexposed","4.U",6.9,3.8,3.1,74.1,108.4,97.9,1.2,10.7,4.5,0.3,0.8,1.1,16.3,0,18.2,0.1,0.00871925164568635,0.0486319444444444,-0.116616316067724,-0.674607860351913,-3.38364560337099
"6",1,"Unexposed","1.U",8.5,4.7,3.8,130.1,156.1,46.1,0.7,6.7,2.6,0.2,0.6,0.6,24.5,0,13.1,0.1,NA,0.0577777777777778,-1.96206869391156,-2.06335420107337,0.250239389726674
"7",6,"Exposed","6.E",8.5,5.4,3.1,168.9,183,51.5,0.8,5.4,7.4,0.2,0.4,0.7,24.3,0.1,13.3,0.2,0.00976333189149115,0.0505611111111111,-0.848454691269788,-0.800879648113552,2.24643146751176
"8",10,"Unexposed","10.U",6.4,2.9,3.5,126.8,144.5,42.6,3.7,9.9,6.8,0.2,0.4,0.4,37,0.1,11.6,0.1,0.0110630267139556,0.113827777777778,-0.885222874315586,-0.0467379498881214,1.20974525303762
"9",7,"Exposed","7.E",5.6,3.7,1.9,136.7,199.3,70.3,6.7,5.9,7.4,0.2,0.4,0.7,18.6,0,16.4,0.1,NA,0.0397444444444444,-0.067744468469545,-0.232246777763117,1.28835968347873
"10",9,"Exposed","9.E",11.9,8.4,3.5,134.8,149.5,53.8,0.6,5.2,2.4,0.2,0.5,0.6,14,0,14.6,0.2,0.00743829595401769,0.0449801587301587,-2.58065099556726,-2.93390812843853,0.76387092739193
"11",5,"Unexposed","5.U",4.3,3.1,1.2,125.4,174.9,100.5,1.7,10.1,15.6,0.2,0.6,1.4,26.7,0.1,20.2,0.1,0.0130549804462848,0.09985,2.25545359614884,2.81953437034551,-0.482135395359351
"12",2,"Unexposed","2.U",5.5,2.7,2.8,88.4,92.2,40,0.9,5.8,2.5,0.2,0.4,0.8,15.4,0.1,17,0.1,0.00659923189268134,0.0462460317460317,-2.14215819361478,-2.77992745502226,-1.28532598920479
"13",4,"Exposed","4.E",4.6,0.9,3.7,141.7,176.9,57.7,0.7,14.5,2.5,0.2,0.5,1.3,54.1,0.1,22.4,0.1,0.0101977750309024,0.0652604166666667,2.23600523074868,1.97364565739364,-0.5385242965958
"14",6,"Unexposed","6.U",5.3,2.9,2.5,118.1,137.9,59.1,1.1,5.5,7.8,0.1,0.4,0.5,15,0.1,14.1,0.3,0.00892964884759238,0.0442611111111111,-2.01564839063849,-2.08024776416046,2.32421201684563
"15",2,"Exposed","2.E",8.1,4.7,3.3,119.9,141.7,89,0.9,4.6,1.6,0.2,0.5,0.8,13.3,0,14.1,0.2,0.00785939723992837,0.0594277777777778,-2.01301656440996,-2.27032750776014,0.249533138609651
"16",5,"Exposed","5.E",8.6,4.9,3.7,106.6,153.8,128.9,1,6.4,10.8,0.2,0.5,0.8,14,0,15.5,0.1,0.00810081008100841,0.0573611111111111,-1.10246016056966,-1.4676417884303,-0.591979715259462
"17",3,"Unexposed","3.U",8.8,5.9,2.9,83.4,103,136.6,3.8,6.8,7,0.2,0.8,0.7,13.8,0.1,18.9,0.1,0.00800900611128988,0.0543472222222222,-0.603439341905459,-1.0872456973777,-2.46047669942644
"18",8,"Unexposed","8.U",5.6,3.4,2.2,162.6,195.1,122.6,1.9,16.8,13.5,0.3,0.6,1.1,28.9,0.1,27.2,0.2,0.0107500610798924,0.110416666666667,4.33821277987601,4.29232983597679,-0.498403952110446
"19",3,"Exposed","3.E",11.9,7.9,4,122.2,129.1,62.9,1,5.8,4.2,0.2,0.5,0.6,16.4,0.1,14.6,0.1,0.00865800865800864,0.0637083333333333,-2.33484653608988,-2.32591100946356,-0.324246289033628
"20",1,"Exposed","1.E",14.6,12.2,2.4,112.7,153.7,52.9,1.1,6.6,4.6,0.2,0.6,0.5,19.1,0.1,11.7,0.1,0.00874378992193024,0.0748,-2.4250662450465,-2.24144521122474,-0.183179396625117
