"","Year","Block","Wind.Exposure","Genotype","plant_ID","Dead","Height","all.shoot.count","all.shoot.avg.length","leaf_trichome.density","leaf_WC","SLA","leaf_area.mm2","leaf_C_N","leaf_C.mg","leaf_N.mg","leaf_C.perc","leaf_N.perc","trait.PC1","trait.PC2","root_N.perc","root_N.mg","root_C.perc","root_C.mg","root_CN"
"1",2012,"1","Exposed","I","1EI1",0,29,6,1.25,3,1.67391304347826,NA,NA,NA,NA,NA,NA,NA,0.844346058869037,-0.564189049516298,NA,NA,NA,NA,NA
"2",2012,"1","Exposed","W","1EW2",0,32,6,1.09375,23,1.13793103448276,NA,NA,NA,NA,NA,NA,NA,0.979603944184565,-0.695707513191406,NA,NA,NA,NA,NA
"3",2012,"1","Exposed","F","1EF3",0,34,3,1.09375,2,1.49152542372881,NA,NA,NA,NA,NA,NA,NA,0.2424355266968,-1.38347114937189,NA,NA,NA,NA,NA
"4",2012,"1","Exposed","L","1EL4",0,26.5,4,0.78125,25,1.62790697674419,NA,NA,NA,NA,NA,NA,NA,-0.493048894505681,-0.0223063363077598,NA,NA,NA,NA,NA
"5",2012,"1","Exposed","T","1ET5",0,38.5,2,0.96875,0,1.89795918367347,NA,NA,NA,NA,NA,NA,NA,0.0117458565443154,-1.0810219676704,NA,NA,NA,NA,NA
"6",2012,"1","Exposed","X","1EX6",0,17,3,0.5625,63,2.39130434782609,NA,NA,NA,NA,NA,NA,NA,-1.72408542336146,2.51735100780161,NA,NA,NA,NA,NA
"7",2012,"1","Exposed","J","1EJ7",0,36.5,6,1.125,3,1.91666666666667,NA,NA,NA,NA,NA,NA,NA,1.0958800395945,-0.354555276175928,NA,NA,NA,NA,NA
"8",2012,"1","Exposed","S","1ES8",0,38.5,2,1.1875,30,1.55769230769231,NA,NA,NA,NA,NA,NA,NA,0.598623237815047,-0.575685604261242,NA,NA,NA,NA,NA
"9",2012,"1","Exposed","U","1EU9",0,33.5,2,0.9375,0,1.74285714285714,NA,NA,NA,NA,NA,NA,NA,-0.355115421181959,-1.19158906514198,NA,NA,NA,NA,NA
"10",2012,"1","Exposed","G","1EG10",0,23,5,0.65625,0,1.61111111111111,NA,NA,NA,NA,NA,NA,NA,-0.829855020915975,-0.670741134928938,NA,NA,NA,NA,NA
"11",2012,"1","Unexposed","W","1UW1",0,32,4,1.3125,20,1.39473684210526,NA,NA,NA,NA,NA,NA,NA,0.822880415064248,-0.74910053085772,NA,NA,NA,NA,NA
"12",2012,"1","Unexposed","F","1UF2",0,31,3,0.6875,1,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,-0.703565708817612,-1.02643864210685,NA,NA,NA,NA,NA
"13",2012,"1","Unexposed","I","1UI3",0,25.5,1,1.0625,0,1.49056603773585,NA,NA,NA,NA,NA,NA,NA,-0.874295335643185,-1.54828462347785,NA,NA,NA,NA,NA
"14",2012,"1","Unexposed","L","1UL4",0,28,6,1.28125,0,2,NA,NA,NA,NA,NA,NA,NA,0.752226637241226,-0.173818942242607,NA,NA,NA,NA,NA
"15",2012,"1","Unexposed","T","1UT5",0,39,3,1.21875,3,1.81,NA,NA,NA,NA,NA,NA,NA,0.744311692829759,-1.01483878478259,NA,NA,NA,NA,NA
"16",2012,"1","Unexposed","X","1UX6",0,35.5,4,1.59375,6,2.06451612903226,NA,NA,NA,NA,NA,NA,NA,1.35202843140716,-0.379311643507467,NA,NA,NA,NA,NA
"17",2012,"1","Unexposed","S","1US7",0,36.5,3,1.4375,1,1.734375,NA,NA,NA,NA,NA,NA,NA,0.955689407913237,-1.17620272808705,NA,NA,NA,NA,NA
"18",2012,"1","Unexposed","U","1UU8",0,27.5,1,0.65625,0,1.55696202531646,NA,NA,NA,NA,NA,NA,NA,-1.45151007109731,-1.42703996423684,NA,NA,NA,NA,NA
"19",2012,"1","Unexposed","J","1UJ9",0,34,7,1.5625,4,1.93023255813954,NA,NA,NA,NA,NA,NA,NA,1.91724574083368,-0.173967683998697,NA,NA,NA,NA,NA
"20",2012,"1","Unexposed","G","1UG10",0,25,3,0.5625,1,1.48648648648649,NA,NA,NA,NA,NA,NA,NA,-1.29604920790461,-1.13565801884515,NA,NA,NA,NA,NA
"21",2012,"2","Exposed","W","2EW1",0,26.5,2,0.75,21,1.78461538461538,NA,NA,NA,NA,NA,NA,NA,-1.06686488733984,-0.214762651195403,NA,NA,NA,NA,NA
"22",2012,"2","Exposed","F","2EF2",0,25.5,4,0.875,1,1.48,NA,NA,NA,NA,NA,NA,NA,-0.485660491224295,-1.06477483575841,NA,NA,NA,NA,NA
"23",2012,"2","Exposed","I","2EI3",0,11,3,0.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96277753025461,0.467481163654962,NA,NA,NA,NA,NA
"24",2012,"2","Exposed","L","2EL4",0,31,11,1.09375,8,1.64705882352941,NA,NA,NA,NA,NA,NA,NA,1.9167713506085,0.272870558695074,NA,NA,NA,NA,NA
"25",2012,"2","Exposed","T","2ET5",0,43,3,1.125,0,1.89230769230769,NA,NA,NA,NA,NA,NA,NA,0.826509988262264,-1.07155865106937,NA,NA,NA,NA,NA
"26",2012,"2","Exposed","X","2EX6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"27",2012,"2","Exposed","S","2ES7",0,37.5,3,0.875,0,1.58333333333333,NA,NA,NA,NA,NA,NA,NA,0.0774170826795526,-1.35938817876436,NA,NA,NA,NA,NA
"28",2012,"2","Exposed","U","2EU8",0,33,2,0.90625,7,1.67948717948718,NA,NA,NA,NA,NA,NA,NA,-0.397681368946002,-1.02520618301894,NA,NA,NA,NA,NA
"29",2012,"2","Exposed","J","2EJ9",0,26.5,6,1.4375,4,2.08695652173913,NA,NA,NA,NA,NA,NA,NA,0.921410736131781,0.0992384526085661,NA,NA,NA,NA,NA
"30",2012,"2","Exposed","G","2EG10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"31",2012,"2","Unexposed","W","2UW1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"32",2012,"2","Unexposed","I","2UI2",0,26.5,5,0.9375,43,1.56756756756757,NA,NA,NA,NA,NA,NA,NA,0.109585172326892,0.631473687588871,NA,NA,NA,NA,NA
"33",2012,"2","Unexposed","F","2UF3",0,28,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0858303806198731,-0.0297068371098179,NA,NA,NA,NA,NA
