"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_1618","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_1606","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_7","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_1","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_2","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_39","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_105","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_32","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Pochonia","Pochonia bulbillosa","Probable","NULL","Animal Pathogen","Probable"
"OTU_16","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_64","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Ilyonectria","Ilyonectria mors-panacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_44","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_15","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_313","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Stagonosporopsis","Stagonosporopsis ajacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_25","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp WD35C","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_11","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_19","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hebeloma","Hebeloma cavipes","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_20","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_46","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_27","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_72","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Polyscytalum","Polyscytalum pustulans","Probable","NULL","Plant Pathogen","Probable"
"OTU_83","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Gibberella baccata","Probable","NULL","Plant Pathogen","Probable"
"OTU_41","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium sp","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_1046","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_22","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_113","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_3","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lacera var. helobia","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_34","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
