,,Sample,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,,
,,,,Reten. Time [min],Weight [mg],Weight [%],Reten. Time [min],Weight [mg],Weight [%],Possible_switch,Notes
_18_10_2013 3_51_33 PM_003,Colibrick - 1,bypass,0,2.044,0.173,6.34,3.34,2.56,93.66,,
Calib\_18_10_2013 4_05_37 PM_005,Colibrick - 1,std1,2.3,2.036,0.11,4.77,3.404,1.629,70.82,,
Calib\_18_10_2013 4_11_38 PM_006,Colibrick - 1,std2,4.677,2.052,0.23,4.93,3.308,3.292,70.39,,
Calib\_18_10_2013 4_17_39 PM_007,Colibrick - 1,std 3,6.26,2.06,0.301,4.8,3.253,4.421,70.62,,
_18_10_2013 4_26_31 PM_008,Colibrick - 1,blind std,4.736,2.053,0.224,4.72,3.3,3.32,70.11,,
_18_10_2013 4_32_32 PM_009,Colibrick - 1,1U4,5.587,2.073,0.048,0.86,3.433,2.71,48.51,,
_18_10_2013 4_38_33 PM_010,Colibrick - 1,1U1,5.66,2.073,0.079,1.39,3.4,2.775,49.03,,
_18_10_2013 4_44_33 PM_011,Colibrick - 1,1U8,5.283,2.06,0.063,1.19,3.407,2.59,49.03,,
_18_10_2013 4_50_34 PM_012,Colibrick - 1,7E8,5.352,2.06,0.054,1.02,3.413,2.451,45.79,,
_18_10_2013 4_56_35 PM_013,Colibrick - 1,2U3,5.191,2.06,0.065,1.25,3.433,2.588,49.85,,
_18_10_2013 5_02_36 PM_014,Colibrick - 1,3E4,5.33,2.06,0.085,1.59,3.393,2.671,50.1,,
_18_10_2013 5_08_36 PM_015,Colibrick - 1,6U4,5.243,2.06,0.055,1.04,3.407,2.541,48.47,,
_18_10_2013 5_14_37 PM_016,Colibrick - 1,2U8,5.804,2.06,0.088,1.52,3.393,2.823,48.65,,
_18_10_2013 5_20_38 PM_017,Colibrick - 1,2E1,5.553,2.073,0.053,0.96,3.407,2.655,47.8,1,"MIGHT BE SWITCHED, RE DO"
_18_10_2013 5_26_39 PM_018,Colibrick - 1,9U6,5.85,2.067,0.083,1.41,3.4,2.718,46.45,1
_18_10_2013 5_32_39 PM_019,Colibrick - 1,blind standard,4.518,2.053,0.209,4.64,3.293,3.164,70.04,
_18_10_2013 5_38_40 PM_020,Colibrick - 1,8E2,5.401,2.06,0.047,0.86,3.4,2.472,45.78,
_18_10_2013 5_44_41 PM_021,Colibrick - 1,1U5,5.125,2.073,0.063,1.23,3.44,2.448,47.76,
_18_10_2013 5_50_42 PM_022,Colibrick - 1,5U1,5.866,2.073,0.067,1.14,3.4,2.89,49.26,
_18_10_2013 5_56_43 PM_023,Colibrick - 1,3E5,5.172,2.067,0.054,1.05,3.407,2.464,47.64,
_18_10_2013 6_02_44 PM_024,Colibrick - 1,5U2,6.015,2.08,0.061,1.02,3.413,2.898,48.17,
_18_10_2013 6_08_44 PM_025,Colibrick - 1,4U8,5.504,2.067,0.047,0.85,3.413,2.54,46.15,
_18_10_2013 6_14_45 PM_026,Colibrick - 1,4U5,5.758,2.06,0.067,1.16,3.4,2.862,49.7,
_18_10_2013 6_20_46 PM_027,Colibrick - 1,5U6,5.846,2.08,0.034,0.58,3.42,2.797,47.85,
_18_10_2013 6_26_47 PM_028,Colibrick - 1,1E10,5.553,2.073,0.042,0.75,3.427,2.675,48.17,
_18_10_2013 6_32_48 PM_029,Colibrick - 1,3U6,5.711,2.073,0.065,1.14,3.4,2.837,49.68,
_18_10_2013 6_38_49 PM_030,Colibrick - 1,1E5,5.319,2.073,0.067,1.26,3.433,2.566,48.25,
_18_10_2013 6_44_50 PM_031,Colibrick - 1,blind standard,5.495,2.06,0.256,4.66,3.247,3.846,69.98,
_18_10_2013 6_50_51 PM_032,Colibrick - 1,2E8,5.915,2.06,0.063,1.07,3.4,2.889,48.84,
_18_10_2013 6_56_51 PM_033,Colibrick - 1,10U5,5.274,2.067,0.027,0.5,3.407,2.417,45.83,
_18_10_2013 7_02_52 PM_034,Colibrick - 1,6U2,5.842,2.08,0.073,1.25,3.413,2.896,49.57
_18_10_2013 7_08_54 PM_035,Colibrick - 1,7E4,5.749,2.073,0.039,0.67,3.427,2.8,48.71
_18_10_2013 7_14_55 PM_036,Colibrick - 1,2U5,5.274,2.073,0.075,1.43,3.413,2.732,51.8
_18_10_2013 7_20_56 PM_037,Colibrick - 1,4E3,5.659,2.08,0.039,0.69,3.4,2.609,46.11
_18_10_2013 7_26_57 PM_038,Colibrick - 1,1E3,6.02,2.08,0.058,0.96,3.413,2.893,48.06
_18_10_2013 7_32_58 PM_039,Colibrick - 1,2E7,5.403,2.067,0.037,0.69,3.413,2.58,47.75
