WAL #,Plot ID,Plot Desc.,# Anion,# Cation,Notes,Sample Label,Wind Site,Treatment,Total N,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
111607,1,09/17/2012-09/28/2012,3,3,,1,8,e,5.8,2.8,3.0,125.4,162.6,74.6,1.2,13.5,6.5,0.3,1.2,0.7,24.3,0.2,18.5,0.1
111608,2,09/17/2012-09/28/2012,3,3,,2,10,e,3.4,0.0,3.4,183.0,209.0,78.9,1.7,8.8,17.6,0.2,0.6,0.7,27.2,0.0,18.3,0.2
111609,3,09/17/2012-09/28/2012,3,3,,3,9,u,3.1,0.3,2.8,172.0,239.4,152.4,10.1,14.5,5.4,0.3,0.8,0.9,37.3,0.2,19.9,0.2
111610,4,09/17/2012-09/28/2012,3,3,,4,7,u,3.1,1.4,1.7,133.8,172.3,103.0,4.1,7.5,8.7,0.3,0.6,0.6,28.8,0.1,14.0,0.2
111611,5,09/17/2012-09/28/2012,3,3,,5,4,u,6.9,3.8,3.1,74.1,108.4,97.9,1.2,10.7,4.5,0.3,0.8,1.1,16.3,0.0,18.2,0.1
111612,6,09/17/2012-09/28/2012,3,3,,6,1,u,8.5,4.7,3.8,130.1,156.1,46.1,0.7,6.7,2.6,0.2,0.6,0.6,24.5,0.0,13.1,0.1
111613,7,09/17/2012-09/28/2012,3,3,,7,6,e,8.5,5.4,3.1,168.9,183.0,51.5,0.8,5.4,7.4,0.2,0.4,0.7,24.3,0.1,13.3,0.2
111614,8,09/17/2012-09/28/2012,3,3,,8,10,u,6.4,2.9,3.5,126.8,144.5,42.6,3.7,9.9,6.8,0.2,0.4,0.4,37.0,0.1,11.6,0.1
111615,9,09/17/2012-09/28/2012,3,3,,9,7,e,5.6,3.7,1.9,136.7,199.3,70.3,6.7,5.9,7.4,0.2,0.4,0.7,18.6,0.0,16.4,0.1
111616,10,09/17/2012-09/28/2012,3,3,,10,9,e,11.9,8.4,3.5,134.8,149.5,53.8,0.6,5.2,2.4,0.2,0.5,0.6,14.0,0.0,14.6,0.2
111617,11,09/17/2012-09/28/2012,3,3,,11,5,u,4.3,3.1,1.2,125.4,174.9,100.5,1.7,10.1,15.6,0.2,0.6,1.4,26.7,0.1,20.2,0.1
111618,12,09/17/2012-09/28/2012,3,3,,12,2,u,5.5,2.7,2.8,88.4,92.2,40.0,0.9,5.8,2.5,0.2,0.4,0.8,15.4,0.1,17.0,0.1
111619,13,09/17/2012-09/28/2012,3,3,,13,4,e,4.6,0.9,3.7,141.7,176.9,57.7,0.7,14.5,2.5,0.2,0.5,1.3,54.1,0.1,22.4,0.1
111620,14,09/17/2012-09/28/2012,3,3,,14,6,u,5.3,2.9,2.5,118.1,137.9,59.1,1.1,5.5,7.8,0.1,0.4,0.5,15.0,0.1,14.1,0.3
111621,15,09/17/2012-09/28/2012,3,3,,15,2,e,8.1,4.7,3.3,119.9,141.7,89.0,0.9,4.6,1.6,0.2,0.5,0.8,13.3,0.0,14.1,0.2
111622,16,09/17/2012-09/28/2012,3,3,,16,5,e,8.6,4.9,3.7,106.6,153.8,128.9,1.0,6.4,10.8,0.2,0.5,0.8,14.0,0.0,15.5,0.1
111623,17,09/17/2012-09/28/2012,3,3,,17,3,u,8.8,5.9,2.9,83.4,103.0,136.6,3.8,6.8,7.0,0.2,0.8,0.7,13.8,0.1,18.9,0.1
111624,18,09/17/2012-09/28/2012,3,3,,18,8,u,5.6,3.4,2.2,162.6,195.1,122.6,1.9,16.8,13.5,0.3,0.6,1.1,28.9,0.1,27.2,0.2
111625,19,09/17/2012-09/28/2012,3,3,,19,3,e,11.9,7.9,4.0,122.2,129.1,62.9,1.0,5.8,4.2,0.2,0.5,0.6,16.4,0.1,14.6,0.1
111626,20,09/17/2012-09/28/2012,3,3,,20,1,e,14.6,12.2,2.4,112.7,153.7,52.9,1.1,6.6,4.6,0.2,0.6,0.5,19.1,0.1,11.7,0.1
