"# surveyed on July 9, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,Dead,Height,1 shoot length,2 shoot length,3 shoot length,4 shoot length,5 shoot length,6 shoot length,7 shoot length,8 shoot length,9 shoot length,10 shoot length,11 shoot length,12 shoot length,13 shoot length,14 shoot length,15 shoot length,16 shoot length,17 shoot length,18 shoot length,19 shoot length,20 shoot length,21 shoot length,22 shoot length
1,aphid,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,2,0,6.5,6.5,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,1,5,0,11,4.5,1.5,4,,,,,,,,,,,,,,,,,,,
1,aphid,1,6,0,7,3,1.5,2.5,1,1,,,,,,,,,,,,,,,,,
1,aphid,1,7,0,4,3,3,3,,,,,,,,,,,,,,,,,,,
1,none,1,8,0,7,4,1,1,1,,,,,,,,,,,,,,,,,,
1,none,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,1,10,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,1,11,0,6,7,4,,,,,,,,,,,,,,,,,,,,
1,none,1,12,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,13,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,14,0,4,3.5,1.5,,,,,,,,,,,,,,,,,,,,
1,aphid,1,15,0,6,1,0.5,0.5,,,,,,,,,,,,,,,,,,,
1,none,1,16,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,1,17,0,11,11,,,,,,,,,,,,,,,,,,,,,
1,none,1,18,0,8,3.5,3,,,,,,,,,,,,,,,,,,,,
1,none,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,1,20,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,21,0,14,3,6,,,,,,,,,,,,,,,,,,,,
1,none,6,22,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,23,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,24,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,25,0,3,3,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,26,0,3,2.5,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,27,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,28,0,7,5.5,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,29,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,30,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,31,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,32,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,33,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,34,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,35,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,36,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,37,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,38,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,6,39,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,6,40,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,41,0,6,7.5,6.5,,,,,,,,,,,,,,,,,,,,
1,aphid,12,42,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,43,0,4,4.5,2,1.5,,,,,,,,,,,,,,,,,,,
1,aphid,12,44,0,10,4,5,,,,,,,,,,,,,,,,,,,,
1,none,12,45,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,46,0,4.5,1,1.5,2.5,1,1.5,,,,,,,,,,,,,,,,,
1,none,12,47,0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,48,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,49,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,50,0,9,7.5,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,51,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,52,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,53,0,13,9.5,5,,,,,,,,,,,,,,,,,,,,
1,aphid,12,54,0,5,6,2,2.5,,,,,,,,,,,,,,,,,,,
1,none,12,55,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,56,1,,,,,,,,,,,,,,,,,,,,,,,
1,aphid,12,57,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,58,1,,,,,,,,,,,,,,,,,,,,,,,
1,none,12,59,1,,,,,,,,,,,,,,,,,,,,,,,
