# Spodoptera experiment 1. Initiated with late first instars and lasted over 4 days. blt = brown leaf tip. Weight.1or0 = weight stabilized on both 1 & zero often  moving from one to zero after a few seconds at equilibrium.,,,,,,,,
block,treatment,position,larva.wet.weight,dead,weight.1or0,brown.leaf.tip,missing larva,notes
10,u,8,,d,,,,
8,e,8,0,,,,,
9,u,9,0,,,,,
7,e,4,,d,,,,
6,u,2,0,,,,,
7,e,2,,d,,,,
4,e,8,2,,,,,
9,u,2,0,,,,,
8,e,9,0,,,,,
7,e,9,,d,,,,
5,u,9,,d,,,,
7,e,3,1,,,,,
9,u,1,,d,,,,
4,e,5,,d,,,,
4,e,9,0,,,,,
10,e,2,,d,,,,
10,u,2,1,,,blt,,
5,u,1,1,,,,,
10,u,1,,d,,,,
5,u,8,,d,,,,
7,u,10,0,,1,,,
9,e,10,,d,,,,
9,e,9,,d,,,,
7,u,8,2,,,,,
4,u,4,,d,,,,5%herb prior
4,e,1,0,,,,,
3,u,10,1,,,,,
1,e,9,,,,,,dropped before being wighted
2,e,5,0,,,,,
9,u,5,,d,,,,
3,e,2,0,,1,,,
8,u,6,1,,,,,
2,e,4,,d,,,,
2,e,3,0,,,,,
2,u,3,1,,,,,
1,u,4,,,,,missing_larva,missing larvae
2,e,7,1,,,,,
2,u,4,1,,,,,
6,e,1,,d,,,,
8,u,7,1,,,,,
8,u,4,,,,,missing_larva,missing larvae
8,u,5,,,,,missing_larva,missing larvae
9,u,8,1,,,,,
8,u,10,0,,,,,
8,u,8,,d,,,,
6,u,5,0,,,,,
5,e,3,0,,,,,
3,e,10,0,,,,,
1,e,5,,,,,missing_larva,missing larvae
3,e,1,1,,,,,
5,e,9,,d,,,,
1,e,1,1,,,,,
3,e,6,2,,,,,
8,e,10,1,,,,,
1,u,5,3,,,,,
2,u,10,0,,1,,,
1,e,3,0,,1,,,
3,u,4,1,,,,,
1,e,2,2,,,,,
1,u,10,0,,,,,
1,e,7,1,,,,,
3,u,2,1,,,,,
6,u,4,,d,,,,
5,u,2,,d,,,,
1,e,6,,,,,missing_larva,missing larvae
1,e,10,,,,,missing_larva,missing larvae
9,u,6,,d,,,,
9,u,4,,d,,,,
9,u,3,,,,,missing_larva,missing larvae
1,u,9,,,,,missing_larva,missing larvae
10,u,9,0,,,,,
5,e,2,1,,,,,
4,u,5,,d,,,,
4,u,10,1,,,,,
8,u,3,1,,,,,
6,e,7,1,,,,,
2,u,2,1,,,,,
2,e,2,,d,,,,
4,u,7,,d,,,,
10,u,3,0,,,blt,,
7,u,6,,d,,,,
5,u,6,0,,,,,
4,e,3,,d,,,,
10,e,1,,d,,,,
5,u,4,,d,,,,
4,u,3,0,,,,,
9,u,7,,d,,,,5% herb prior
9,e,3,,d,,,,
5,e,6,0,,,,,
2,e,9,,,,,missing_larva,missing larvae
5,e,5,,,,,missing_larva,missing larvae
2,u,5,,,,,missing_larva,missing larvae
9,e,6,,,,,missing_larva,missing larvae; 10% damage perior; leaf rotted during exp.
7,u,9,,d,,,,
5,u,5,,d,,,,
1,u,6,1,,,,,
3,u,6,2,,,,,
2,u,7,2,,,,,
6,e,4,,d,,,,
4,e,7,1,,,,,
6,e,6,,d,,,,
6,e,5,0,,,,,
4,e,6,,d,,,,
2,e,8,,,,,missing_larva,missing larvae
6,u,1,,d,,,,
10,u,5,,d,,,,
6,u,8,,d,,,,
6,e,2,,d,,,,
4,u,9,0,,,,,
7,u,7,1,,,,,
7,u,3,0,,,,,
10,e,9,,d,,,,
7,u,2,,,,,missing_larva,missing larvae
10,e,10,,d,,,,
3,e,8,0,,,,,
6,u,9,0,,,,,
9,u,10,,d,,,,
10,u,7,,d,,,,
7,e,1,0,,,,,
7,u,5,0,,,,,
10,e,3,,d,,,,
5,u,10,,,,,missing_larva,missing larvae
9,e,8,,d,,,,
8,e,7,0,,,,,
9,e,5,,,,,missing_larva,missing larvae
3,e,5,,,,,missing_larva,missing larvae
8,e,2,,d,,,,
7,u,1,,d,,,,
4,u,8,,,,,missing_larva,missing larvae
8,e,5,,d,,,,
10,e,6,0,,,,,
5,e,8,,,,,missing_larva,missing larvae
8,u,9,,d,,,,
3,u,3,0,,,,,
1,u,2,1,,,,,
8,u,1,2,,,,,
3,u,9,1,,,,,
3,e,4,1,,,,,
2,e,1,1,,,,,
4,u,2,2,,,,,
1,u,7,1,,,,,
4,u,1,0,,,,,
3,u,1,1,,,,,
3,e,3,1,,,,,
5,e,1,2,,,,,
7,e,5,0,,,,,
7,e,8,0,,,,,
8,e,3,,d,,,,
1,u,8,2,,,,,
2,u,8,2,,,,,
1,u,3,,,,,missing_larva,missing larvae
8,u,2,,d,,,,
1,e,4,,d,,,,
1,u,1,,,,,missing_larva,missing larvae
7,e,7,,d,,,,
8,e,1,0,,,blt,,barely alive
10,u,4,,d,,,,
