genotype,block,treatment,treatment.code,plant.position,sequential.id,plant.id
I,1,Exposed,E,1,1,1E1
W,1,Exposed,E,2,2,1E2
F,1,Exposed,E,3,3,1E3
L,1,Exposed,E,4,4,1E4
T,1,Exposed,E,5,5,1E5
X,1,Exposed,E,6,6,1E6
J,1,Exposed,E,7,7,1E7
S,1,Exposed,E,8,8,1E8
U,1,Exposed,E,9,9,1E9
G,1,Exposed,E,10,10,1E10
W,1,Unexposed,U,1,11,1U1
F,1,Unexposed,U,2,12,1U2
I,1,Unexposed,U,3,13,1U3
L,1,Unexposed,U,4,14,1U4
T,1,Unexposed,U,5,15,1U5
X,1,Unexposed,U,6,16,1U6
S,1,Unexposed,U,7,17,1U7
U,1,Unexposed,U,8,18,1U8
J,1,Unexposed,U,9,19,1U9
G,1,Unexposed,U,10,20,1U10
W,2,Exposed,E,1,21,2E1
F,2,Exposed,E,2,22,2E2
I,2,Exposed,E,3,23,2E3
L,2,Exposed,E,4,24,2E4
T,2,Exposed,E,5,25,2E5
X,2,Exposed,E,6,26,2E6
S,2,Exposed,E,7,27,2E7
U,2,Exposed,E,8,28,2E8
J,2,Exposed,E,9,29,2E9
G,2,Exposed,E,10,30,2E10
W,2,Unexposed,U,1,31,2U1
I,2,Unexposed,U,2,32,2U2
F,2,Unexposed,U,3,33,2U3
L,2,Unexposed,U,4,34,2U4
X,2,Unexposed,U,5,35,2U5
S,2,Unexposed,U,6,36,2U6
U,2,Unexposed,U,7,37,2U7
T,2,Unexposed,U,8,38,2U8
J,2,Unexposed,U,9,39,2U9
G,2,Unexposed,U,10,40,2U10
W,3,Exposed,E,1,41,3E1
F,3,Exposed,E,2,42,3E2
L,3,Exposed,E,3,43,3E3
I,3,Exposed,E,4,44,3E4
U,3,Exposed,E,5,45,3E5
X,3,Exposed,E,6,46,3E6
S,3,Exposed,E,7,47,3E7
J,3,Exposed,E,8,48,3E8
T,3,Exposed,E,9,49,3E9
G,3,Exposed,E,10,50,3E10
W,3,Unexposed,U,1,51,3U1
F,3,Unexposed,U,2,52,3U2
L,3,Unexposed,U,3,53,3U3
I,3,Unexposed,U,4,54,3U4
S,3,Unexposed,U,5,55,3U5
U,3,Unexposed,U,6,56,3U6
X,3,Unexposed,U,7,57,3U7
J,3,Unexposed,U,8,58,3U8
T,3,Unexposed,U,9,59,3U9
G,3,Unexposed,U,10,60,3U10
W,4,Exposed,E,1,61,4E1
F,4,Exposed,E,2,62,4E2
L,4,Exposed,E,3,63,4E3
S,4,Exposed,E,4,64,4E4
I,4,Exposed,E,5,65,4E5
J,4,Exposed,E,6,66,4E6
X,4,Exposed,E,7,67,4E7
U,4,Exposed,E,8,68,4E8
T,4,Exposed,E,9,69,4E9
G,4,Exposed,E,10,70,4E10
F,4,Unexposed,U,1,71,4U1
W,4,Unexposed,U,2,72,4U2
L,4,Unexposed,U,3,73,4U3
J,4,Unexposed,U,4,74,4U4
I,4,Unexposed,U,5,75,4U5
X,4,Unexposed,U,6,76,4U6
U,4,Unexposed,U,7,77,4U7
T,4,Unexposed,U,8,78,4U8
S,4,Unexposed,U,9,79,4U9
G,4,Unexposed,U,10,80,4U10
W,5,Exposed,E,1,81,5E1
F,5,Exposed,E,2,82,5E2
L,5,Exposed,E,3,83,5E3
U,5,Exposed,E,4,84,5E4
X,5,Exposed,E,5,85,5E5
J,5,Exposed,E,6,86,5E6
S,5,Exposed,E,7,87,5E7
T,5,Exposed,E,8,88,5E8
I,5,Exposed,E,9,89,5E9
G,5,Exposed,E,10,90,5E10
W,5,Unexposed,U,1,91,5U1
F,5,Unexposed,U,2,92,5U2
U,5,Unexposed,U,3,93,5U3
J,5,Unexposed,U,4,94,5U4
X,5,Unexposed,U,5,95,5U5
L,5,Unexposed,U,6,96,5U6
S,5,Unexposed,U,7,97,5U7
T,5,Unexposed,U,8,98,5U8
I,5,Unexposed,U,9,99,5U9
G,5,Unexposed,U,10,100,5U10
W,6,Exposed,E,1,101,6E1
F,6,Exposed,E,2,102,6E2
L,6,Exposed,E,3,103,6E3
J,6,Exposed,E,4,104,6E4
U,6,Exposed,E,5,105,6E5
X,6,Exposed,E,6,106,6E6
T,6,Exposed,E,7,107,6E7
S,6,Exposed,E,8,108,6E8
I,6,Exposed,E,9,109,6E9
G,6,Exposed,E,10,110,6E10
F,6,Unexposed,U,1,111,6U1
W,6,Unexposed,U,2,112,6U2
U,6,Unexposed,U,3,113,6U3
J,6,Unexposed,U,4,114,6U4
L,6,Unexposed,U,5,115,6U5
T,6,Unexposed,U,6,116,6U6
X,6,Unexposed,U,7,117,6U7
S,6,Unexposed,U,8,118,6U8
I,6,Unexposed,U,9,119,6U9
G,6,Unexposed,U,10,120,6U10
W,7,Exposed,E,1,121,7E1
F,7,Exposed,E,2,122,7E2
U,7,Exposed,E,3,123,7E3
L,7,Exposed,E,4,124,7E4
J,7,Exposed,E,5,125,7E5
S,7,Exposed,E,6,126,7E6
T,7,Exposed,E,7,127,7E7
X,7,Exposed,E,8,128,7E8
I,7,Exposed,E,9,129,7E9
G,7,Exposed,E,10,130,7E10
W,7,Unexposed,U,1,131,7U1
F,7,Unexposed,U,2,132,7U2
J,7,Unexposed,U,3,133,7U3
S,7,Unexposed,U,4,134,7U4
L,7,Unexposed,U,5,135,7U5
U,7,Unexposed,U,6,136,7U6
T,7,Unexposed,U,7,137,7U7
X,7,Unexposed,U,8,138,7U8
I,7,Unexposed,U,9,139,7U9
G,7,Unexposed,U,10,140,7U10
F,8,Exposed,E,1,141,8E1
W,8,Exposed,E,2,142,8E2
J,8,Exposed,E,3,143,8E3
S,8,Exposed,E,4,144,8E4
T,8,Exposed,E,5,145,8E5
U,8,Exposed,E,6,146,8E6
L,8,Exposed,E,7,147,8E7
I,8,Exposed,E,8,148,8E8
X,8,Exposed,E,9,149,8E9
G,8,Exposed,E,10,150,8E10
W,8,Unexposed,U,1,151,8U1
J,8,Unexposed,U,2,152,8U2
F,8,Unexposed,U,3,153,8U3
L,8,Unexposed,U,4,154,8U4
T,8,Unexposed,U,5,155,8U5
G,8,Unexposed,U,6,156,8U6
U,8,Unexposed,U,7,157,8U7
S,8,Unexposed,U,8,158,8U8
I,8,Unexposed,U,9,159,8U9
X,8,Unexposed,U,10,160,8U10
W,9,Exposed,E,1,161,9E1
J,9,Exposed,E,2,162,9E2
F,9,Exposed,E,3,163,9E3
L,9,Exposed,E,4,164,9E4
G,9,Exposed,E,5,165,9E5
T,9,Exposed,E,6,166,9E6
I,9,Exposed,E,7,167,9E7
X,9,Exposed,E,8,168,9E8
S,9,Exposed,E,9,169,9E9
U,9,Exposed,E,10,170,9E10
J,9,Unexposed,U,1,171,9U1
W,9,Unexposed,U,2,172,9U2
F,9,Unexposed,U,3,173,9U3
L,9,Unexposed,U,4,174,9U4
G,9,Unexposed,U,5,175,9U5
T,9,Unexposed,U,6,176,9U6
S,9,Unexposed,U,7,177,9U7
X,9,Unexposed,U,8,178,9U8
I,9,Unexposed,U,9,179,9U9
U,9,Unexposed,U,10,180,9U10
J,10,Exposed,E,1,181,10E1
W,10,Exposed,E,2,182,10E2
F,10,Exposed,E,3,183,10E3
G,10,Exposed,E,4,184,10E4
T,10,Exposed,E,5,185,10E5
I,10,Exposed,E,6,186,10E6
L,10,Exposed,E,7,187,10E7
S,10,Exposed,E,8,188,10E8
U,10,Exposed,E,9,189,10E9
X,10,Exposed,E,10,190,10E10
J,10,Unexposed,U,1,191,10U1
W,10,Unexposed,U,2,192,10U2
F,10,Unexposed,U,3,193,10U3
G,10,Unexposed,U,4,194,10U4
T,10,Unexposed,U,5,195,10U5
I,10,Unexposed,U,6,196,10U6
L,10,Unexposed,U,7,197,10U7
S,10,Unexposed,U,8,198,10U8
U,10,Unexposed,U,9,199,10U9
X,10,Unexposed,U,10,200,10U10
