"","experiment","response","term","test","df","Df.res","statistic","p.value","Pr..Chisq."
"1","wind","total.abund","(Intercept)","Chisq",1,NA,0.649650907077115,NA,0.420237517019017
"2","wind","total.abund","Wind.Exposure","Chisq",1,NA,10.958761253606,NA,0.000931620756621123
"3","wind","total.abund","Genotype","Chisq",9,NA,28.6301073220025,NA,0.000747971979761704
"4","wind","total.abund","Year","Chisq",1,NA,2.25196487292404,NA,0.133444865770138
"5","wind","total.abund","Wind.Exposure:Genotype","Chisq",9,NA,8.08078308875788,NA,0.52602620482191
"6","wind","total.abund","Wind.Exposure:Year","Chisq",1,NA,3.90280327573333,NA,0.04820560932055
"7","wind","total.abund","Genotype:Year","Chisq",9,NA,9.88251879247735,NA,0.360079520409243
"8","wind","total.abund","Wind.Exposure:Genotype:Year","Chisq",9,NA,11.5355742943256,NA,0.240774821338513
"9","wind","total.rich","(Intercept)","Chisq",1,NA,13.4789349070563,NA,0.000241256710685103
"10","wind","total.rich","Wind.Exposure","Chisq",1,NA,21.5957774924537,NA,3.36592039591215e-06
"11","wind","total.rich","Year","Chisq",1,NA,4.31299510649657,NA,0.0378223149525489
"12","wind","total.rich","Genotype","Chisq",9,NA,26.3899763274733,NA,0.00176327923795956
"13","wind","total.rich","Wind.Exposure:Year","Chisq",1,NA,0.631777936906976,NA,0.426703904060379
"14","wind","total.rich","Wind.Exposure:Genotype","Chisq",9,NA,3.3941500156666,NA,0.946601491473193
"15","wind","total.rich","Year:Genotype","Chisq",9,NA,8.27680954340734,NA,0.506509230127773
"16","wind","total.rich","Wind.Exposure:Year:Genotype","Chisq",9,NA,7.02098457185068,NA,0.634934509710592
"17","wind","total.rarerich","(Intercept)","F",1,12.3422996229927,71.6933002738684,1.72139006253113e-06,NA
"18","wind","total.rarerich","Wind.Exposure","F",1,10.1342067332314,8.73991782988689,0.01418294724352,NA
"19","wind","total.rarerich","Year","F",1,58.7001452393727,0.0402470797750223,0.841691739431238,NA
"20","wind","total.rarerich","Genotype","F",9,60.3188718943384,1.65278902235385,0.120835883190214,NA
"21","wind","total.rarerich","Wind.Exposure:Year","F",1,58.7180269563724,1.16939117273487,0.283947705027309,NA
"22","wind","total.rarerich","Wind.Exposure:Genotype","F",9,60.0421338230557,1.60708715551784,0.133789969298263,NA
"23","wind","Gracilliaridae_miner","(Intercept)","Chisq",1,NA,69.4133375411808,NA,7.98468906005051e-17
"24","wind","Gracilliaridae_miner","Wind.Exposure","Chisq",1,NA,9.42068614756525,NA,0.00214551225473732
"25","wind","Gracilliaridae_miner","Year","Chisq",1,NA,4.25981551516217,NA,0.039024159257296
"26","wind","Gracilliaridae_miner","Genotype","Chisq",9,NA,17.1573371667171,NA,0.046308350324077
"27","wind","Gracilliaridae_miner","Wind.Exposure:Year","Chisq",1,NA,0.903993800091761,NA,0.341713079022232
"28","wind","Cecidomyiidae_gall","(Intercept)","Chisq",1,NA,69.5034857044034,NA,7.62795882109592e-17
"29","wind","Cecidomyiidae_gall","Wind.Exposure","Chisq",1,NA,17.5927120177321,NA,2.73635008115903e-05
"30","wind","Cecidomyiidae_gall","Genotype","Chisq",9,NA,19.2583465615942,NA,0.023083670684513
"31","wind","Cecidomyiidae_gall","Year","Chisq",1,NA,38.0720166828809,NA,6.81809960068723e-10
"32","wind","Tortricidiae_leaftier","(Intercept)","Chisq",1,NA,67.5865786703965,NA,2.0163548000388e-16
