"","X10EF3","X10EI6","X10EJ1","X10ET5","X10EU9","X10EW2","X10EX10","X10UF3","X10UG4","X10UI6","X10UJ1","X10UL7","X10US8","X10UU9","X10UW2","X10UX10","X1EF2","X1EG10","X1EI1","X1EJ7","X1EL4","X1ET5","X1EU9","X1EW2","X1EX6","X1UF2","X1UG10","X1UI3","X1UI4","X1UJ9","X1UM1","X1US7","X1UT5","X1UX6","X2EF2","X2EI3","X2EJ9","X2EL4","X2ES7","X2ET5","X2EU8","X2UF3","X2UG10","X2UI2","X2UL4","X2UT8","X2UU7","X2UX5","X3EF2","X3EJ8","X3EU5","X3EX6","X3E","X3UG10","X3UL3","X3UL4","X3UT9","X3UU6","X3UW1","X4EF2","X4EI5","X4EL3","X4ET9","X4EU8","X4EW1","X4EX7","X4UF1","X4UG10","X4UI5","X4UL3","X4US9","X4UU7","X4UW2","X5EF2","X5EJ6","X5EM1","X5ET8","X5EX5","X5UF2","X5UJ4","X5UL6","X5US7","X5UW1","X6EJ4","X6UF1","X6UI9","X6UJ4","X6UL5","X6US8","X6UW2","X7EF2","X7EI9","X7EJ5","X7EL4","X7ET7","X7EU3","X7EX8","X7UF2","X7UG10","X7UI9","X7UJ3","X7UL5","X7UT7","X7UU6","X7UW1","X8EG10","X8EI8","X8EJ3","X8EL7","X8ES4","X8ET5","X8EX9","X8UF3","X8UI9","X8UJ2","X8UL4","X8US8","X8UT5","X8UU7","X8UW1","X8UX10","X9EF3","X9EG5","X9ES9","X9EU10","X9EX8","X9UF3","X9UG5","X9UJ1","X9UL4","X9US7","X9UT6","X9UU10"
"Thaumarchaeota",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0
"Verruco-5",0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
"[Chloracidobacteria]",244,25,208,136,293,79,376,105,1,11,24,11,35,226,21,28,49,42,27,36,117,29,15,97,70,66,259,40,39,130,21,38,14,32,43,54,29,29,24,45,7,36,36,19,42,26,81,68,61,103,42,47,102,21,22,17,21,48,23,27,61,27,20,6,31,40,9,31,28,20,99,35,17,80,42,104,34,26,14,35,63,28,8,132,146,160,37,119,182,37,141,47,188,227,51,192,140,47,46,157,86,58,64,42,67,44,9,44,38,67,36,25,90,49,11,18,32,18,23,40,3,73,54,100,135,40,41,42,33,33,85,17,11
"S035",0,0,0,0,0,0,0,0,0,0,0,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDBW-WB69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ignavibacteria",1,0,9,0,4,0,5,0,0,0,2,0,0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,1,2,2,2,7,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,4,0,0,0,4,0,0,3,0,1,2,0,0,6,0,0,0,3,19,0,5,1,0,0,0,0,2,0,1,0,1,0,0
"BD4-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phycisphaerae",80,4,83,53,61,24,216,118,13,9,14,21,30,253,27,15,29,30,19,24,75,31,39,75,14,37,221,33,23,118,28,40,15,28,44,34,25,22,25,32,21,29,16,22,24,27,19,41,33,26,13,24,41,29,6,9,7,32,13,49,56,36,18,31,46,13,12,36,38,18,56,35,21,42,25,23,34,12,14,5,35,19,13,80,71,108,35,70,102,45,57,36,78,52,22,54,48,24,20,63,36,21,28,17,22,34,16,54,94,30,27,27,58,27,33,14,29,26,22,31,11,50,44,90,142,32,28,19,16,21,71,20,23
"OPB41",2,0,2,6,3,2,41,6,1,10,1,9,6,47,20,3,19,14,8,3,2,21,1,42,20,0,67,11,4,6,13,7,10,6,27,29,31,34,72,15,5,6,8,10,9,9,4,15,0,1,0,2,4,2,0,1,2,1,2,10,6,6,0,14,14,2,1,3,3,3,0,1,6,2,3,3,2,2,1,2,12,14,1,1,10,10,1,2,4,2,5,8,6,7,8,3,8,18,3,7,9,2,5,3,7,0,1,24,33,12,7,12,22,14,10,25,21,18,41,6,48,4,1,9,1,2,4,4,14,13,31,7,6
"SHA-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
