term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Response
sd_Block__Intercept,0.15115408443290343,0.12152104701101664,0.05814308883625727,0.21434684554659578,0.004254913488039248,0.4468155007297332,0.009256314260384807,Wind,2012,Trait PC1
sd_Genotype__Intercept,0.5020834876941025,0.22373247637408195,0.35900870445070043,0.6326217736431219,0.09025104491560472,1.000922868940927,0.10212926214787874,Wind,2012,Trait PC1
sd_Genotype:Wind.Exposure__Intercept,0.34545473671271065,0.191022088128201,0.20097938576833602,0.47248314017574455,0.027748508273274464,0.7356992527180283,0.04834823458620495,Wind,2012,Trait PC1
sd_Plot_code__Intercept,0.2834633076587246,0.14250692878419835,0.18286217131634436,0.3750196575794549,0.02691758504221534,0.5832687885570286,0.032553074926865024,Wind,2012,Trait PC1
sd_Wind.Exposure__Intercept,0.8580271971715732,0.49176761432216837,0.49520140613450386,1.1174012003854532,0.20057592063812238,2.0832443722451996,0.29826371640587257,Wind,2012,Trait PC1
sd_Block__Intercept,0.07585349943623405,0.04822156316352855,0.03978045813637586,0.10362456269378073,0.005204572054354852,0.181072970593751,0.020704844750066634,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
sd_Genotype__Intercept,0.19369272519465017,0.06657814796372884,0.1498766943585303,0.22898623776480764,0.08760957901821385,0.34304401371527526,0.13500422335298257,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
sd_Genotype:Wind.Exposure__Intercept,0.059746976631420035,0.046107387174273096,0.025056648317689105,0.08380978864847853,0.0031829000206530745,0.1752714152955969,0.012845547011580596,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
sd_Plot_code__Intercept,0.08727954181897336,0.044039509332007946,0.057522130790189266,0.11565278653564055,0.006816203723456297,0.17746743475002097,0.02741231104492518,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
sd_Wind.Exposure__Intercept,0.3569872547240304,0.4239615769169243,0.06775528781730336,0.48344396821392005,0.006636587756901801,1.5376747643357316,0.4585916657241014,Wind,2012,log(Trait PC2 + min(Trait PC2) + 1)
sd_Block__Intercept,0.6319396341603413,0.3008364405897833,0.43340876978790976,0.8105193789083005,0.0774296732318648,1.2808734091013707,0.11900396327922694,Wind,2013,Trait PC1
