batch.no,Block,treatment,position,plant.code,plant.code,,,dry.wt.g,plant.code.unsure,notes
4,,unexp,,1U2,1,2,,0.0486,,
4,3,exp,3,3.00E+03,3.00E+03,,,0.0272,,
4,,unexp,,1U1,1,1,,0.0448,,
4,,unexp,,3u6,3,6,,0.0507,,
4,,unexp,,2u10,2,10,,0.0336,,
4,,unexp,,1u8,1,8,,0.0411,,
4,,unexp,,1u9,1,9,,0.0422,,
4,,unexp,,1u10,1,10,,0.0456,,
4,,unexp,,10u4,10,4,,0.0166,,
4,,unexp,,4u1,4,1,,0.0253,,
4,,unexp,,8u1,8,1,,0.0502,,
4,8,exp,10,8.00E+10,8.00E+10,,,0.0301,,
4,1,exp,5,1.00E+05,1.00E+05,,,0.0488,,
4,3,exp,10,3.00E+10,3.00E+10,,,0.0586,,
4,,unexp,,3u2,3,2,,0.0249,,
4,1,exp,7,1.00E+07,1.00E+07,,,0.0281,,
4,1,exp,4,1.00E+04,1.00E+04,,,0.0267,,
4,2,exp,1,2.00E+01,2.00E+01,,,0.0666,,
4,,unexp,,3u3,3,3,,0.0291,,
4,,unexp,,1u6,1,6,,0.0154,,
4,7,exp,8,7.00E+08,7.00E+08,,,0.0223,,
4,2,exp,8,2.00E+08,2.00E+08,,,0.0874,,
4,,unexp,,2u8,2,8,,0.0379,,
4,3,exp,10,3.00E+10,3.00E+10,,,0.0356,,
4,,unexp,,1u5,1,5,,0.0539,,
4,5,exp,1,5.00E+01,5.00E+01,,,0.045,,
4,3,exp,4,3.00E+04,3.00E+04,,,0.0259,,
4,1,exp,3,1.00E+03,1.00E+03,,,0.0511,,
4,1,exp,1,1.00E+01,1.00E+01,,,0.0199,,
4,,unexp,,9u6,9,6,,0.0247,,
4,,unexp,,1u7,1,7,,0.0168,,
4,,unexp,,1u3,1,3,,0.0143,,
4,1,exp,9,1.00E+09,1.00E+09,,,0.0456,,
4,1,exp,2,1.00E+02,1.00E+02,,,0.0271,,
4,,unexp,,3u9,3,9,,0.0261,,
4,1,exp,10,1.00E+10,1.00E+10,,,0.0617,,
4,8,exp,1,8.00E+01,8.00E+01,,,0.019,,
