"# this data was copied and pasted from the original excel file. I deleted all of the plant trait data to focus on the arthropods.  I then transferred all of the arthropod data from the notes section into new columns of data.  Had to move some of the notes to the appropriate row because they were typed in out of sequence with ""other arthropods"".  Note that just because there is a zero for ""other arthropods"" doesn't mean there couldn't have been arthropod data entered in the notes (inaccuracy in transcribing data in the field). For the new data added from the notes column, I replaced all blank values with zeros, because that is what they actually reflect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genotype,Block,Wind Exposure,Plant Position,Unique Number,Black Ants,Red ants,Spiders black with yellow legs,Spiders Other,Incomplete LTF,Leaf Hoppers Blue/Brown,Leaf Hoppers Camo,LH nymph blk/ylw,LH nymph other,Light Green Aphids,Parisatoid cocoons on Aphids,Green Aphids,Orange Aphids,Other Arthropods,sawfly_eggs,striped_sawfly,stem_gall,volcano_gall,mite_gall,yellow_knife_leaf_hopper,twisty_gall,giant_willow_aphid,psyllid,psyllid_nymph,sawfly_larva,unknown_eggs,spider_disk_egg_sac,fluffy_spider_egg_sac,Dead?,Notes
I,1,Exposed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/22/12 started block 2 at 9:50.   %100 brown tips
W,1,Exposed,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 leaves have %50 damage
F,1,Exposed,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all browned leaves
L,1,Exposed,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all browned leaf tips
T,1,Exposed,5,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all browned leaves
X,1,Exposed,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3 shoots dead above, not collected"
J,1,Exposed,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 sawfly egg, all browned leaves"
S,1,Exposed,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all browned leaves
U,1,Exposed,9,9,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both leaves browned
G,1,Exposed,10,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 leaves with %50+ damage
