sample,sd_Intercept,sd_sc.Aphid.treatment,sd_sc.Ant.mound.dist,sd_sc.Aphid.treatment.sc.Ant.mound.dist,sd_Block__Intercept,sd_Genotype__Intercept,sd_Genotype__sc.Aphid.treatment,sd_Genotype__sc.Ant.mound.dist,sd_Genotype__sc.Aphid.treatment.sc.Ant.mound.dist,sd_Plot_code__Intercept,sigma,Experiment,Year,Response
1,0,0.038416861693199945,0.5596137366542216,0.01832100614919215,0.030854095429976046,0.210185519829484,0.08734951121136633,0.05654481025646445,0.0037733778235532383,0.7853094760005807,0.7808983641030294,Ant-Aphid,2012,Trait PC1
2,0,0.08049006576259993,0.21107645138780518,0.09666227265565364,0.16742541761241791,0.31831248758410846,0.17099319860292264,0.01840205322982727,0.07854612991084378,0.5216004003064211,0.744059254911987,Ant-Aphid,2012,Trait PC1
3,0,0.06520393656696644,0.041217051586566744,0.07108967973358193,0.25133716950524293,0.25642795257283924,0.08409435327862075,0.06382983702645259,0.06289042283314118,0.577993756531468,0.7773673055562079,Ant-Aphid,2012,Trait PC1
4,0,0.02964440810835494,0.019462542869438097,0.017078325932189074,0.6034078445798529,0.455774757222219,0.16679127590006299,0.06840604350126162,0.05837438249872047,0.4904323551051152,0.7535615668507074,Ant-Aphid,2012,Trait PC1
5,0,0.0709876939851961,0.05429643318852742,0.04242544161421252,0.302171423271726,0.2297718656546879,0.08132724475118032,0.0402624270758625,0.04950415597729276,0.5888089384227662,0.7573465816132322,Ant-Aphid,2012,Trait PC1
6,0,0.06004073423339118,0.05623210380096737,0.013212332453283751,0.17026781858491213,0.27227471177998896,0.009909084005822837,0.03251525970958778,0.10273404703253743,0.6077193700432973,0.7643950488751311,Ant-Aphid,2012,Trait PC1
7,0,0.08566958895296051,0.16875804373324685,0.030738431536318275,0.06137204337198891,0.21863169402739677,0.06658759701977163,0.07909642350630136,0.15281173728113698,0.6959205193945873,0.7430424718420099,Ant-Aphid,2012,Trait PC1
8,0,0.004646828988739803,0.1706878935813251,0.03072211432361909,0.3138019985043263,0.2835202756159569,0.16760656684713732,0.10176627649147404,0.011334932286407504,0.538418370711419,0.7552248164542285,Ant-Aphid,2012,Trait PC1
9,0,0.24918394344623554,0.17676553813949858,0.07741151268537418,0.3838976933718128,0.45076826924722496,0.27197664422563494,0.011293411807702507,0.025154159350174267,0.8735999618394549,0.7382727908451262,Ant-Aphid,2012,Trait PC1
10,0,0.009980570966339747,0.11907603776830901,0.031502280134280004,0.831889779347042,0.3070645847947945,0.048941560701692075,0.039746890063921,0.11851127793007282,0.44341540039045224,0.8040561893312964,Ant-Aphid,2012,Trait PC1
