term,group,level,BLUP,SD,lower_50,upper_50,lower_95,upper_95,Experiment,Year,Response
Intercept,Block,1,0.026124861862752605,0.14952927534823354,-0.04067057552481982,0.08878172600071635,-0.25933578663857587,0.37651598124420704,Wind,2012,Trait PC1
Intercept,Block,2,-0.0502152905483017,0.15317131637691603,-0.11305928208123067,0.022945838833121342,-0.4281850797138117,0.2245852131759729,Wind,2012,Trait PC1
Intercept,Block,3,0.02242179771120349,0.14894067382586693,-0.04265248841969817,0.08476598795280482,-0.28124804336542325,0.365707788258915,Wind,2012,Trait PC1
Intercept,Block,4,0.037791833309272056,0.1538507259369887,-0.03266999461578068,0.10234163046323518,-0.2627477105857261,0.40010502691215744,Wind,2012,Trait PC1
Intercept,Block,5,0.016041541103075225,0.1461727269382012,-0.04466062187100176,0.07678483876097278,-0.2953827159384125,0.35096076807648224,Wind,2012,Trait PC1
Intercept,Block,6,-0.09730684895618881,0.17801697119560414,-0.17045733554946974,0.006479242114816246,-0.5476656182203613,0.16615719286269115,Wind,2012,Trait PC1
Intercept,Block,7,0.03887119582695587,0.15161431345424967,-0.032026697472770774,0.09874674405070662,-0.2469205402389468,0.4077386677817799,Wind,2012,Trait PC1
Intercept,Block,8,0.06467753173836031,0.15979789192508376,-0.01735605380995851,0.12785465800261717,-0.199642456913877,0.45437645856088066,Wind,2012,Trait PC1
Intercept,Block,9,-0.04311074087814673,0.15464841615128747,-0.10765927540627532,0.029039572673754285,-0.42712130323144765,0.248194166928642,Wind,2012,Trait PC1
Intercept,Block,10,-0.006698892879089576,0.14897960966161644,-0.0620574088058208,0.05531255841316348,-0.3542128364537237,0.3060725092906846,Wind,2012,Trait PC1
Intercept,Genotype,F,-0.048323807423963396,0.3128553121579084,-0.24009280808915753,0.13672585403056975,-0.6679409048493952,0.573573702908227,Wind,2012,Trait PC1
Intercept,Genotype,G,-0.836411626779782,0.46154300665312054,-1.1604990639720487,-0.5060249529311741,-1.6985875110246131,0.03037269689832147,Wind,2012,Trait PC1
Intercept,Genotype,I,-0.1198053314518084,0.3129801964853472,-0.3088660952400468,0.07434230506766289,-0.7806378346799844,0.4816878226614839,Wind,2012,Trait PC1
Intercept,Genotype,J,0.047018073926396245,0.31035208031584327,-0.136543354786033,0.23479480193535268,-0.5900472248394328,0.6575780835030416,Wind,2012,Trait PC1
Intercept,Genotype,L,0.5033973719898641,0.37170191680628145,0.22891509073188923,0.751351184259845,-0.14106463635438535,1.2678871432959657,Wind,2012,Trait PC1
Intercept,Genotype,S,0.08796203326497723,0.31139628151851995,-0.10285328198731764,0.2809912275962583,-0.5072283005898024,0.7248623286908896,Wind,2012,Trait PC1
Intercept,Genotype,T,0.17078782170881288,0.3084340634013859,-0.02975362582124378,0.3619018598823215,-0.408170071240414,0.8070375989438313,Wind,2012,Trait PC1
Intercept,Genotype,U,-0.12682171732311848,0.31558340518753625,-0.32006194489720585,0.06425474792021965,-0.7958922854238856,0.4995666170150316,Wind,2012,Trait PC1
Intercept,Genotype,W,0.3601868614932011,0.3373315624239611,0.11656397676743441,0.5835216300356797,-0.24068949109160198,1.0481300154726925,Wind,2012,Trait PC1
Intercept,Genotype,X,-0.01581592741640424,0.30535980250976685,-0.19593387570055215,0.18086372858276673,-0.6444304033019531,0.5631313451148944,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,F_Exposed,0.027685154279221857,0.2884792680113516,-0.13292777492105567,0.18396820426191843,-0.55939307270548555,0.6557551912432221,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,F_Unexposed,-0.07238982790554903,0.2905892802609043,-0.23938813772939951,0.08309897686914229,-0.7074541908125778,0.5026747593745907,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,G_Exposed,-0.1872186434440184,0.38820140901612854,-0.3978379395805698,0.0472942250644277,-1.1069023200971633,0.45194914058537056,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,G_Unexposed,-0.3996002983029977,0.4374540249180098,-0.6520395464305737,-0.0552584098340592,-1.4333009772280216,0.19325508861704563,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,I_Exposed,0.007991015577231034,0.2847931049581084,-0.14249289011147595,0.16139316151052685,-0.5925729329646025,0.6039084396769557,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,I_Unexposed,-0.06343737199908392,0.29172244756637516,-0.22644820120667514,0.09487236115801882,-0.6884610640428078,0.535708145857269,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,J_Exposed,-0.29382026709594855,0.32671622653162524,-0.49130336275962,-0.051354142999359156,-1.0526907486986679,0.21715490537777254,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,J_Unexposed,0.33390485122812935,0.3528765499456867,0.06182836986610693,0.5427132832907183,-0.19048177025060659,1.163205849974223,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,L_Exposed,0.055644241437276906,0.30845604171864105,-0.11427187765825768,0.2193213319660619,-0.5082332715951405,0.7542314051882546,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,L_Unexposed,0.3121777466603803,0.387626845746403,0.027233545187932667,0.5333576388274608,-0.2717973584445408,1.2261089613895466,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,S_Exposed,-0.027170537103243214,0.2979835436952068,-0.18118447521745684,0.1313372406507484,-0.6617000161928561,0.5866206441048849,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,S_Unexposed,0.08139686414699551,0.2926324435749191,-0.08036220810960752,0.2410073294107642,-0.47198734213069593,0.7276992967992213,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,T_Exposed,0.2777875588510732,0.32606231187051055,0.029903010569590195,0.48285366471869645,-0.2121338455459955,1.0229368302530624,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,T_Unexposed,-0.15728838645503768,0.2959047255654832,-0.3262033516821714,0.015697786526706083,-0.8149563149259872,0.4161211802091217,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,U_Exposed,-0.07025629203774685,0.2938567002878478,-0.23136701855205768,0.09744597683001957,-0.7108468875832576,0.4969530398822747,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,U_Unexposed,-0.009938730906259763,0.29618487538519217,-0.1653586433751862,0.1481831963985397,-0.651096278020983,0.6058525611947548,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,W_Exposed,0.05351953577806825,0.3025655322411654,-0.11646357804670876,0.22151266837127648,-0.5464658154576009,0.7214169772977708,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,W_Unexposed,0.2021358123600786,0.3284194213079539,-0.01418343276694706,0.39689382709012216,-0.3191377212908723,0.979679186528837,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,X_Exposed,1.9802159961115684e-4,0.2855444103244395,-0.1546659559440318,0.1547719681217813,-0.6112731708632885,0.5890252916348565,Wind,2012,Trait PC1
Intercept,Genotype:Wind.Exposure,X_Unexposed,-0.0018237834387176846,0.2903148874540553,-0.16085577895187209,0.15249361200554362,-0.6057690847251898,0.6162269369953003,Wind,2012,Trait PC1
Intercept,Plot_code,10_Exposed,-0.11212473883780971,0.23817802057724835,-0.25042750839659783,0.03381396785884044,-0.6488178989162012,0.3266024587536709,Wind,2012,Trait PC1
Intercept,Plot_code,10_Unexposed,0.11089174353387543,0.24273551076235073,-0.03556446724221814,0.25144082123289246,-0.3235012313397407,0.6645517131133172,Wind,2012,Trait PC1
Intercept,Plot_code,1_Exposed,0.16089512707163225,0.2480981734301339,-0.001190657401806845,0.30871436148747333,-0.2604720523323393,0.7129297837375724,Wind,2012,Trait PC1
Intercept,Plot_code,1_Unexposed,-0.07677994821891351,0.23967084526221039,-0.22142144531909044,0.06630064594064401,-0.5852044039821995,0.3728010127027669,Wind,2012,Trait PC1
