term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.18428026191183836,0.14573335750983812,0.0677251926803967,0.267306624368981,0.008185224541337369,0.5648579405461016,0.02083521522561352,Wind,2012,Arthropod Richness
sd_Genotype__Intercept,0.3585574718628693,0.19549416460616292,0.22360612171712638,0.46802156234546294,0.04490312168714752,0.7692746659585148,0.07887836564675162,Wind,2012,Arthropod Richness
sd_Genotype:Wind.Exposure__Intercept,0.18121888541097303,0.14430723079090374,0.06825999746470614,0.27054664628305136,0.0052082981481997165,0.5316135604421919,0.020148710609636734,Wind,2012,Arthropod Richness
sd_Plot_code__Intercept,0.23253746049596322,0.14054760806995734,0.12390498447479986,0.32746345244750624,0.01480166426262824,0.5409892153611231,0.03317616634911865,Wind,2012,Arthropod Richness
sd_Wind.Exposure__Intercept,0.6717492289413611,0.46058124819625534,0.3225941131438805,0.9045363911628952,0.06138531310057826,1.8236584477565108,0.27685648617259123,Wind,2012,Arthropod Richness
sd_Block__Intercept,0.21150378209796492,0.16601175649618224,0.08253326403521992,0.3046418223169632,0.008474905358592999,0.6254466383968321,0.004570951585816209,Wind,2012,Arthropod Composition
sd_Block:Species__Intercept,0.2514619932464886,0.16432446394899858,0.11599144240562424,0.3555645715939436,0.01716184699441991,0.6233881490881511,0.006461227803398713,Wind,2012,Arthropod Composition
sd_Genotype__Intercept,0.4435092272909963,0.22919707830488079,0.28386603247041914,0.5782696351809732,0.05879444578726038,0.965763827963171,0.020099056241931243,Wind,2012,Arthropod Composition
sd_Genotype:Species__Intercept,0.3166436413703275,0.19821624918791583,0.15674721762893004,0.4578596564815202,0.018366108478119255,0.7218561143514959,0.01024499824273496,Wind,2012,Arthropod Composition
sd_Genotype:Wind.Exposure__Intercept,0.21399453768918503,0.1615788181527795,0.09201923054946202,0.29994490724615197,0.01219825232171624,0.6394667987371885,0.004679244317553673,Wind,2012,Arthropod Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.48124030821020974,0.2506049651253151,0.2940620498190676,0.6645318750376144,0.03988336079224267,0.9491530056939121,0.023664336830737515,Wind,2012,Arthropod Composition
sd_Plot_code__Intercept,0.31550038554609494,0.1790003636353908,0.17269351785833478,0.4369327228353156,0.03138355548733254,0.6924179217550056,0.010171151761352578,Wind,2012,Arthropod Composition
sd_Species__Intercept,2.2022638683437354,0.38107391166562826,1.9406205860293297,2.4376240731395735,1.5647214456897318,3.0447649366354055,0.49557461572799266,Wind,2012,Arthropod Composition
sd_Wind.Exposure__Intercept,0.7864930294552709,0.4799241686304562,0.4295920432961328,1.0446406966891928,0.11761631917993876,1.9777794229644616,0.06320626120619607,Wind,2012,Arthropod Composition
sd_Wind.Exposure:Species__Intercept,0.4962743381536896,0.3109327858638121,0.26329582754244013,0.6890111260906544,0.029730348951491223,1.2087045378073338,0.02516598790094013,Wind,2012,Arthropod Composition
sd_Block__Intercept,0.3264419192554477,0.1627061482866845,0.21714509934833098,0.42262009990800153,0.06396451132200577,0.7027987100532501,0.06630478676489915,Wind,2013,Arthropod Richness
sd_Genotype__Intercept,0.19553673378228725,0.14085208027414148,0.08621525394003057,0.2664450396718807,0.004059319835983811,0.5074136630258969,0.023789743014326025,Wind,2013,Arthropod Richness
sd_Genotype:Wind.Exposure__Intercept,0.12598658391451473,0.09346007860676092,0.05202520891325618,0.17920131877391057,0.007129613653971239,0.3525737572241304,0.009876012667213434,Wind,2013,Arthropod Richness
sd_Plot_code__Intercept,0.23500670341980676,0.14147680133463905,0.1233884025037443,0.3182930709101123,0.017629864911459823,0.5720950576792061,0.034363195148230476,Wind,2013,Arthropod Richness
sd_Wind.Exposure__Intercept,0.799680864483386,0.47428409297110213,0.4321470697318716,1.044047396885718,0.2055438670357646,1.9244567512479076,0.39789313437967117,Wind,2013,Arthropod Richness
sd_Block__Intercept,0.3907275393738589,0.20832388902158785,0.24763192986840832,0.5099931222596306,0.036148897543024264,0.8517589115566643,0.01842005913516906,Wind,2013,Arthropod Composition
sd_Block:Species__Intercept,0.35914278317364684,0.18966059590442028,0.22148639909180165,0.49418283930216644,0.0250689536568901,0.7269597934160588,0.015562424702013215,Wind,2013,Arthropod Composition
sd_Genotype__Intercept,0.21025297799100431,0.1547909770091217,0.08225540576624757,0.30532029086750306,0.009216306974886542,0.5750474256953304,0.005333684062456904,Wind,2013,Arthropod Composition
sd_Genotype:Species__Intercept,0.4110732204238742,0.20984255045125647,0.2533304355735947,0.5658497760096878,0.036516854985285827,0.8089449227777946,0.020388315528467683,Wind,2013,Arthropod Composition
sd_Genotype:Wind.Exposure__Intercept,0.1502656754283394,0.11542090417164955,0.058573112429675035,0.21761618856666304,0.00617559249112108,0.40825923594953345,0.0027243478038000966,Wind,2013,Arthropod Composition
sd_Genotype:Wind.Exposure:Species__Intercept,0.3184423126875774,0.20239071062914374,0.15860057965342048,0.4563880648320303,0.016949448344258995,0.7442363570310263,0.012235015221818944,Wind,2013,Arthropod Composition
sd_Plot_code__Intercept,0.31874269811525463,0.17907046488873543,0.1816459679944484,0.43558669229695124,0.025731269211145102,0.7048624185873522,0.012258108595684354,Wind,2013,Arthropod Composition
sd_Species__Intercept,1.6194904130631407,0.33888712479241523,1.402473427381461,1.8341641509541338,0.9452962463588047,2.286565388216744,0.3164460931663516,Wind,2013,Arthropod Composition
sd_Wind.Exposure__Intercept,0.8844566687006782,0.4923229460501855,0.5223291880066846,1.1727643722656327,0.10158601328764608,1.947694050865139,0.09438350409480036,Wind,2013,Arthropod Composition
sd_Wind.Exposure:Species__Intercept,0.934257352300075,0.3126687113569788,0.7124273076995439,1.1125603349757391,0.4284737045145843,1.6194682197714094,0.10531155462576466,Wind,2013,Arthropod Composition
sd_Block__Intercept,0.21055223719724425,0.15562518421369942,0.09061159691075649,0.29638707895183397,0.010757695388617513,0.5850373986186878,0.03247927347098421,Wind,2013,Fungal Rarefied Richness
sd_Genotype__Intercept,0.17379255123619466,0.12742175406548123,0.07739328995602174,0.23850400603201138,0.008730648729963597,0.4980922744498754,0.022128343403929485,Wind,2013,Fungal Rarefied Richness
sd_Genotype:Wind.Exposure__Intercept,0.15755768080353064,0.11046926663845226,0.0689030286819587,0.22240074163914564,0.007806400084374963,0.4182877271339044,0.018187195882280502,Wind,2013,Fungal Rarefied Richness
sd_Plot_code__Intercept,0.40959330348865824,0.15276868989974243,0.312499710338717,0.49960546296179836,0.10205529243840536,0.7395776632616046,0.12291143259816834,Wind,2013,Fungal Rarefied Richness
sd_Wind.Exposure__Intercept,0.5163539844438854,0.48538842646955166,0.15877256171678364,0.7181150520355877,0.011381755199648994,1.8035648629690395,0.19533571227970792,Wind,2013,Fungal Rarefied Richness
sd_Block__Intercept,0.26128025072545863,0.1579857396141657,0.1407989372637143,0.35898380661147616,0.014539487452298964,0.6030909269201687,0.048728407669293865,Wind,2013,Bacterial Rarefied Richness
sd_Genotype__Intercept,0.2160458546623792,0.1561563746602035,0.09565228195212287,0.29519707420805325,0.01056269611066684,0.5708892434077127,0.03331661936722685,Wind,2013,Bacterial Rarefied Richness
sd_Genotype:Wind.Exposure__Intercept,0.16643782239210697,0.11865336546094199,0.07130533088479184,0.23827556983257922,0.00708131578429148,0.4378590634156651,0.01977302437038289,Wind,2013,Bacterial Rarefied Richness
sd_Plot_code__Intercept,0.15342286533235436,0.11729289223267794,0.05791825485444825,0.22637037154908735,0.005286020714123386,0.44179885817471515,0.016801545421790545,Wind,2013,Bacterial Rarefied Richness
sd_Wind.Exposure__Intercept,0.5952851569525517,0.4425977110065672,0.25260354773812876,0.8242781486358963,0.04134672687398526,1.710818787983241,0.2529409581034678,Wind,2013,Bacterial Rarefied Richness
sd_Ant.mound.dist__Intercept,0.21850140761890638,0.2504552846464147,0.05525560474723896,0.2927810428195651,0.003676977673120937,0.9168470424122261,0.060785032613536245,Ant-Aphid,2012,Arthropod Richness
sd_Aphid.treatment__Intercept,0.3738803965590455,0.3971547767741444,0.08526286812511213,0.5318735465496406,0.005956090100081739,1.5261497543384517,0.17797277213862814,Ant-Aphid,2012,Arthropod Richness
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.10880701106378614,0.10916218855481775,0.037630699451514524,0.141023738759155,0.004167668433580986,0.4139583839633542,0.015073077653966281,Ant-Aphid,2012,Arthropod Richness
sd_Block__Intercept,0.18291440086964195,0.13800511076183922,0.09752901814584884,0.23262120313475126,0.014670355288198485,0.5384629488010478,0.042597486463574315,Ant-Aphid,2012,Arthropod Richness
sd_Genotype__Intercept,0.27460176882456955,0.11323778473304758,0.19981121435212193,0.335967009270782,0.08335350518517873,0.524138073121974,0.09600521766588418,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Ant.mound.dist__Intercept,0.07504326273644503,0.05788542723073395,0.030246939354444568,0.10702865623382495,0.0021447893656071117,0.21483999892610636,0.007169875128037495,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Aphid.treatment__Intercept,0.0968273114219275,0.07432634620822533,0.041608366671309016,0.1346277737476262,0.005917507191674009,0.2738360894043481,0.01193669018602606,Ant-Aphid,2012,Arthropod Richness
sd_Genotype:Aphid.treatment:Ant.mound.dist__Intercept,0.07855009047610813,0.058647657851630966,0.029873179016065506,0.11674259877893382,0.00482348787488315,0.2194514334669968,0.007855639678208997,Ant-Aphid,2012,Arthropod Richness
sd_Plot_code__Intercept,0.14851310390231448,0.08829234359698172,0.08406355500895105,0.20425372748834397,0.010143993062318937,0.346108600441443,0.02808133338821954,Ant-Aphid,2012,Arthropod Richness
sd_Ant.mound.dist__Intercept,0.2877315365250485,0.31024652111580064,0.0881514926654441,0.37632818134467183,0.009803633595815979,1.1048060268090198,0.00949158838189289,Ant-Aphid,2012,Arthropod Composition
sd_Ant.mound.dist:Species__Intercept,0.3894919097926128,0.13417228217682942,0.3021199345150609,0.47221380187625855,0.1187928790071201,0.6644830346137093,0.017392453416927304,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment__Intercept,0.6943936474240517,0.5039779190480399,0.3122323209352847,0.9735436890446523,0.0308676823089854,1.9989905726516701,0.0552809432142108,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Ant.mound.dist__Intercept,0.16909817579924954,0.1638639794962446,0.057245519466137165,0.22649283408668983,0.004435452597176628,0.6174370175876832,0.0032782480482483793,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Ant.mound.dist:Species__Intercept,0.1512035723244638,0.11324703403513603,0.06149164957460722,0.22016645669647947,0.006436663709772068,0.4262622433282726,0.002621127035979785,Ant-Aphid,2012,Arthropod Composition
sd_Aphid.treatment:Species__Intercept,1.1415278433985172,0.2658574123848239,0.944315600239678,1.3107010723986607,0.6789486286861857,1.7270255320542727,0.14939531702656086,Ant-Aphid,2012,Arthropod Composition
sd_Block__Intercept,0.20630776709264947,0.18900830092254356,0.07137736702297616,0.2781131472733423,0.00831028804693787,0.7258042469023073,0.004879722480633926,Ant-Aphid,2012,Arthropod Composition
sd_Block:Species__Intercept,0.5705370370814511,0.10458448332819936,0.49248507040304906,0.6422146155073274,0.3888287859546547,0.7942517836984613,0.037319142059175574,Ant-Aphid,2012,Arthropod Composition
sd_Genotype__Intercept,0.40831099273393795,0.17521171878854228,0.29607163908331446,0.5006123287013493,0.07373556430398846,0.8003302789945194,0.019113759226676814,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Ant.mound.dist__Intercept,0.12372442336909216,0.09005495143137915,0.04982487768369114,0.1781606355475182,0.0038453964379948705,0.3375566748750673,0.0017549907956573923,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Ant.mound.dist:Species__Intercept,0.257996349014691,0.13969616832641532,0.14880247063908092,0.3585608217417471,0.018412521663687505,0.5300932498634059,0.007631169264359332,Ant-Aphid,2012,Arthropod Composition
sd_Genotype:Aphid.treatment__Intercept,0.15438894469269207,0.11876569919258781,0.057769339680561534,0.226460640118129,0.008597507752999667,0.42881383192465633,0.0027327277286719317,Ant-Aphid,2012,Arthropod Composition
