term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.14995062992730532,0.12564040390560954,0.05722867697059668,0.2089829726466932,0.0032869103225806207,0.46801733998343564,0.009043119770724169,Wind,2012,Trait.PC1
sd_Genotype__Intercept,0.5117691482670219,0.21289988763394044,0.3690856676937759,0.6455420415777078,0.12192197424806422,0.9446972464355841,0.10533432002349453,Wind,2012,Trait.PC1
sd_Genotype:Wind.Exposure__Intercept,0.3473101981073565,0.18882563706832886,0.20311879106753034,0.472229786787033,0.03067882474214802,0.7536715428940245,0.04851284734742552,Wind,2012,Trait.PC1
sd_Plot_code__Intercept,0.27043499128634224,0.1445613996262764,0.17137468569036118,0.3603221269358899,0.017108187306660232,0.5837615423042508,0.02941355118843791,Wind,2012,Trait.PC1
sd_Wind.Exposure__Intercept,0.8653221378898152,0.48438099439195775,0.5117529710217081,1.1250705615090382,0.19496145100167403,2.090305034958976,0.30114615531863564,Wind,2012,Trait.PC1
sd_Block__Intercept,0.07219548712242951,0.04631824066502386,0.03697446643079142,0.09924793145479549,0.0030618849869731945,0.1817228823238449,0.019056187971645,Wind,2012,Trait.PC2
sd_Genotype__Intercept,0.19319270725157855,0.06967548764939013,0.15067639286277773,0.22908471539583394,0.07243330474177824,0.3481807785012407,0.13645749130947066,Wind,2012,Trait.PC2
sd_Genotype:Wind.Exposure__Intercept,0.056898744809144045,0.044489678275722484,0.024296699306926288,0.08025835295632361,0.0023031407881015666,0.16864892620472655,0.01183644536578129,Wind,2012,Trait.PC2
sd_Plot_code__Intercept,0.08906909415786608,0.04184877441628352,0.06087753787111128,0.11684413456949289,0.012262338098255304,0.16631582227445219,0.029004808137339272,Wind,2012,Trait.PC2
sd_Wind.Exposure__Intercept,0.35230417386818486,0.40053677743935123,0.0690511792606055,0.46963107162056217,0.009041984957808065,1.5890002311769478,0.45378642816937276,Wind,2012,Trait.PC2
sd_Block__Intercept,0.613514883270925,0.3120216417640131,0.40060405405688837,0.7986999203317697,0.05740578866880965,1.290599530213123,0.11385420660228651,Wind,2013,Trait.PC1
sd_Genotype__Intercept,0.4176472862531136,0.22274115630960986,0.26120665323337555,0.5500003283385018,0.048796673643566255,0.905998384094525,0.05276162992541085,Wind,2013,Trait.PC1
sd_Genotype:Wind.Exposure__Intercept,0.34633027325125715,0.19302801110028758,0.20019713008982667,0.4687393655448494,0.0279139317063458,0.7420628330472455,0.03628104494274594,Wind,2013,Trait.PC1
sd_Plot_code__Intercept,0.6414470926763121,0.2455797837509985,0.47170884113400924,0.7990780702427005,0.166488872626052,1.1380851756247639,0.12445735237937075,Wind,2013,Trait.PC1
sd_Wind.Exposure__Intercept,0.6973169237785612,0.4538843725827903,0.3557609510175419,0.9465566841695949,0.062485409180772805,1.8048623316939436,0.14708191879521923,Wind,2013,Trait.PC1
sd_Block__Intercept,0.21074096003331305,0.1428947977093659,0.11273595433021782,0.2923638310110927,0.007321818389623392,0.5454133004985733,0.022729186064574254,Wind,2013,Trait.PC2
sd_Genotype__Intercept,0.289488820004441,0.1741329882331627,0.16293458194119664,0.38991991316359664,0.016173162257482054,0.6635594889498234,0.04288936018859117,Wind,2013,Trait.PC2
sd_Genotype:Wind.Exposure__Intercept,0.2650435508185865,0.1494796127843289,0.14826211335225606,0.36922692631487053,0.015349606933874473,0.5676721619589812,0.035951785004737564,Wind,2013,Trait.PC2
sd_Plot_code__Intercept,0.1601614224315794,0.11482657178367799,0.06686336591904038,0.2309645732023805,0.006679781770910137,0.40966435378914046,0.013128097999181035,Wind,2013,Trait.PC2
sd_Wind.Exposure__Intercept,0.5682545154916766,0.4600605273166354,0.228206617883311,0.7853448813473353,0.03874728075997411,1.7480888457119201,0.16526152894691326,Wind,2013,Trait.PC2
sd_Block__Intercept,0.2970371253124197,0.219155838402292,0.13514471471512932,0.42085307523328064,0.01600121532540212,0.8561729198450772,0.10669959466300363,Wind,2013,Soil.PC1
sd_Wind.Exposure__Intercept,0.5280748423375057,0.4638112362851938,0.19457736789060875,0.7275406720707456,0.019376337678571078,1.6812227789790877,0.33723470312706244,Wind,2013,Soil.PC1
sd_Block__Intercept,0.9781580561156838,0.48434378960559293,0.6645425675056092,1.2801349815197447,0.04906248452259965,1.9485146040095263,0.3198115274574703,Wind,2013,Soil.PC2
sd_Wind.Exposure__Intercept,0.6211760291486407,0.505105451341313,0.24160626502501942,0.8934367406193848,0.019443512883104086,1.921214175004997,0.12897496472069683,Wind,2013,Soil.PC2
