"","Experiment","Response.type","Specific.type","Response","Factor","num_DF","den_DF","Statistic","P_value","Model.type","Test.type","Error.dist","Response.trans"
"1","wind","phenotype","plant growth","plant height","treatment",1,9.3,28.35,0,"LMM","F (Kenward-Roger)","gaussian","none"
"2","wind","phenotype","plant growth","plant height","Year",1,163.6,192.85,0,"LMM","F (Kenward-Roger)","gaussian","none"
"3","wind","phenotype","plant growth","plant height","genotype",9,148.5,8.13,0,"LMM","F (Kenward-Roger)","gaussian","none"
"4","wind","phenotype","plant growth","plant height","treatment:Year",1,163.6,13.28,0,"LMM","F (Kenward-Roger)","gaussian","none"
"5","wind","phenotype","plant growth","plant height","treatment:genotype",9,148.5,0.73,0.681,"LMM","F (Kenward-Roger)","gaussian","none"
"6","wind","phenotype","plant growth","plant height","Year:genotype",9,160.8,0.97,0.465,"LMM","F (Kenward-Roger)","gaussian","none"
"7","wind","phenotype","plant growth","plant height","treatment:Year:genotype",9,160.8,1.84,0.065,"LMM","F (Kenward-Roger)","gaussian","none"
"8","wind","phenotype","plant growth","shoot count","treatment",1,NA,9.91,0.002,"GLMM","Chi-square","poisson","none"
"9","wind","phenotype","plant growth","shoot count","genotype",9,NA,47.42,0,"GLMM","Chi-square","poisson","none"
"10","wind","phenotype","plant growth","shoot count","Year",1,NA,5.68,0.017,"GLMM","Chi-square","poisson","none"
"11","wind","phenotype","plant growth","shoot count","treatment:genotype",9,NA,10.7,0.297,"GLMM","Chi-square","poisson","none"
"12","wind","phenotype","plant growth","shoot count","treatment:Year",1,NA,12.53,0,"GLMM","Chi-square","poisson","none"
"13","wind","phenotype","plant growth","shoot count","genotype:Year",9,NA,18.26,0.032,"GLMM","Chi-square","poisson","none"
"14","wind","phenotype","plant growth","shoot count","treatment:genotype:Year",9,NA,5.76,0.764,"GLMM","Chi-square","poisson","none"
"15","wind","phenotype","plant growth","average shoot length","treatment",1,9.3,9.86,0.011,"LMM","F (Kenward-Roger)","gaussian","log"
"16","wind","phenotype","plant growth","average shoot length","genotype",9,147,4.7,0,"LMM","F (Kenward-Roger)","gaussian","log"
"17","wind","phenotype","plant growth","average shoot length","Year",1,166,75.07,0,"LMM","F (Kenward-Roger)","gaussian","log"
"18","wind","phenotype","plant growth","average shoot length","treatment:genotype",9,147,0.8,0.615,"LMM","F (Kenward-Roger)","gaussian","log"
"19","wind","phenotype","plant growth","average shoot length","treatment:Year",1,166,0.11,0.74,"LMM","F (Kenward-Roger)","gaussian","log"
"20","wind","phenotype","plant growth","average shoot length","genotype:Year",9,163,1.43,0.179,"LMM","F (Kenward-Roger)","gaussian","log"
"21","wind","phenotype","plant growth","average shoot length","treatment:genotype:Year",9,163,0.7,0.709,"LMM","F (Kenward-Roger)","gaussian","log"
