,,Sample,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon
,,,,Reten. Time [min],Weight [mg],Weight [%],Reten. Time [min],Weight [mg],Weight [%]
_11_10_2013 11_44_49 AM_009,Colibrick - 1,blind standard,5.893,2.027,0.284,4.81,3.207,4.142,70.29
_11_10_2013 1_39_06 PM_028,Colibrick - 1,1E1,5.64,2.04,0.067,1.19,3.387,2.716,48.16
_11_10_2013 1_33_05 PM_027,Colibrick - 1,8U7,5.207,2.033,0.047,0.91,3.393,2.472,47.48
_11_10_2013 1_27_04 PM_026,Colibrick - 1,blind standard,5.313,2.007,0.252,4.74,3.207,3.683,69.33
_11_10_2013 1_21_03 PM_025,Colibrick - 1,8U1,5.23,2.033,0.051,0.97,3.413,2.564,49.03
_11_10_2013 1_15_02 PM_024,Colibrick - 1,1U10,5.209,2.027,0.032,0.62,3.42,2.609,50.09
_11_10_2013 1_09_01 PM_023,Colibrick - 1,1U2,5.22,2.04,0.054,1.04,3.427,2.52,48.28
_11_10_2013 1_02_59 PM_022,Colibrick - 1,3U9,5.228,2.033,0.069,1.33,3.4,2.449,46.84
_11_10_2013 12_56_59 PM_021,Colibrick - 1,3E10,5.358,2.033,0.064,1.19,3.387,2.524,47.11
_11_10_2013 12_50_58 PM_020,Colibrick - 1,4U2,5.421,2.04,0.075,1.38,3.4,2.627,48.45
_11_10_2013 12_44_57 PM_019,Colibrick - 1,3U1,5.427,2.04,0.077,1.42,3.4,2.588,47.69
_11_10_2013 12_38_57 PM_018,Colibrick - 1,1E7,5.363,2.033,0.064,1.2,3.387,2.582,48.14
_11_10_2013 12_32_56 PM_017,Colibrick - 1,3U3,5.466,2.04,0.063,1.14,3.407,2.637,48.24
_11_10_2013 12_26_55 PM_016,Colibrick - 1,4U1,5.905,2.047,0.051,0.87,3.413,2.856,48.37
_11_10_2013 12_20_54 PM_015,Colibrick - 1,3E6,5.594,2.033,0.058,1.04,3.4,2.75,49.16
_11_10_2013 12_14_53 PM_014,Colibrick - 1,blind standard,5.849,2.013,0.28,4.78,3.187,4.089,69.92
_11_10_2013 12_08_52 PM_013,Colibrick - 1,3E10,5.15,2.04,0.045,0.87,3.4,2.498,48.51
_11_10_2013 12_02_52 PM_012,Colibrick - 1,1U9,5.672,2.047,0.048,0.85,3.4,2.734,48.21
_11_10_2013 11_56_51 AM_011,Colibrick - 1,1U6,5.299,2.04,0.058,1.1,3.413,2.57,48.51
_11_10_2013 11_50_50 AM_010,Colibrick - 1,1E2,5.72,2.047,0.064,1.12,3.393,2.8,48.95
