,,sample,sample amount,N retention time,N weight,N weight %,C retention time,C weight mg,C weight %
Calib\_24_10_2013 10_51_39 AM_007,Colibrick - 1,standard 1,2.675,2.06,0.129,4.82,3.387,1.887,70.56
Calib\_24_10_2013 10_57_39 AM_008,Colibrick - 1,standard 2,4.91,2.067,0.239,4.87,3.267,3.464,70.56
Calib\_24_10_2013 11_03_40 AM_009,Colibrick - 1,standard 3,6.418,2.067,0.31,4.83,3.193,4.529,70.56
_24_10_2013 11_09_41 AM_010,Colibrick - 1,blind standard,5.839,2.067,0.282,4.83,3.227,4.128,70.7
_24_10_2013 11_24_23 AM_011,Colibrick - 1,1.00E+04,5.687,2.093,0.048,0.84,3.44,2.764,48.61
_24_10_2013 11_30_24 AM_012,Colibrick - 1,7U1,5.305,2.087,0.07,1.32,3.427,2.515,47.41
_24_10_2013 11_36_25 AM_013,Colibrick - 1,2U7,5.701,2.08,0.076,1.33,3.413,2.907,50.99
_24_10_2013 11_42_26 AM_014,Colibrick - 1,1.00E+09,5.67,2.08,0.063,1.12,3.407,2.775,48.94
_24_10_2013 11_48_27 AM_015,Colibrick - 1,Blind Standard,5.873,2.06,0.285,4.85,3.213,4.146,70.6
_24_10_2013 11_54_27 AM_016,Colibrick - 1,7U8,5.258,2.093,0.046,0.88,3.433,2.414,45.91
_24_10_2013 12_00_28 PM_017,Colibrick - 1,7.00E+01,5.292,2.087,0.061,1.15,3.413,2.561,48.39
_24_10_2013 12_06_28 PM_018,Colibrick - 1,8U6,5.277,2.087,0.055,1.05,3.433,2.57,48.7
_24_10_2013 12_12_29 PM_019,Colibrick - 1,9U2,5.741,2.087,0.072,1.26,3.407,2.864,49.88
_24_10_2013 12_18_30 PM_020,Colibrick - 1,2.00E+02,5.501,2.087,0.067,1.22,3.427,2.759,50.15
_24_10_2013 12_24_31 PM_021,Colibrick - 1,8U8,5.727,2.087,0.046,0.8,3.413,2.593,45.28
_24_10_2013 12_30_32 PM_022,Colibrick - 1,6U5,5.264,2.093,0.056,1.06,3.433,2.512,47.73
_24_10_2013 12_36_32 PM_023,Colibrick - 1,5.00E+01,5.4,2.087,0.073,1.35,3.413,2.697,49.95
_24_10_2013 12_42_33 PM_024,Colibrick - 1,1U7,5.837,2.087,0.075,1.28,3.42,2.86,49
_24_10_2013 12_48_34 PM_025,Colibrick - 1,4.00E+08,5.736,2.093,0.069,1.2,3.413,2.807,48.94
_24_10_2013 12_54_34 PM_026,Colibrick - 1,3.00E+03,5.753,2.093,0.079,1.38,3.44,2.883,50.11
_24_10_2013 1_00_35 PM_027,Colibrick - 1,Blind Standard,5.721,2.06,0.277,4.84,3.22,4.041,70.63
_24_10_2013 1_06_36 PM_028,Colibrick - 1,8U5,5.5,2.093,0.07,1.28,3.433,2.581,46.92
_24_10_2013 1_12_37 PM_029,Colibrick - 1,5.00E+05,5.547,2.087,0.078,1.4,3.413,2.587,46.63
_24_10_2013 1_18_38 PM_030,Colibrick - 1,9U8,5.278,2.093,0.068,1.28,3.44,2.542,48.16
_24_10_2013 1_24_38 PM_031,Colibrick - 1,1.00E+10,5.12,2.08,0.043,0.85,3.427,2.327,45.46
_24_10_2013 1_30_39 PM_032,Colibrick - 1,3U10,5.579,2.08,0.053,0.94,3.407,2.612,46.81
_24_10_2013 1_36_41 PM_033,Colibrick - 1,3.00E+08,5.525,2.067,0.108,1.96,3.387,2.729,49.39
_24_10_2013 1_42_42 PM_034,Colibrick - 1,9U10,5.416,2.08,0.061,1.13,3.427,2.65,48.94
_24_10_2013 1_48_43 PM_035,Colibrick - 1,1U3,5.453,2.087,0.09,1.65,3.433,2.647,48.55
_24_10_2013 1_54_44 PM_036,Colibrick - 1,7.00E+03,5.146,2.073,0.06,1.16,3.42,2.428,47.18
_24_10_2013 2_00_45 PM_037,Colibrick - 1,2.00E+09,5.183,2.087,0.069,1.34,3.427,2.586,49.89
_24_10_2013 2_06_45 PM_038,Colibrick - 1,6.00E+06,5.105,2.08,0.1,1.97,3.433,2.51,49.17
_24_10_2013 2_12_47 PM_039,Colibrick - 1,Blind Standard,5.092,2.06,0.246,4.83,3.253,3.588,70.47
