,,sample,sample amount,N retent time,N weight,N % wt,C retent time,C wt,C % wt
_08_11_2013 10_15_02 AM_001,Colibrick - 1,bypass,0,2.172,1.197,26.04,3.308,3.401,73.96
_08_11_2013 10_21_02 AM_002,Colibrick - 1,bypass,0,2.08,0.256,6.87,3.28,3.465,93.13
_08_11_2013 10_27_03 AM_003,Colibrick - 1,bypass,0,2.08,0.193,6.62,3.34,2.728,93.38
Calib\_08_11_2013 10_41_04 AM_005,Colibrick - 1,standard,2.685,2.06,0.131,4.86,3.4,1.895,70.56
Calib\_08_11_2013 10_47_05 AM_006,Colibrick - 1,standard,4.923,2.08,0.237,4.81,3.287,3.474,70.56
Calib\_08_11_2013 10_53_06 AM_007,Colibrick - 1,standard,6.285,2.087,0.305,4.86,3.227,4.435,70.56
_08_11_2013 11_08_28 AM_008,Colibrick - 1,blind std,4.572,2.08,0.225,4.91,3.32,3.226,70.57
_08_11_2013 11_17_59 AM_009,Colibrick - 1,06MA5,5.458,2.1,0.18,3.29,3.48,2.626,48.1
_08_11_2013 11_24_00 AM_010,Colibrick - 1,T171L,5.691,2.093,0.184,3.22,3.433,2.731,47.99
_08_11_2013 11_30_00 AM_011,Colibrick - 1,T171F,5.848,2.1,0.165,2.81,3.433,2.719,46.5
_08_11_2013 11_36_01 AM_012,Colibrick - 1,06MA2,5.516,2.1,0.172,3.11,3.46,2.645,47.95
_08_11_2013 11_42_02 AM_013,Colibrick - 1,C171L,5.452,2.093,0.219,4.01,3.453,2.645,48.51
_08_11_2013 11_48_03 AM_014,Colibrick - 1,Bind Std,4.435,2.073,0.213,4.8,3.307,3.127,70.51
_08_11_2013 11_54_04 AM_015,Colibrick - 1,C171F,5.344,2.087,0.181,3.38,3.44,2.549,47.69
_08_11_2013 12_00_05 PM_016,Colibrick - 1,06MA3,5.396,2.1,0.155,2.88,3.487,2.548,47.22
_08_11_2013 12_06_06 PM_017,Colibrick - 1,N171L,5.335,2.093,0.213,4,3.46,2.617,49.05
_08_11_2013 12_12_06 PM_018,Colibrick - 1,N171F,5.883,2.093,0.173,2.95,3.427,2.81,47.77
_08_11_2013 12_18_07 PM_019,Colibrick - 1,06MA1,5.293,2.093,0.162,3.06,3.473,2.478,46.82
_08_11_2013 12_24_08 PM_020,Colibrick - 1,M171L,5.59,2.093,0.205,3.67,3.44,2.726,48.76
_08_11_2013 12_30_09 PM_021,Colibrick - 1,09M05,5.679,2.093,0.154,2.71,3.48,2.796,49.24
_08_11_2013 12_36_10 PM_022,Colibrick - 1,T181L,5.403,2.1,0.206,3.81,3.473,2.643,48.93
_08_11_2013 12_42_10 PM_023,Colibrick - 1,T181F,5.522,2.087,0.18,3.26,3.453,2.608,47.22
_08_11_2013 12_48_11 PM_024,Colibrick - 1,1ONE,5.356,2.093,0.152,2.83,3.48,2.62,48.92
_08_11_2013 12_54_12 PM_025,Colibrick - 1,06MB1,5.952,2.093,0.206,3.47,3.447,2.812,47.25
_08_11_2013 1_00_13 PM_026,Colibrick - 1,Blind Std,4.128,2.073,0.198,4.8,3.32,2.905,70.37
_08_11_2013 1_06_14 PM_027,Colibrick - 1,N181L,5.408,2.093,0.202,3.74,3.453,2.653,49.05
_08_11_2013 1_12_15 PM_028,Colibrick - 1,N181F,5.965,2.1,0.187,3.13,3.44,2.759,46.25
_08_11_2013 1_18_16 PM_029,Colibrick - 1,C181L,5.805,2.087,0.219,3.78,3.44,2.829,48.74
_08_11_2013 1_24_17 PM_030,Colibrick - 1,C181F,5.948,2.1,0.154,2.59,3.447,2.693,45.28
_08_11_2013 1_30_18 PM_031,Colibrick - 1,09MD2,5.111,2.08,0.14,2.74,3.46,2.483,48.58
_08_11_2013 1_36_20 PM_032,Colibrick - 1,M181L,5.489,2.08,0.202,3.69,3.433,2.71,49.38
_08_11_2013 1_42_21 PM_033,Colibrick - 1,M181F,5.36,2.087,0.153,2.86,3.453,2.414,45.03
_08_11_2013 1_48_21 PM_034,Colibrick - 1,M171F,5.953,2.087,0.174,2.92,3.413,2.832,47.57
_08_11_2013 1_54_22 PM_035,Colibrick - 1,09MD1,5.853,2.093,0.145,2.47,3.453,2.802,47.88
_08_11_2013 2_00_23 PM_036,Colibrick - 1,06MA4,5.107,2.08,0.186,3.64,3.42,2.484,48.64
_08_11_2013 2_06_25 PM_037,Colibrick - 1,09MD4,5.6,2.087,0.17,3.04,3.447,2.749,49.09
_08_11_2013 2_12_26 PM_038,Colibrick - 1,Blind std,4.236,2.067,0.203,4.8,3.307,2.968,70.06
_08_11_2013 2_18_27 PM_039,Colibrick - 1,10NB,5.811,2.08,0.194,3.33,3.453,2.804,48.26
_08_11_2013 2_24_28 PM_040,Colibrick - 1,09MD3,5.484,2.073,0.18,3.28,3.42,2.689,49.03
_08_11_2013 2_30_29 PM_041,Colibrick - 1,06NB,5.186,2.087,0.168,3.23,3.453,2.465,47.53
_08_11_2013 2_36_30 PM_042,Colibrick - 1,11NE,5.335,2.08,0.203,3.8,3.447,2.53,47.42
_08_11_2013 2_42_31 PM_043,Colibrick - 1,01NB,5.611,2.093,0.201,3.58,3.46,2.724,48.56
_08_11_2013 2_48_32 PM_044,Colibrick - 1,8U9,5.941,2.1,0.072,1.21,3.44,2.893,48.69
_08_11_2013 2_54_33 PM_045,Colibrick - 1,5U5,5.27,2.087,0.079,1.51,3.453,2.445,46.39
_08_11_2013 3_00_34 PM_046,Colibrick - 1,8E8,5.628,2.1,0.07,1.25,3.46,2.685,47.71
_08_11_2013 3_06_35 PM_047,Colibrick - 1,10U2,5.735,2.093,0.063,1.1,3.44,2.832,49.38
