Measurement Time,Wind Site,Treatment,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC
9/28/2012 9:44 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:45 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:46 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:47 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:48 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:49 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:50 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:51 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:52 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:53 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:54 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:55 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:56 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:57 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:58 AM,,,,,,,,,,,,,,,,,
9/28/2012 9:59 AM
9/28/2012 10:00 AM
9/28/2012 10:01 AM
9/28/2012 10:02 AM
9/28/2012 10:03 AM
9/28/2012 10:04 AM
9/28/2012 10:05 AM
9/28/2012 10:06 AM
9/28/2012 10:07 AM
9/28/2012 10:08 AM
9/28/2012 10:09 AM
9/28/2012 10:10 AM
9/28/2012 10:11 AM
9/28/2012 10:12 AM
9/28/2012 10:13 AM
9/28/2012 10:14 AM
9/28/2012 10:15 AM
9/28/2012 10:16 AM
9/28/2012 10:17 AM
9/28/2012 10:18 AM
9/28/2012 10:19 AM
9/28/2012 10:20 AM
9/28/2012 10:21 AM
9/28/2012 10:22 AM
9/28/2012 10:23 AM
9/28/2012 10:24 AM
9/28/2012 10:25 AM
9/28/2012 10:26 AM
9/28/2012 10:27 AM
9/28/2012 10:28 AM
9/28/2012 10:29 AM
9/28/2012 10:30 AM
9/28/2012 10:31 AM
9/28/2012 10:32 AM
9/28/2012 10:33 AM
9/28/2012 10:34 AM
9/28/2012 10:35 AM
9/28/2012 10:36 AM
9/28/2012 10:37 AM
9/28/2012 10:38 AM
9/28/2012 10:39 AM
9/28/2012 10:40 AM
9/28/2012 10:41 AM
9/28/2012 10:42 AM
9/28/2012 10:43 AM
9/28/2012 10:44 AM
9/28/2012 10:45 AM
9/28/2012 10:46 AM
9/28/2012 10:47 AM
9/28/2012 10:48 AM
9/28/2012 10:49 AM
9/28/2012 10:50 AM
9/28/2012 10:51 AM
9/28/2012 10:52 AM
9/28/2012 10:53 AM
9/28/2012 10:54 AM
9/28/2012 10:55 AM
9/28/2012 10:56 AM
9/28/2012 10:57 AM
9/28/2012 10:58 AM
9/28/2012 10:59 AM
9/28/2012 11:00 AM
9/28/2012 11:01 AM
9/28/2012 11:02 AM
9/28/2012 11:03 AM
9/28/2012 11:04 AM
9/28/2012 11:05 AM
9/28/2012 11:06 AM
9/28/2012 11:07 AM
9/28/2012 11:08 AM
9/28/2012 11:09 AM
9/28/2012 11:10 AM
9/28/2012 11:11 AM
9/28/2012 11:12 AM
9/28/2012 11:13 AM
9/28/2012 11:14 AM
9/28/2012 11:15 AM
9/28/2012 11:16 AM
9/28/2012 11:17 AM
