,Date -->,,,,,,,,,,,,,,,,,,,,
Block,Wind Exposure,Genotype,Plant Position,Dead,Initial_Bud_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Bud_burst_count,Flower_count,Mature_leaf_count,Notes
1,Exposed,I,1,0,,,,,,,,,,,,,,,,,
1,Exposed,W,2,0,,,,,,,,,,,,,,,,,
1,Exposed,F,3,0,,,,,,,,,,,,,,,,,
1,Exposed,L,4,0,,,,,,,,,,,,,,,,,
1,Exposed,T,5,0,,,,,,,,,,,,,,,,,
1,Exposed,X,6,0,,,,,,,,,,,,,,,,,
1,Exposed,J,7,0,,,,,,,,,,,,,,,,,
1,Exposed,S,8,1,,,,,,,,,,,,,,,,,
1,Exposed,U,9,0,,,,,,,,,,,,,,,,,
1,Exposed,G,10,0,,,,,,,,,,,,,,,,,
1,Unexposed,W,1,0,,,,,,,,,,,,,,,,,
1,Unexposed,F,2,0,,,,,,,,,,,,,,,,,
1,Unexposed,I,3,0,,,,,,,,,,,,,,,,,
1,Unexposed,L,4,0,,,,,,,,,,,,,,,,,
1,Unexposed,T,5,0,,,,,,,,,,,,,,,,,
1,Unexposed,X,6,0,,,,,,,,,,,,,,,,,
1,Unexposed,S,7,0,,,,,,,,,,,,,,,,,
1,Unexposed,U,8,0,,,,,,,,,,,,,,,,,
1,Unexposed,J,9,0,,,,,,,,,,,,,,,,,
1,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
2,Exposed,W,1,0,,,,,,,,,,,,,,,,,
2,Exposed,F,2,0,,,,,,,,,,,,,,,,,
2,Exposed,I,3,0,,,,,,,,,,,,,,,,,
2,Exposed,L,4,0,,,,,,,,,,,,,,,,,
2,Exposed,T,5,0,,,,,,,,,,,,,,,,,
2,Exposed,X,6,1,,,,,,,,,,,,,,,,,
2,Exposed,S,7,0,,,,,,,,,,,,,,,,,
2,Exposed,U,8,0,,,,,,,,,,,,,,,,,
2,Exposed,J,9,0,,,,,,,,,,,,,,,,,
2,Exposed,G,10,1,,,,,,,,,,,,,,,,,
2,Unexposed,W,1,1,,,,,,,,,,,,,,,,,
2,Unexposed,I,2,0,,,,,,,,,,,,,,,,,
2,Unexposed,F,3,0,,,,,,,,,,,,,,,,,
2,Unexposed,L,4,0,,,,,,,,,,,,,,,,,
2,Unexposed,X,5,0,,,,,,,,,,,,,,,,,
2,Unexposed,S,6,1,,,,,,,,,,,,,,,,,
2,Unexposed,U,7,0,,,,,,,,,,,,,,,,,
2,Unexposed,T,8,0,,,,,,,,,,,,,,,,,
2,Unexposed,J,9,1,,,,,,,,,,,,,,,,,
2,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
3,Exposed,W,1,0,,,,,,,,,,,,,,,,,
3,Exposed,F,2,0,,,,,,,,,,,,,,,,,
3,Exposed,L,3,0,,,,,,,,,,,,,,,,,
3,Exposed,I,4,0,,,,,,,,,,,,,,,,,
3,Exposed,U,5,0,,,,,,,,,,,,,,,,,
3,Exposed,X,6,0,,,,,,,,,,,,,,,,,
3,Exposed,S,7,1,,,,,,,,,,,,,,,,,
3,Exposed,J,8,0,,,,,,,,,,,,,,,,,
3,Exposed,T,9,0,,,,,,,,,,,,,,,,,
3,Exposed,G,10,0,,,,,,,,,,,,,,,,,
3,Unexposed,W,1,0,,,,,,,,,,,,,,,,,
3,Unexposed,F,2,0,,,,,,,,,,,,,,,,,
3,Unexposed,L,3,0,,,,,,,,,,,,,,,,,
3,Unexposed,I,4,0,,,,,,,,,,,,,,,,,
3,Unexposed,S,5,1,,,,,,,,,,,,,,,,,
3,Unexposed,U,6,0,,,,,,,,,,,,,,,,,
3,Unexposed,X,7,0,,,,,,,,,,,,,,,,,
3,Unexposed,J,8,1,,,,,,,,,,,,,,,,,
3,Unexposed,T,9,0,,,,,,,,,,,,,,,,,
3,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
4,Exposed,W,1,1,,,,,,,,,,,,,,,,,
4,Exposed,F,2,0,,,,,,,,,,,,,,,,,
4,Exposed,L,3,0,,,,,,,,,,,,,,,,,
4,Exposed,S,4,1,,,,,,,,,,,,,,,,,
4,Exposed,I,5,0,,,,,,,,,,,,,,,,,
4,Exposed,J,6,0,,,,,,,,,,,,,,,,,
4,Exposed,X,7,0,,,,,,,,,,,,,,,,,
4,Exposed,U,8,0,,,,,,,,,,,,,,,,,
4,Exposed,T,9,0,,,,,,,,,,,,,,,,,
4,Exposed,G,10,1,,,,,,,,,,,,,,,,,
4,Unexposed,F,1,0,,,,,,,,,,,,,,,,,
4,Unexposed,W,2,0,,,,,,,,,,,,,,,,,
4,Unexposed,L,3,0,,,,,,,,,,,,,,,,,
4,Unexposed,J,4,0,,,,,,,,,,,,,,,,,
4,Unexposed,I,5,0,,,,,,,,,,,,,,,,,
4,Unexposed,X,6,1,,,,,,,,,,,,,,,,,
4,Unexposed,U,7,1,,,,,,,,,,,,,,,,,
4,Unexposed,T,8,0,,,,,,,,,,,,,,,,,
4,Unexposed,S,9,0,,,,,,,,,,,,,,,,,
4,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
5,Exposed,W,1,0,,,,,,,,,,,,,,,,,
5,Exposed,F,2,0,,,,,,,,,,,,,,,,,
5,Exposed,L,3,0,,,,,,,,,,,,,,,,,
5,Exposed,U,4,1,,,,,,,,,,,,,,,,,
5,Exposed,X,5,0,,,,,,,,,,,,,,,,,
5,Exposed,J,6,0,,,,,,,,,,,,,,,,,
5,Exposed,S,7,1,,,,,,,,,,,,,,,,,
5,Exposed,T,8,0,,,,,,,,,,,,,,,,,
5,Exposed,I,9,0,,,,,,,,,,,,,,,,,
5,Exposed,G,10,1,,,,,,,,,,,,,,,,,
5,Unexposed,W,1,0,,,,,,,,,,,,,,,,,
5,Unexposed,F,2,0,,,,,,,,,,,,,,,,,
5,Unexposed,U,3,1,,,,,,,,,,,,,,,,,
5,Unexposed,J,4,0,,,,,,,,,,,,,,,,,
5,Unexposed,X,5,0,,,,,,,,,,,,,,,,,
5,Unexposed,L,6,0,,,,,,,,,,,,,,,,,
5,Unexposed,S,7,0,,,,,,,,,,,,,,,,,
5,Unexposed,T,8,0,,,,,,,,,,,,,,,,,
5,Unexposed,I,9,0,,,,,,,,,,,,,,,,,
5,Unexposed,G,10,0,,,,,,,,,,,,,,,,,
6,Exposed,W,1,0,,,,,,,,,,,,,,,,,
6,Exposed,F,2,0,,,,,,,,,,,,,,,,,
6,Exposed,L,3,0,,,,,,,,,,,,,,,,,
6,Exposed,J,4,0,,,,,,,,,,,,,,,,,
6,Exposed,U,5,0,,,,,,,,,,,,,,,,,
6,Exposed,X,6,1,,,,,,,,,,,,,,,,,
6,Exposed,T,7,0,,,,,,,,,,,,,,,,,
6,Exposed,S,8,1,,,,,,,,,,,,,,,,,
6,Exposed,I,9,1,,,,,,,,,,,,,,,,,
6,Exposed,G,10,1,,,,,,,,,,,,,,,,,
6,Unexposed,F,1,0,,,,,,,,,,,,,,,,,
6,Unexposed,W,2,0,,,,,,,,,,,,,,,,,
