batch.no,plant.code,dry.wt.g,plant.code.unsure,notes
4,1U2,0.0486,,
4,3E3,0.0272,,
4,1U1,0.0448,,
4,3u6,0.0507,,
4,2u10,0.0336,,
4,1u8,0.0411,,
4,1u9,0.0422,,
4,1u10,0.0456,,
4,10u4,0.0166,,
4,4u1,0.0253,,
4,8u1,0.0502,,
4,8e10,0.0301,,
4,1e5,0.0488,,
4,3e10,0.0586,,
4,3u2,0.0249,,
4,1e7,0.0281,,
4,1e4,0.0267,,
4,2e1,0.0666,,
4,3u3,0.0291,,
4,1u6,0.0154,,
4,7e8,0.0223,,
4,2e8,0.0874,,
4,2u8,0.0379,,
4,3e10,0.0356,,
4,1u5,0.0539,,
4,5e1,0.045,,
4,3e4,0.0259,,
4,1e3,0.0511,,
4,1e1,0.0199,,
4,9u6,0.0247,,
4,1u7,0.0168,,
4,1u3,0.0143,,
4,1e9,0.0456,,
4,1e2,0.0271,,
4,3u9,0.0261,,
4,1e10,0.0617,,
4,8e1,0.019,,
4,3e6,0.446,,
4,3e2,0.0128,,
4,3u1,0.0535,,
4,1e6,0.0433,,
4,8u2,0.0071,,
3,1u4,0.029,,
3,2e4,0.0389,,
3,4u7,0.0069,,
3,2e5,0.0612,,
3,6e1,0.0253,,
3,2u5,0.0618,,
3,2e9,0.03,,
3,9u7,0.0113,,
3,3u10,0.0218,,
3,2e7,0.0427,,
3,2u2,0.0285,,
3,6e4,0.0097,,
3,5e6,0.0215,,
3,2u7,0.078,,
3,6e6,0.0228,,
3,6u5,0.0278,,
3,2u3,0.0342,,
3,10u5,0.0189,,
3,2u4,0.047,,
3,4e7,0.0699,,
3,4e5,0.0179,,
3,6e7,0.0268,,
3,6u1,0.0102,,
3,6e5,0.0108,,
3,4e1,0.0185,,
3,8u3,0.0113,,
3,9e8,0.0128,,
3,4us,0.0087,,
3,4e6,0.0109,,
3,5u2,0.0111,,
3,2u8,0.0359,,
1,10e10,0.0437,,
1,9e1,0.029,,
1,8e5,0.0244,,
1,9u10,0.0477,,
1,9u4,0.036,,
1,8u4,0.0286,,
1,1039,0.0163,,
1,4u8,0.0184,,
1,7u7,0.039,,
1,7e1,0.0416,,
1,7u3,0.0223,,
1,9u10,0.0198,,
1,7u1,0.0147,,
1,9u8,0.0374,,
1,8e2,0.0296,,
1,7u5,0.0397,,
1,8u8,0.0155,,
1,8u10,0.0131,,
1,8e9,0.0181,,
1,8u9,0.0146,,
1,8ee7,0.0348,,
1,7e4,0.0283,,
1,8u5,0.015,,
1,8u7,0.0122,,
1,1036,0.0067,,
1,10u7,0.0032,,
1,8e8,0.0089,,
1,7e2,0.0068,,
1,8u6,0.0433,,
1,5u9,0.003,,
1,5u7,0.0057,,
1,10u9,0.0064,1,difficult to read code on leaf
1,9u4,0.0076,1,difficult to read code on leaf
2,9e9,0.0147,,
2,4e9,0.0366,,
2,5u6,0.0139,,
2,2e2,0.0309,,
2,5u4,0.0241,,
2,3e8,0.0259,,
2,5e8,0.0296,,
2,5e5,0.0245,,
2,4u3,0.036,,
2,10e2,0.0524,,
2,9u2,0.0342,,
2,3e5,0.0424,,
2,4e10,0.0257,,
2,4e3,0.023,,
2,6u2,0.0175,,
2,10u1,0.01,,
2,5u1,0.0263,,
2,9e10,0.0217,,
2,5u8,0.0254,,
2,5u10,0.0182,,
2,5u5,0.0331,,
2,10u3,0.0082,,
2,7u8,0.0254,,
2,7e3,0.0236,,
2,10e10,0.0101,,
2,6u9,0.0179,,
2,7u9,0.004,1,difficult to read code on leaf
2,10u2,0.0178,,
2,10u9,0.014,1,difficult to read code on leaf
2,7u6,0.0213,,
2,4e8,0.0215,,
,2e3,0.0125,,
,10u10,0.0064,,
,9e3,0.0046,,
,7e9,0.003,,
,5e2,0.0086,,
,9e6,0.011,,
,4u4,0.0043,,
,10e3,0.0045,,
,6e2,0.0101,,
,8e4,0.0012,,
,10e5,0.003,,
,7u2,0.0053,,
,9e5,0.0041,,
,6u8,0.0044,,
,7u10,0.004,,
5,7e5,0.0084,,
5,9u5,0.0099,,
5,4u2,0.0233,,
5,4u9,0.0086,,
5,5e3,0.0148,,
5,3u4,0.0194,,
5,6u4,0.0143,,
5,9u3,0.009,,
5,5e9,0.0079,,
5,8e3,0.0146,,
5,7e7,0.0129,,
