Batch no.,plant.code,leaf.area.mm2,
1,7 U2,0.543,
1,10 E3,0.701,
1,10 E5,0.498,
1,8 E4,0.252,
1,10 E10,4.372,
1,8 U4,2.181,
1,7 U1,1.74,
1,9 E5,0.593,
1,10 U8,0.821,
1,8 E7,2.47,
1,8 U7,1.333,
1,8 U6,3.584,
1,7 E9,0.329,
1,8 E5,3.29,
1,10 E9,1.575,
1,7 U7,3.728,
1,8 E2,3.055,
1,8 E9,2.382,
1,10 U7,0.534,
1,7 E1,3.309,
1,7 E4,2.106,
1,8 U10,2.476,
1,7 E2,0.828,
1,9 U9,0.818,
1,8 U5,1.867,
1,10 E6,0.88,
1,7 U3,2.433,
1,9 E1,3.418,
1,9 U10,3.856,
1,8 U9,1.867,
1,7 U5,4.226,
1,8 U8,2.087,
1,4 U8,2.23,
1,9 U4,3.115,
1,5 U7,0.804,
1,9 U8,3.195,
1,9 U1,1.999,
1,5 U9,0.549,
1,8 E8,1.128,
2,9 E10,2.742,
2,9 U2,2.999,
2,3 E5,3.94,
2,5 U5,3.131,
2,7 U10,0.586,
2,9 E9,1.985,
2,4 E8,2.342,
2,7 E3,2.76,
2,5 U8,2.716,
2,2 E2,3.015,
2,5 U1,2.821,
2,5 U4,3.48,
2,5 E2,1.115,
2,7 U8,2.977,
2,10 U1,1.434,
2,6 U2,1.769,
2,5 U10,1.926,
2,4 E9,6.141,
2,9 E3,0.822,
2,10 U9,1.702,
2,10 E2,4.683,
2,10 E1,1.289,
2,10 U2,1.822,
2,4 U10,3.528,
2,7 U6,2.232,
2,4 U3,3.293,
2,3 E8,4.567,
2,5 E8,3.124,
2,4 E3,2.376,
2,6 U9,2.472,
2,5 E5,2.714,
2,10 U3,1.18,
2,7 U9,0.713,
2,5 U6,1.265,
3,6 E1,2.516,
3,6 U1,1.354,
3,5 E6,2.022,
3,4 U4,0.697,
3,6 E4,1.092,
3,2 E4,4.27,
3,4 E1,2.359,
3,3 U10,2.461,
3,2 E7,5.309,
3,9 E6,1.398,
3,2 U5,6.002,
3,2 U8,4.29,
3,2 E9,3.151,
3,2 U2,3.086,
3,2 E5,7.628,
3,2 U7,6.33,
3,2 U3,3.008,
3,1 U4,2.694,
3,10 U10,0.749,
3,4 U7,1.795,
3,6 E2,0.938,
3,2 U4,5.071,
3,6 E5,1.186,
3,4 E7,6.959,
3,4 E5,1.991,
3,6 E6,3.802,
3,6 U5,1.997,
3,8 U3,0.971,
3,4 E6,1.416,
3,10 U5,2.098,
3,2 E3,1.86,scan not accurate (writing got included in the leaf area measurement)
3,5 U2,1.041,
3,9 U7,1.415,
3,4 U5,0.775,
3,9 E8,1.348,
3,6 E7,3.928,
4,5 E1,3.961,
4,3 U3,2.802,
4,1 E5,6.855,
4,4 U1,2.483,
4,1 U8,3.562,
4,8 E10,2.582,
4,6 U8,0.733,
4,1 E6,4.238,
4,3 E1,3.956,
4,1 U6,2.069,
4,1 E3,4.556,
4,3 E3,2.9,
4,1 U9,3.826,
4,3 E4,3.318,
4,1 U1,4.324,
4,8 U1,5.037,
4,3 E10,5.782,
4,8 E1,2.307,
4,1 E4,2.461,
4,1U3,1.702,
4,3 E2,1.709,
4,1 U7,2.156,
4,1 E2,2.564,
4,3 U9,3.179,
4,2 U8,4.513,
4,3 U2,2.508,
4,7 E8,2.238,
4,2 U10,3.532,
4,3 U1,4.711,
4,1 E1,2.501,
4,8 U2,0.874,
4,1U5,5.65,
4,1 E10,6.517,
4,1 U10,4.739,
4,3 U6,4.872,
4,2 E8,7.523,
4,1 E9,3.889,
4,1 E7,3.306,
4,3 E6,6.175,
4,1 U2,5.592,
4,2 E1,6.015,
4,10 U4,2.732,
4,9 U6,2.56,
5,4 U9,1.509,
5,4 U2,2.183,
5,9 U3,1.077,
5,5 E3,1.514,
5,7 E7,1.534,
5,6 U4,1.478,
5,9 U5,1.205,
5,3 U4,1.89,
5,5 E9,0.994,
5,8 E3,1.384,
5,7 E5,1.574,
