"# this data was copied from the original excel file that contains all of the data from the summer of 2012 for the wind experiment.  I have added categories for all stages of the life history.  The ""other"" category counts for data that is not well resolved.  All notes and the original data are retained within this file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,Treatment,Block,Plant,Leaf,Egg,Gallery/ Blotch Mine,gallery_mine_missing,gallery_mine_dead,gallery_mine_fresh_but_stiff,gallery_freshly_dead,gallery_mine_living,gallery_mine_323,gallery_mine_parasitized_unknown,gallery_mine_other_category,Tent Mine,tent_mine_353,tent_mine_parasitized_unknown,tent_mine_missing,tent_mine_other,tent_mine_stiff,tent_mine_empty_with_frass,tent_mine_freshly_dead,tent_mine_dead,tent_mine_NOT_Caloptilia,tent_mine_empty,tent_mine_fresh_but_stiff,tent_mine_living_larva,tent_mine_323,Leaf Tip Fold,LTF_other,LTF_empty,LTF_empty_with_frass,LTF_327,LTF_329,LTF_347,LTF_dead,Leaf   Edge Fold,LEF_intact,LEF_eulophid_cocoons,LEF_other_parasitoid_?,LEF_dead_larva,LEF_emerged,LEF_empty,LEF_live_adult,Notes
w,Exposed,3,1,3,h,missing,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,seam = where leaf tip sealed to rest of tissue. But fresh but stiff larva on leaf outside of mine prior to dissection.
w,Exposed,3,1,unk,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fresh but stiff blotch larva (as above)
w,Exposed,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,
w,Exposed,3,2,1,h,dead,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
w,Unexposed,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,hole on top surface of fold. Head molt also seen.
w,Unexposed,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1 head molt
w,Unexposed,2,1,4,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,spider disk egg sack. Leaf rolling appears due to crawling
w,Unexposed,3,5,1,m,parasitized,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,adult --- dead inside blotch
w,Unexposed,3,5,2,h,dead,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,small tear in surface of gall
w,Unexposed,3,5,3,h,dead,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
w,Unexposed,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emerged,0,0,0,0,1,0,0,
w,Unexposed,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emerged,0,0,0,0,1,0,0,
w,Unexposed,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,a few grains of frass
w,Unexposed,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,
w,Exposed,2,9,1,h,living,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
w,Exposed,2,9,1,h,living,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
w,Exposed,2,9,2,h,dead,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
w,Exposed,2,9,2,h,assume,0,0,0,0,0,0,0,0,living,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,small tear in surface of mine. Early TM
w,Exposed,2,9,2,m,assume,0,0,0,0,0,0,0,0,missing,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"frass inside mine, but no larva (2 no holes)."
w,Exposed,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,large opeinging along seam of fold
w,Exposed,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,empty with frass,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,open along seam
