"# took me about 6 hours by myself to finish the survey. I took notes on the presence of some insects as well as the number of browned shoots.  I didn't input any of this data yet, because I don't think I'll use it.  It may be useful for knowing the number of shoots sprouted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Wind Exposure,Genotype,Plant Position,Dead_early_season_Brendan_survey,Dead_for_plant_survey,Height,Original_Height,1_shoot_length,2_shoot_length,3_shoot_length,4_shoot_length,5_shoot_length,6_shoot_length,7_shoot_length,8_shoot_length,9_shoot_length,10_shoot_length,11_shoot_length,12_shoot_length,13_shoot_length,14_shoot_length,15_shoot_length,16_shoot_length,17_shoot_length,18_shoot_length,19_shoot_length,20_shoot_length,21_shoot_length,Notes
1,Exposed,I,1,0,0,8.2,24.5,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,W,2,0,0,22.9,28.5,3.1,3.1,5.1,3.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,F,3,0,0,16.2,25.8,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,L,4,0,0,7,25.1,4.5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,T,5,0,0,17.5,27,2.9,1.5,1.3,1,1.2,0.7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,X,6,0,0,16.5,26,3.1,2,1.7,2,1.4,2.1,1.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,J,7,0,0,8.5,29.5,2,0.5,2.5,3.5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,S,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,Exposed,U,9,0,0,12,24,7.5,2.9,8,5.1,5.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Exposed,G,10,0,0,14.5,27.5,1.5,1,1.5,0.9,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Unexposed,W,1,0,0,34,26.5,2,1.4,1.9,1.9,0.9,2.3,1,2.9,2.8,1.5,0.9,4,0,0,0,0,0,0,0,0,0,
1,Unexposed,F,2,0,0,25,26.6,2.5,1.5,2,1.5,1.4,0.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Unexposed,I,3,0,0,26,25.5,1.1,2.5,1.6,1.5,0.5,1.3,2.3,1,1.7,0.1,1.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,
1,Unexposed,L,4,0,0,29.5,23.5,3,3.2,2,1.3,2,1.9,2.2,1,0.1,1,0.1,2,1.5,2.3,2,3.1,1.6,2.2,1.5,0.5,0,
1,Unexposed,T,5,0,0,41,27.7,2.9,2.5,0.7,2,1.4,0.5,2,2,2.2,0.5,0.1,5,4,1,1.2,0,0,0,0,0,0
1,Unexposed,X,6,0,0,37,29.2,2.5,2.3,2.2,2.1,0.5,0.1,1,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1,Unexposed,S,7,0,0,35,24.3,2.5,0.5,2.5,1.5,2.2,2.9,0.5,0.1,2.5,1.6,0,0,0,0,0,0,0,0,0,0,0
1,Unexposed,U,8,0,0,30.8,21.8,2.9,5.5,2.1,0.9,3.9,0.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Unexposed,J,9,0,0,34.5,24,0.5,0.5,1.5,1.1,0.5,0.7,0.1,0.7,0.5,0.5,0.1,0.5,0.5,0.1,0.1,0.1,7.2,0.1,0,0,0
1,Unexposed,G,10,0,0,11,22,5.9,0.5,5.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,W,1,0,0,14,22,1.4,2,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,F,2,0,0,20.5,18.9,2.8,0.5,0.1,4,4.5,6.5,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,I,3,0,0,5.5,23.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,L,4,0,0,13.2,22.2,7.5,2.2,6.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,T,5,0,0,23,32.3,4.5,3.5,1.5,1.5,7,0.7,1.2,1,3,3,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,X,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,Exposed,S,7,0,0,19.5,23.7,0.7,0.5,0.1,4,3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,U,8,0,0,36,24.2,5.1,5.7,6.1,6.5,0.1,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,J,9,0,0,18.2,22,1.5,1.5,1.2,0.1,1.5,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Exposed,G,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,Unexposed,W,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Unexposed,I,2,0,0,27,24.4,2.5,3.5,3.6,4.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Unexposed,F,3,0,0,27.5,21.5,0.8,3,3.5,3.9,3,3.5,1.5,3.5,5.5,5,4,1.2,4.5,3.5,1,2.5,0,0,0,0,0,
