"# Spodoptera experiment 2.  ~ 3 day duration. Started with 2nd instar larva (greenish tint). I initiated this because I was worried the first experiment using late first instar larva may yield reliable results because of delicate larva. This experiment seemed too wet (better to squeeze out cotton completely prior). Also it seemed at times herbivores didn't have access to tissue if it was facing down and directly touching the wet cotton. This may have deterred herbivores haphazardly or be biased because this was less likely to happen with larger leaves. Began weighing larva on July 24, 2013.",,,,,,,
block,treatment,position,larvae.wet.weight,dead,weight.1or0,brown.leaf.tip,notes
7,u,6,1,,,,
7,e,3,2,,,,
4,e,8,1,,,,5% herb prior
9,u,2,1,,,,
2,u,5,2,,,,
5,u,10,1,,,,
2,e,2,0,,,,
8,u,3,2,,,,
4,u,3,1,,,,
5,u,8,,d,,,
7,u,7,0,,,,
10,e,6,,d,,,50% leaf rottin vial
8,e,5,0,,,,
9,e,8,1,,0,,was pretty wet in vial
5,u,5,0,,,,
9,u,7,0,,,,
8,e,8,1,,,,10% leaf rot
10,u,7,0,,,,
9,e,10,,d,,,
4,e,5,1,,0,,
9,e,9,1,,0,,
10,e,9,0,,,,
10,e,3,,d,,,
9,u,4,,d,,,
10,e,2,0,,,,
1,u,1,1,,,,
2,u,8,2,,,,
6,e,2,0,,,,10% damage prior
4,e,7,1,,,,
1,u,8,3,,,,
1,u,4,1,,,,
3,e,4,1,,,,
2,u,7,2,,,,
1,u,7,2,,,,
6,u,1,1,,,,10% damage prior
7,e,8,1,,,,5% damage prior
4,e,6,0,,,,
3,e,3,0,,,,
8,e,3,,d,,,"90% leaf rot, but there was herbivory from spodop"
6,e,6,0,,,,
1,u,3,1,,,,
8,u,2,,d,,,
10,u,5,1,d,,,
2,e,1,1,,,,
1,e,4,,,,,missing larvae
6,u,9,0,,,,
7,u,1,1,,,,
9,u,8,0,,,,
8,u,5,2,,,,
3,u,6,1,,,,
8,u,9,1,,,,
10,u,9,1,,,,5% damage prior
8,u,6,1,,,,
7,u,8,1,,,,
7,e,1,1,,,,
8,u,8,1,,,,"lift the herb, though likely starting weight"
10,u,1,0,,,,
7,u,2,1,,,,5% damage prior
8,e,9,1,,,,5% damage prior
7,e,2,,d,,,
8,u,4,1,d,,,
7,u,3,0,,,,
8,e,7,1,,,
?,?,?,,d,,
8,u,10,1,,,
10,u,2,0,,,
3,e,8,1,,,
10,e,10,1,,,
4,u,4,0,,,blt
7,u,5,0,,,
2,u,2,1,,,
8,e,1,1,,,blt
1,e,9,1,,,
7,u,9,0,,,
4,u,9,1,,,
7,e,9,0,,,
4,u,2,1,,,
5,u,1,0,,,
7,e,4,1,,,,
3,u,9,1,,,,
4,u,5,1,,,,
5,u,4,1,,,,little herb.
4,u,1,,,,,missing larvae
3,u,3,1,,,,
4,u,10,0,,,,
10,u,4,0,,,,
10,u,8,,d,,,yellow leaf tip
1,e,10,2,,,,
1,u,10,1,,,,
1,e,2,2,,,,
3,e,1,1,,,,
5,u,2,1,,,,
3,e,10,1,,,,
1,u,6,1,,,,
1,e,1,0,,,,
1,u,5,4,,,,
2,u,10,1,,,blt,
3,u,4,,d,,,
1,e,7,1,,,,
1,e,5,1,,,,
3,e,6,1,,,,
1,e,3,1,,,,5% damage prior
9,u,6,1,,,,
6,u,8,1,,,,deforemed leaf
5,e,9,1,,,,
6,u,4,1,,,,
5,e,3,1,,,,
1,e,6,1,,,,
1,u,9,1,,,,
9,u,3,0,,,,
3,u,2,1,,,,,yellow leaf tip
8,e,10,1,,,,,
6,e,5,0,,,,,
8,u,1,1,,,,,
2,e,8,1,,,,,
7,e,7,0,,,,,
2,u,4,1,,,,,
2,u,3,1,,,,,
3,u,10,0,,,,,
1,u,2,2,,,,,
2,e,4,1,,,,,
3,u,1,1,,,,,
2,e,7,1,,,,,
6,e,1,1,,,,,
5,e,1,1,,,,,
3,e,2,0,,,,,
2,e,5,1,,,,,
6,u,5,0,,,,,
7,e,5,0,,,,,
9,u,5,0,,,,,
6,e,4,0,,,,,
2,e,3,,d,,,,
8,u,7,1,,,,,
10,u,3,0,,,,5% damage prior,
6,u,2,1,,2,,,close to a 2
2,e,9,1,,,,,
9,u,10,1,,,,,
5,e,6,1,,,,,
4,u,8,1,,,,,
4,e,3,0,,,,,
3,e,5,1,,,,,
4,e,9,1,,,,,
9,u,9,0,,,,
9,e,3,0,,,,5% damage prior
6,e,7,0,,,,
9,u,1,,d,,,
4,e,1,,d,,,
8,e,2,,d,,,
5,u,6,0,,,,
4,u,7,1,,0,,
10,e,1,1,,,,
5,e,2,,d,,,
